title,brand,price,url,img,description,source,sold
Vintage Rolex Submariner 5512 Matte Black Dial,Rolex,19995,https://www.bobswatches.com/vintage-rolex-submariner-5512-matte-black-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-5512-SKU151736.jpg,1970s,Bob's Watches,False
Vintage Rolex GMT-Master Ref 1675 Full 18k Yellow Gold,Rolex,36495,https://www.bobswatches.com/vintage-rolex-gmt-master-ref-1675-full-18k-yellow-gold.html,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-1675-SKU188458.jpg,1970s,Bob's Watches,False
"Vintage Rolex Submariner Reference 1680 ""Swiss Only"" Service Dial",Rolex,10995,https://www.bobswatches.com/vintage-rolex-submariner-reference-1680-swiss-only-service-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-1680-SKU191404.jpg,1970s,Bob's Watches,False
Vintage Rolex Pepsi GMT-Master 16750,Rolex,19995,https://www.bobswatches.com/vintage-rolex-pepsi-gmt-master-16750.html,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-16750-SKU189609.jpg,1980s,Bob's Watches,False
Vintage 1984 Rolex Submariner Ref 16800 Matte Black Dial,Rolex,11795,https://www.bobswatches.com/vintage-1984-rolex-submariner-ref-16800-matte-black-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-16800-SKU191541.jpg,1980s,Bob's Watches,False
Vintage Stainless Steel Rolex Oysterdate Silver Dial Ref 6694,Rolex,4595,https://www.bobswatches.com/vintage-stainless-steel-rolex-oysterdate-silver-dial-ref-6694.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-SKU191175.jpg,1960s,Bob's Watches,False
Vintage Rolex Oysterdate Stainless Steel Ref 6694 Silver Dial,Rolex,4595,https://www.bobswatches.com/vintage-rolex-oysterdate-stainless-steel-ref-6694-silver-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-OysterDate-6694-SKU189818.jpg,1980s,Bob's Watches,False
Vintage Rolex Datejust 36 Ref 1603 Black Dial 16030,Rolex,5995,https://www.bobswatches.com/vintage-rolex-datejust-36-ref-1603-black-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-1603-SKU190889.jpg,1970s,Bob's Watches,False
Vintage Stainless Steel Rolex Date Ref 1500 Silver Dial,Rolex,4995,https://www.bobswatches.com/vintage-stainless-steel-rolex-date-ref-1500-silver-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Date-1500-SKU190954.jpg,1970s,Bob's Watches,False
Used Rolex Datejust 36 Champagne Dial Ref 1601,Rolex,5995,https://www.bobswatches.com/used-rolex-datejust-36-champagne-dial-ref-1601.html,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-1601-SKU190770.jpg,1960s,Bob's Watches,False
Vintage Rolex Oyster Royal Precision Ref 6426,Rolex,4595,https://www.bobswatches.com/vintage-rolex-oyster-royal-precision-ref-6426.html,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Precision-6426-SKU184296.jpg,1960s,Bob's Watches,False
Pre-Owned Rolex Datejust 36 Ref 1603 Silver Dial,Rolex,5995,https://www.bobswatches.com/pre-owned-rolex-datejust-36-ref-1603-silver-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-1603-SKU191070.jpg,1970s,Bob's Watches,False
Pre-Owned Rolex Datejust 36 Ref 1601 White Dial,Rolex,5495,https://www.bobswatches.com/pre-owned-rolex-datejust-36-ref-1601-white-dial.html,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-1601-SKU191723.jpg,1960s,Bob's Watches,False
