title,brand,price,url,img,description,source,date,sold
Patek Philippe Perpetual Calendar 5140G in 18k White Gold Opaline dial with Box and Extract of Archives,Patek Philippe,44500,https://bulangandsons.com/products/patek-philippe-perpetual-calendar-5140g-in-18k-white-gold-opaline-dial-with-box-and-extract-of-archives-w3834,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3834PatekPhilippePerpetualCalendarin18KWhiteGoldref5140G_017_1x1_56432446-32d7-4dd5-ab73-81b51499e488.jpg?v=1783069332,"We have always been big fans of perpetual calendars, and few brands are as closely associated with the complication as Patek Philippe. Not only did the manufacture play a pivotal role in the development of the perpetual calendar wristwatch, it also helped establish the market for complicated wristwatches as we know it today. Presented here is a lovely reference 5140G in 18k white gold, featuring an elegant and perfectly proportioned 37 mm case. The reference 5140 succeeded the legendary 3940, a model widely regarded as one of the most important creations of Patek Philippe's modern era. Together with the reference 3970, the 3940 helped redefine complicated watchmaking in the late twentieth century and is often considered one of the first highly complicated wristwatches to be produced in series. After an impressive production run spanning nearly two decades, the 3940 was replaced in 2006 by the reference 5140, which retained the celebrated ultra-thin self-winding calibre 240Q, powered by a beautifully engineered micro-rotor. The elegant white-gold case features the four correctors required to adjust the perpetual calendar functions and remains in excellent condition, with the gold hallmarks still clearly visible. The watch is fitted with its beautiful snap-on sapphire display case back, offering a wonderful view of the exquisite calibre 240Q movement. Our watchmaker has fully checked and regulated the movement to ensure it performs exactly as it should. The opaline dial is both refined and highly legible, featuring a dotted minute track and three perfectly balanced sub-dials displaying the perpetual calendar indications. These include the date, day, month, leap-year cycle, 24-hour indication, and moon-phase display, all presented in English. The dial's clean layout and understated elegance are hallmarks of what many collectors consider one of Patek Philippe's finest perpetual calendar designs. Completing the watch is its original Patek Philippe leather strap, fitted with an 18k white-gold Patek Philippe folding clasp.Further more the original 18 k white gold second closed case back is also included in the sale as well the original wooden Patek Philippe box with its battery driven watch winder. Accompanied by a Patek Philippe Extract from the Archives confirming that the watch was originally sold in 2014. For collectors looking to enter the world of Patek Philippe “Grand Complications,” this piece represents an exceptional opportunity. It combines elegant proportions, everyday wearability, and the timeless appeal of one of the brand’s most respected modern perpetual calendar designs. Understated yet highly sophisticated, it remains an enduring classic within the Patek Philippe collection.For further details or to discuss availability, feel free to get in touch. Specifications: Patek Philippe Perpetual Calendar reference 5140G 37mm 18k white gold case with display case back Perpetual calendar with three sub-dial layout with moon phase, English langua",Bulang & Sons,2026-07-03,False
Rolex GMT-Master 1675 MK1 Long-E unique Tropical Dial,Rolex,24900,https://bulangandsons.com/products/rolex-gmt-master-1675-mk1-long-e-unique-tropical-dial-w3837,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3837RolexGmt-MasterMK1LongEtropicaldial_1x1_1ac30e73-e698-4674-ab42-1c5434ef2672.jpg?v=1783069428,"The Rolex GMT-Master reference 1675 has long been one of our favorite vintage Rolex models, and over the years we have had the pleasure of owning and handling many exceptional examples. However, tropical-dial versions—where the original black dial has naturally aged to a rich brown hue—remain particularly rare and highly sought after. These dials are found only within a specific serial range and exclusively on the coveted Mark 1 (“MK1”) dial, distinguished by the elongated center stroke of the “E” in Rolex, commonly referred to as the “Long E.” Encountering a genuine tropical “Long E” is always a special occasion. The transformation of the dial into a warm milk-chocolate brown gives the watch remarkable character and depth, while the luminous material on the hands and hour markers has aged gracefully to a soft beige tone, creating a beautiful and harmonious patina. The watch is further enhanced by a well-preserved red-back Pepsi bezel insert. Over time, the colors have matured beautifully: the red has softened to a vibrant orange, while the blue has evolved into a striking Mediterranean-sea blue, producing a wonderfully balanced and highly attractive appearance. The case remains in excellent condition and is fitted with its Rolex Oyster bracelet, reference 7206, complete with 80 end links and a clasp stamped “3/69.” This exceptional GMT-Master 1675 “Long E” has been fully serviced by our watchmaker and is ready to be enjoyed by its next custodian. With its rare tropical dial, beautifully aged bezel, and unmistakable vintage charm, this “Long E” GMT-Master 1675 is a truly captivating collector’s piece—an opportunity seldom encountered and not to be missed ! Specifications: Rolex GMT-Master Reference 1675 40mm steel case Serial 188xxxx dating to 1968 Mk1 Long E matte dial, beautifully tropicalized to a deep, rich milk chocolate-brown hue. Lovely Faded Fat-font Red Back “Pepsi” bezel insert Oyster bracelet 7207 with 80 end links Fully serviced by our watchmaker One-year mechanical warranty Free worldwide Fedex Priority shipping",Bulang & Sons,2026-07-03,False
Rolex Day-Date 1803/9 Silver Dial in 18k White Gold,Rolex,19900,https://bulangandsons.com/products/rolex-day-date-1803-9-silver-dial-in-18k-white-gold-w3838,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3838RolexDay-dateSilverdialin18kwhitegoldref18039_294_1x1_85f1699f-0538-4ec5-86e2-30e2bd4e2057.jpg?v=1783069545,"The Rolex Day-Date, introduced in 1956, stands as one of the most iconic and prestigious models ever produced by Rolex. It was the world's first wristwatch to display both the date and the day of the week spelled out in full on the dial. Affectionately known as the ""President,"" the Day-Date has adorned the wrists of heads of state, business leaders, and discerning collectors for decades and remains exclusively crafted in precious metals. Presented here is a beautiful white-gold example, reference 1803/9, with the ""/9"" suffix indicating its 18k white-gold construction. The classic 36 mm Oyster case remains in lovely condition and is fitted with its signature fluted bezel. There is something particularly appealing about a white-gold Day-Date; while its yellow-gold counterpart makes a bold statement, this version offers a more discreet form of luxury. As we often say, it whispers rather than shouts. The silver soleil-finished dial pairs perfectly with the white-gold case and features crisp black printing, applied baton hour markers, and beautifully aged cream-coloured luminous accents. A particularly charming detail is the German-language day disc, adding both character and a touch of individuality to this already desirable reference. Completing the watch is its iconic President bracelet, presented in very nice condition and fitted with solid end links and a concealed Crown clasp. The bracelet remains tight and comfortable and will accommodate wrists up to approximately 19 cm. Powered by Rolex's reliable automatic movement, that has been fully serviced by our watch maker.This Day-Date offers everything collectors admire about the model: timeless design, precious-metal construction, and an understated elegance that has made it a symbol of success for 70 years ! A discreet and highly wearable Day-Date, ready for its next custodian. Contact us to learn more. Specifications: Rolex Day-Date Reference 1803/9 18kt 36mm white gold case, plexi-crystal White gold fluted bezel Serial 506xxxx dating to 1977 Silver soleil finish pie-pan style dial with black text German day-disc Concealed clasp President bracelet in 18kt white gold Fully serviced by our watchmaker One-year mechanical warranty Free worldwide Fedex Priority shipping",Bulang & Sons,2026-07-03,False
Rolex Explorer II 16570 Polar with Creamy Patina,Rolex,8200,https://bulangandsons.com/products/rolex-explorer-ii-16570-polar-with-creamy-patina-w3747,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3747RolexExplorer2Whitedialref16570_260_1x1_52fb801b-71d6-4bb6-8c6f-a1a4c32a400e.jpg?v=1783069678,"The Rolex Explorer II was introduced in 1971 as a specialized tool watch designed specifically for speleologists (cave explorers), polar adventurers, and anyone working in total darkness. While the original 1953 Explorer was built for mountain climbing, the Explorer II was engineered with a fixed 24-hour bezel and a prominent 24-hour arrow hand to help users distinguish between AM and PM when cut off from natural sunlight. With the introduction of the second generation, Rolex introduced white dials on the reference 16550 in 1985. In 1989, Rolex upgraded the model with the new caliber 3185/3186 in the reference 16570 — and that is exactly what we have to offer here. The 40 mm steel case and 24-hour bezel are in lovely condition, featuring thick shoulders and strong crown guards. The Polar white dial is in superb condition, with black printed text, black-outlined hour markers, and warm yellow lume on both the plots and hands — always a detail we love to see on these. This Explorer is fitted with an Oyster bracelet reference 78360, with end links marked 501B and a clasp stamped U5. The watch has been fully serviced by our watchmaker and is ready for many years of reliable wear. We think the white-dial Explorer II is the ultimate summer watch! Contact us to secure this beautifully aged Explorer II. Specifications: Rolex Explorer II Reference 16570 40mm steel case, 24 hours bezel Serial U346xxxx dating to 1997 Polar White dial white yellow patina Bracelet reference 78360 with 501B end links Fully serviced by our watchmaker One-year mechanical warranty Free worldwide Fedex Priority shipping",Bulang & Sons,2026-07-03,False
Rolex Submariner 16800 Matte Dial with Creamy Patina,Rolex,12500,https://bulangandsons.com/products/rolex-submariner-16800-matte-dial-with-creamy-patina-w3856,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3856RolexSubmariner16800mattedial_555_1x1_62111b08-e4bf-4d6b-a75c-74ef57d7477f.jpg?v=1783069876,"The Rolex Submariner Date was officially introduced in 1969 with the launch of Reference 1680. This milestone marked the first time the Submariner featured a date window and Rolex's signature Cyclops magnifying lens. By the late 1970s, Rolex began transitioning from acrylic crystals to more robust sapphire crystals. These so-called ""transitional"" models bridged the gap between vintage and modern Submariners, combining elements from both generations. Early examples, such as this one, were fitted with matte dials similar to those found on their acrylic-crystal predecessors, many of which were later replaced during service. This excellent example of the Reference 16800 retains its original matte dial, displaying a beautiful soft-yellow patina across the hour markers that perfectly complements the watch's vintage character. The original bezel insert has aged gracefully, developing a subtle anthracite-grey fade that adds considerable charm and individuality. The case remains strong and well-defined, with thick lugs and crisp proportions. The solid-link Oyster bracelet, reference 93150, is in very good condition and fitted with a clasp stamped ""G"". The watch has been fully serviced by our watchmaker and is ready to be enjoyed. Neo-vintage Rolex continues to attract growing interest among collectors, and the Reference 16800 stands out as one of the most compelling transitional models. Combining vintage aesthetics with modern practicality, it offers the best of both worlds. For further information or to arrange a viewing at our lounge, please get in touch ! Specifications: Rolex Submariner Date Reference 16800 40mm steel case with sapphire glass Serial 739xxxx dating to 1982 Rare matte dial with yellow patina Slightly faded bezel insert Solid link Oyster bracelet 93150 with 593 end links Fully serviced by our watchmaker Free worldwide FedEx Priority shipping",Bulang & Sons,2026-07-03,False
Vacheron Constantin Coin Watch in 18k Yellow Gold 4928,Vacheron Constantin,14900,https://bulangandsons.com/products/vacheron-constantin-coin-watch-in-18k-yellow-gold-4928-w3833,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3833VacheronConstantinCoinwatchin18kyellow4928_109_1x1_07d588a4-428b-40c8-8203-a5bbbd539c5d.jpg?v=1783070062,"Founded in 1755, Vacheron Constantin is the oldest watch manufacturer in the world to have operated continuously without interruption. Based in Geneva, Switzerland, the Maison has spent more than 270 years crafting exceptional timepieces that blend technical mastery with refined artistic expression. Widely regarded as part of the prestigious “Holy Trinity” of Swiss watchmaking, alongside Patek Philippe and Audemars Piguet, the brand has long stood at the pinnacle of haute horlogerie. Throughout its history, Vacheron Constantin has served royalty, collectors, and connoisseurs alike, earning a reputation for uncompromising craftsmanship, elegant design, and mechanical innovation. Every creation reflects centuries of accumulated expertise, making the manufacture one of the most respected names in Swiss watchmaking. Coin watches are among the most extra ordinary and collectible expressions of horology. These rare creations sit at the intersection of watchmaking, numismatics, and history. Each piece begins as a genuine coin in circulation before being meticulously transformed by a master craftsman. The coin is carefully hollowed out on both sides, a concealed cavity is created to house a miniature movement, and the two halves are then reassembled with a discreet hinged opening system. Among the maisons known for producing such remarkable timepieces is Vacheron Constantin. This exceptional example is crafted from a 1904 twenty-dollar gold coin and is identified by the manufacture as Model 4928. It represents a striking combination of historical significance, technical ingenuity, and refined watchmaking, resulting in a highly collectible and visually captivating work of art. The coin opens via a side-mounted push button, revealing the hidden watch within. Inside, a small champagne-toned dial features painted hour markers and elegant blued stick hands, complemented by a discreet crown positioned at 1 o’clock. The case can also be displayed upright, transforming the piece into a functional desk or table clock—an object designed to be both worn and admired. This example is based on a 1904 twenty-dollar U.S. gold coin with a finely detailed reeded edge and straight lugs. It is fitted with its original Vacheron Constantin strap and a period-correct 18k gold “AW” signed buckle. A Bulang and Sons strap will be supplied with the watch, with the final choice left to the buyer. The hand-wound movement has been fully serviced by our watchmaker and is ready for years of reliable use. We love these Coin watches —they are effortlessly cool, lightweight on the wrist, and an absolute conversation starter! Take a closer look, and let’s have a conversation about this remarkable piece ! Specifications: Vacheron Constantin “Coin watch “ ref 4928 34.5 mm, 18 k yellow gold case ,made out of a 1904 20 US dollars coin with straight lugs, opened by a hinge Dates to the end of the 1960’s Champagne dial, no lume , stick markers and hands set Hand wound ultra thin movement Used VC",Bulang & Sons,2026-07-03,False
Patek Philippe World Time 5110J Guilloche Dial in 18k Yellow Gold with Extract of the Archives,Patek Philippe,30900,https://bulangandsons.com/products/patek-philippe-world-time-5110j-guilloche-dial-in-18k-yellow-gold-with-extract-of-the-archives-w3816,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3816PatekPhilippeWorldtimein18kyellowgoldref5110JwithExtractofthearchives_363_1x1_3ac1aeea-a397-4498-925f-58f402e0c502.jpg?v=1782900186,"The story of the Patek Philippe World Time—historically known as Heures Universelles —is deeply intertwined with an era when international travel was still an adventure and crossing continents carried an unmistakable sense of glamour. Conceived during the early 20th century for diplomats, businessmen, and seasoned travellers, the World Time complication enabled its wearer to read all 24 time zones simultaneously at a glance—an extraordinary technical achievement for its day. Over the decades, the World Time evolved from a highly specialised travel instrument into one of the most admired complications in haute horlogerie. Combining mechanical ingenuity with beautifully balanced dial design, it came to represent not only technical sophistication but also a romantic vision of global travel that continues to captivate collectors today. Presented here is the Patek Philippe reference 5110J, with the ""J"" denoting its elegant 18k yellow gold case. Measuring a perfectly proportioned 37mm, the Calatrava-inspired case is beautifully sculpted, featuring integrated crown guards and Patek Philippe's patented world-time pusher at 10 o'clock. A single press of the pusher simultaneously advances the central hour hand, the 24-hour ring, and the outer city disc in one-hour increments, instantly recalibrating the display across all 24 time zones. It is a wonderfully intuitive and elegant mechanical solution, making one of watchmaking's most complex complications remarkably easy to use. Turning the watch over reveals a sapphire display case back showcasing the exceptional ultra-thin self-winding calibre 240 HU. Equipped with Patek Philippe's beautifully finished 22k gold micro-rotor, the movement is every bit as impressive as the dial it powers. The watch is fitted with a handsome Bulang and Sons leather strap and its original 18k yellow gold Patek Philippe pin buckle. Accompanying the watch is an Extract from the Archives confirming its sale in 2001. The World Time has long been one of our favourite complications at Bulang and Sons, and the 5110J is, in our eyes, one of its most elegant executions. Whether you're crossing continents or simply dreaming about the next destination, this is a watch that inspires travel every time you glance at your wrist. Ready for your next journey? Get in touch. Specifications: Patek Philippe World Time 5110J 37mm 18k yellow gold case with corrector on side , display case back Guilloche dial with world time disc Automatic Patek movement calibre 240/188 with gold micro rotor Case no 4111xxx Movement no3207xxx dating to 2000 Comes on a Bulang and sons leather strap with gold PP pin buckle Fully serviced by our watchmaker One-year mechanical warranty Extract from the Archives confirming its sale in 2001. Free worldwide Fedex Priority shipping",Bulang & Sons,2026-07-01,False
Tudor Submariner 7928 MK7 Dial Black-Out Lume,Tudor,9500,https://bulangandsons.com/products/tudor-submariner-7928-mk7-dial-black-out-lume-w3790,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3790TudorSubmarinerref7928_392_1x1_26c9b9d6-e038-4bcc-958d-f10e4f4233cd.jpg?v=1782900398,"The Tudor Submariner is widely regarded as one of the most important and enduring dive watches in horological history, remaining in production from 1954 until its discontinuation in 1999. Created under the vision of Hans Wilsdorf, Tudor was established to deliver the same reliability, robustness, and waterproof performance associated with Rolex, but at a more accessible price point. The Submariner perfectly embodied this philosophy, combining true tool-watch functionality with timeless design and military-grade dependability. At hand we have a late-series reference 7928, presented in very nice overall condition, featuring a strong case and a beautifully faded “fat font” bezel insert. The Tudor Submariner 7928 is closely associated with military use, most notably by U.S. Navy SEALs and Underwater Demolition Teams (UDT) during the Vietnam War era. Documented examples are often linked to so-called “Coronado dials,” with custom modifications carried out in the field or by military watchmakers in Coronado, California, to reduce reflectivity and improve legibility during covert operations. These modifications could include reprinted or hand-painted dials, matte black finishes, and the removal or darkening of luminous material on the indexes and hands. The dial on this example exhibits a similar character, with a darkened, on the original tritium lume appearance on both the markers and hands. It gives the watch a distinctive “dark horse” presence on the wrist—subtle, utilitarian, and full of character. Further enhancing its appeal, the watch features the iconic Tudor rose logo on the Mk7 dial variant. It is fitted to a “Hecho en México” Jubilee bracelet—originally produced for the North and South American markets—which adds an additional layer of period-correct charm and intrigue to this already highly collectible Tudor Submariner. We love finding watches with character, and this one certainly delivers. Get in touch if you'd like to add it to your collection. Specifications: Tudor Submariner Reference 7928 40mm steel case Mk 7 dial variant, Rose logo Serial 597xxx, dating to 1967 Faded fat font bezel insert Darkened lume Rolex Heche de Mexico Jubilee bracelet Fully serviced by our watchmaker One-year mechanical warranty Free worldwide FedEx Priority shipping",Bulang & Sons,2026-07-01,False
Rolex Millgauss 1019 Silver Dial,Rolex,22500,https://bulangandsons.com/products/rolex-millgauss-1019-silver-dial-w3696,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3696RolexMillgaussSilverdialref1019_011_1x1_91c55fff-b54e-472a-9c90-1cc070157645.jpg?v=1782463684,"Before the Rolex Milgauss came along, scientists had a real problem. Magnetic fields as low as 50 to 100 gauss could already throw a mechanical watch completely off. In environments where precision mattered, that simply didn’t cut it—so it was either deal with an unreliable watch or leave it off the wrist altogether. Rolex stepped in with a proper solution. In the 1950s, the Milgauss was tested by CERN—the world’s leading particle physics lab—and proved capable of resisting magnetic fields up to 1,000 gauss. A serious technical achievement at the time, and a big step forward not just for Rolex, but for those working in these environments. The name says it all. “Milgauss” comes from mille (one thousand) and gauss , the unit used to measure magnetic fields—straightforward, functional, and very Rolex. With scientists at CERN and beyond actually wearing the Milgauss in the field, the watch quickly cemented its place as a true tool piece—built with purpose, but carrying that unmistakable bit of character that still makes it stand out today. At hand we have a reference 1019—the second generation of the Milgauss. This example comes with a strong, well-preserved case and a clean, smooth bezel. The silver dial features the typical vertical brushing, with a warm yellow patina developing on the plots and hands. A subtle splash of red on the “Milgauss” text and seconds hand adds just the right amount of contrast. The watch is paired with an Oyster bracelet (ref. 78360), fitted with a clasp stamped “J7” and correct 580 end links. This fine tool watch with a scientific edge has been fully serviced by our watch maker. One of the more underrated Rolex tool watches—get in touch ! Specifications: Rolex Milgauss Reference 1019 38mm steel case Serial 833xxxx dating to 1984 Silver vertical brushed dial Oyster rivet bracelet 78360 with 580 end links Fully serviced by our watchmaker One-year mechanical warranty Free worldwide Fedex Priority shipping",Bulang & Sons,2026-06-26,False
Rolex Datejust Gilt dial ref 1601,Rolex,8900,https://bulangandsons.com/products/rolex-datejust-gilt-dial-ref-1601,https://cdn.shopify.com/s/files/1/0961/8613/8969/files/W-3835RolexDatejustGiltdialref1601_296_1x1_bb9a9764-4891-4458-b8e7-9da3ab8c8e1c.jpg?v=1782827649,"The legendary Rolex Datejust was introduced in 1945 to celebrate Rolex’s 40th anniversary. A landmark model in the history of watchmaking, it was the first self-winding, waterproof wristwatch to feature a date display on the dial. More than eighty years later, it remains one of the most recognizable and enduring luxury watches ever created. We are always delighted to offer unusual and attractive Datejust configurations, and this example is particularly special thanks to its stunning gilt dial. While gilt dials are most commonly associated with vintage Rolex sports models, they occasionally appear on Datejusts, creating a distinctive and highly appealing aesthetic. Produced using a galvanic printing process, gilt dials possess a remarkable depth, warmth, and glossy finish that are impossible to overlook on the wrist. The case remains in excellent condition, displaying strong and well-balanced lugs, while the fluted white-gold bezel is beautifully preserved and perfectly complements the rich character of the dial. The gilt dial itself is in outstanding condition, retaining its glossy surface along with crisp, clear printing throughout. Adding further charm, the luminous material on both the hands and hour markers has aged to a lovely warm yellow tone, creating a striking contrast against the glossy black background. The watch is fitted with a folded Jubilee bracelet, reference 6251H, complete with correct 55 end links, all preserved in very nice condition. To ensure optimal performance, this rare and highly attractive Datejust has been fully serviced by our watchmaker. Combining the timeless elegance of the Datejust ,the warm tones and glossy gilt dial give this rarity a character all its own—an outstanding opportunity for the collector who appreciates vintage Rolex at its most captivating , get in touch with us ! Specifications: Rolex Reference 1601 Datejust 36mm steel case , fluted white gold bezel Serial 275xxxx dating to 1971 Glossy gilt dial Jubilee bracelet 6251H with 55 end links Fully serviced by our watchmaker One-year mechanical warranty Free worldwide Fedex Priority shipping",Bulang & Sons,2026-06-26,False
