title,brand,price,url,img,description,source,sold,priceOnRequest
1967 Omega Speedmaster Professional ref:  105.012-66 HF,Omega,14500,https://www.chronoholic.com/product-page/1967-omega-speedmaster-professional-ref-105-012-66-hf,"https://static.wixstatic.com/media/19c06e_9beda7f117f648e9b3f17f91d09aa623~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,False,False
1961 Omega Speedmaster CK2998-3 Single Family Owned.,Omega,42000,https://www.chronoholic.com/product-page/1961-omega-speedmaster-ck2998-3-single-family-owned-1,"https://static.wixstatic.com/media/19c06e_55b350f297524dbf8f15253917d96c62~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,False,False
"1961 Omega Speedmaster CK2998-3 ""Lollipop""",Omega,35000,https://www.chronoholic.com/product-page/1961-omega-speedmaster-ck2998-3-lollipop-1,"https://static.wixstatic.com/media/19c06e_1628851a23e84c94bc43596139726c04~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,False,False
"1960 Omega Seamaster 300 CK2913-7 ""Lollipop""",Omega,26995,https://www.chronoholic.com/product-page/1960-omega-seamaster-300-ck2913-7-lollipop,"https://static.wixstatic.com/media/19c06e_de8550465f184a899da8b345ee6d2043~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,False,False
"1967 Omega Speedmaster 105.003-65 ""Ed White"" Single Family Ownership.",Omega,0,https://www.chronoholic.com/product-page/1967-omega-speedmaster-105-003-65-ed-white-single-family-ownership,"https://static.wixstatic.com/media/19c06e_0e620a795fd741d2abd450c3bdbe09f6~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
1967 Omega Speedmaster Professional ref:  105.012-66 HF,Omega,0,https://www.chronoholic.com/product-page/1967-omega-speedmaster-professional-ref-105-012-66-hf-2,"https://static.wixstatic.com/media/19c06e_8ddf25d059aa4879bd255c147704a78e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
1971 Omega Speedmaster Professional 145.022-71,Omega,0,https://www.chronoholic.com/product-page/1971-omega-speedmaster-professional-145-022-71-3,"https://static.wixstatic.com/media/19c06e_318b371bc1ae48eb98dc22df4134e4a7~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
1968 Omega Speedmaster Professional ref: 145.012-67,Omega,0,https://www.chronoholic.com/product-page/1968-omega-speedmaster-professional-ref-145-012-67-3,"https://static.wixstatic.com/media/19c06e_39e04cbad41d446aaa1ecf0a55c6af0d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
1970 Omega Speedmaster Professional 145.022-69 '220 Error' Bezel.,Omega,0,https://www.chronoholic.com/product-page/1970-omega-speedmaster-professional-145-022-69-220-error-bezel,"https://static.wixstatic.com/media/19c06e_8c04fbf4f48f4051a24fe7eebf3295ba~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
1967 Omega Speedmaster Professional ref: 105.012-65,Omega,0,https://www.chronoholic.com/product-page/1967-omega-speedmaster-professional-ref-105-012-65-1,"https://static.wixstatic.com/media/19c06e_c25d254080b94e6eb8b6682e5fe28b5e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Chronoholic,True,True
