title,brand,price,url,img,description,source,date,sold
Patek Philippe Calatrava 3509 - Steel w/Grey Dial - Archive Papers - Rare,Patek Philippe,15900,https://collectorscornerny.com/products/patek-philippe-calatrava-3509-steel-w-grey-dial-archive-papers-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/patek-philippe-calatrava-3509-steel-grey-dial-archive-papers-hero-vintage-watches-collectors-corner-ny.jpg?v=1785697737,"The Patek Philippe Calatrava stands as a testament to one of the most esteemed watch designs from the 20th century, with its origins dating back to the 1930s, commencing with the iconic ref. 96. Today it remains what most collectors consider to be the archetype of a time-only dress watch. On offer is a rare opportunity to acquire a ref. 3509 in stainless steel. Although exact production numbers ar",Collectors Corner NY,2026-08-14,False
"Patek Philippe Top Hat 1450 ""Pink on Pink"" - Archive Papers",Patek Philippe,17900,https://collectorscornerny.com/products/patek-philippe-top-hat-1450-pink-on-pink-archive-papers,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/patek-philippe-top-hat-1450-pink-on-pink-archive-papers-hero-vintage-watches-collectors-corner-ny_24ea9b0a-3bd8-4678-af2b-010b7539e20c.jpg?v=1785701578,"On offer is a stunning Patek Philippe, ref. 1450, with curved ""Top Hat"" style case, circa 1945. It houses a very rare rose gold dial, making it highly attractive, seldom seen and what collectors refer to as ""pink on pink."" This production period is also known for the longer dial signature of Patek Philippe & Co. which many collectors find to be especially attractive. It is powered by a manual wind",Collectors Corner NY,2026-08-14,False
Vacheron Constantin Les Historiques 92012 - Top Winder - *Unpolished*,Vacheron Constantin,13900,https://collectorscornerny.com/products/vacheron-constantin-les-historiques-92012-top-winder-unpolished,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/vacheron-constantin-calatrava-92012-top-winder-hero-vintage-watches-collectors-corner-ny_c995123c-6a1a-47a5-a1b8-cc45736a3ba3.jpg?v=1786639247,"One of the oldest watchmaking companies, Vacheron was founded in 1755 in Geneva, Switzerland. As part of the ""Holy Trinity,"" along with Patek Philippe and Audemars Piguet, VC is known for their high-quality and unique design language. Even today, however, the brand remains relatively under-appreciated considering their significant contribution to horology. This VC Calatrava style dress watch is fr",Collectors Corner NY,2026-08-14,False
"Vacheron Constantin Calatrava ""Jumbo Tropical""",Vacheron Constantin,13900,https://collectorscornerny.com/products/vacheron-constantin-calatrava-jumbo-tropical,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/vacheron-constantin-calatrava-jumbo-tropical-hero-vintage-watches-collectors-corner-ny.jpg?v=1785698352,"One of the oldest watchmaking companies, Vacheron was founded in 1755 in Geneva, Switzerland. As part of the ""Holy Trinity,"" along with Patek Philippe and Audemars Piguet, VC is known for their high-quality and unique design language. Even today, however, the brand remains relatively under-appreciated considering their significant contribution to horology. On offer is a rare VC Calatrava style dre",Collectors Corner NY,2026-08-14,False
"Rolex Oyster Perpetual 1025 - ""Pyramid"" Bezel - Rare",Rolex,5900,https://collectorscornerny.com/products/rolex-oyster-perpetual-pyramid-bezel-rare,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/rolex-oyster-perpetual-pyramid-bezel-rare-hero-vintage-watches-collectors-corner-ny.jpg?v=1785698405,"The Rolex Oyster Perpetual remains one of the brands most refined and ""no frills"" designs to this day. Going back several decades is without a doubt one of Rolex' most beautiful, yet simple creations. Anyone with an average sized wrist will find that the 34mm vintage case on this reference is an elegant on bracelet as it is on a strap. This example, circa 1964 features a very seldom seen dial with",Collectors Corner NY,2026-08-14,False
"Tudor Submariner 7928 ""Gilt Chapter Ring""",Tudor,19900,https://collectorscornerny.com/products/tudor-submariner-7928-gilt-chapter-ring,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/tudor-oyster-prince-submariner-7928-gilt-chapter-ring-hero-vintage-watches-collectors-corner-ny_e0c800da-6e7b-42e5-b432-aa2222bb8c26.jpg?v=1786736565,"Tudor debuted the reference 7928 in 1959, maintaining its production for nearly a decade. This model marked a significant evolution in the Submariner line, introducing crown guards and increasing the case size to 39mm—an upgrade from the earlier 37mm case seen in the ref. 7924. Throughout its production span, the 7928 saw a wide array of case and dial variations, making it the most diverse referen",Collectors Corner NY,2026-08-14,False
Patek Philippe Calatrava 2545J - Box & Archive Papers,Patek Philippe,26000,https://collectorscornerny.com/products/patek-philippe-calatrava-2545j-box-archive-papers,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/patek-philippe-calatrava-2545j-box-archive-papers-hero-vintage-watches-collectors-corner-ny_fb4c77b3-3068-46c1-8861-4ab85b519b92.jpg?v=1786636396,"The Patek Philippe Calatrava stands as a testament to one of the most esteemed watch designs from the 20th century, with its origins dating back to the 1930s, commencing with the iconic ref. 96. Introduced in the mid 50's, the ref. 2545 featured the same incredible case architecture with a waterproof screw back and slightly boosted proportions at 31.5mm, making it well suited for small to medium w",Collectors Corner NY,2026-08-14,False
Tudor Pelagos FXD Titanium 25717N - Modified/Anodized - Full Set,Tudor,3900,https://collectorscornerny.com/products/tudor-pelagos-fxd-titanium-25717n-modified-anodized-full-set,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/tudor-geneve-pelagros-pelagos-fxd-titanium-2517n-modified-by-true-patina-full-set-hero-vintage-watches-collectors-corner-ny_c70dbd17-4925-4451-8b1e-c079c2bb2c46.jpg?v=1786637086,"In 2022, Tudor's new Pelagos 39 was one of the Swiss watch industry's most well received novelties. With fixed spring bars (where the FXD comes from) this Pelagos pays homage to Navy Divers featuring a unidirectional elapsed-time rotating bezel, with a titanium case creating a light, ergonomic, and stealthy feel. This all adds up to a package that's not only fantastic on wrist but hugely practical",Collectors Corner NY,2026-08-14,False
Breguet Classique 3150BB - White Gold - *Unpolished*,Breguet,9600,https://collectorscornerny.com/products/breguet-classique-3150bb-white-gold-unpolished,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/breguet-classic-3150bb-white-gold-unpolished-hero-vintage-watches-collectors-corner-ny_a2e9f9d6-7654-4538-9cc1-888f00841c44.jpg?v=1786637883,"Breguet is a renowned Swiss luxury watchmaker with a rich history that dates back over two centuries. The brand was founded in 1775 by Abraham-Louis Breguet, a watchmaker of great significance in the horological world. One of Breguet's most impactful contributions to horology was the invention of the tourbillon - a mechanism that compensates for errors in timekeeping caused by gravity's effects on",Collectors Corner NY,2026-08-14,False
Universal Genève Polerouter Date 204607-2 w/Non-Luminous Silver Dial,Universal Genève,6300,https://collectorscornerny.com/products/universal-geneve-polerouter-date-204607-2-w-non-luminous-silver-dial,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/universal-geneve-polerouter-date-204607-2-non-luminous-silver-dial-hero-vintage-watches-collectors-corner-ny.jpg?v=1785940475,"The UG Polerouter made a lasting mark in horology with its romantic ties to aviation. Introduced in 1954, the model was released in partnership with Scandinavian Airline System (SAS), with the goal of creating a timepiece that was resistant to higher magnetism experienced in the North and South Poles. The Polerouter is also coveted for being a G érald Genta design and at only 24 years old at the t",Collectors Corner NY,2026-08-13,False
Vacheron Constantin Les Historiques 48003/000J-3 - Full Set,Vacheron Constantin,10900,https://collectorscornerny.com/products/vacheron-constantin-les-historiques-48003-000j-3-full-set,https://cdn.shopify.com/s/files/1/0733/8603/3428/files/vacheron-constantin-les-historiques-48003-000J-3-full-set-hero-vintage-watches-collectors-corner-ny.jpg?v=1785940511,"One of the oldest watchmaking companies, Vacheron was founded in 1755 in Geneva, Switzerland. As part of the ""Holy Trinity,"" along with Patek Philippe and Audemars Piguet, VC is known for their high-quality and unique design language. Even today, however, the brand remains relatively under-appreciated considering their significant contribution to horology. This VC Les Historiques is a 90's era tim",Collectors Corner NY,2026-08-13,False
