title,brand,price,url,img,description,source,date,sold
*Unpolished* 1982 Rolex Submariner (Ref. 16800) Matte Dial,Rolex,13750,https://craftandtailored.com/products/1982-rolex-submariner-ref-16800-matte-dial-10,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043732.jpg?v=1778620601,"Beloved by both the vintage enthusiast and neo-vintage aficionados, the reference 16800 Submariner is one of the most important Rolex dive watches produced. The transitional foundation of the ref. 16800 makes this watch special, as it is both the last of the truly vintage Submariners and the platform for the modern Submariner we see today. Introduced in late 1979, the ref. 16800 brought us a litany of improvements to the Submariner line. First of which is a sapphire crystal, which helped bring the depth rating from 660ft to an impressive 1000ft. The unidirectional click-spring bezel made its first appearance on the Submariner line as well, making the Submariner a more secure and safe timing apparatus for divers. Along with these external enhancements, the movement was drastically upgraded to the Cal. 3035, which featured a quickset function for the first time in the Submariner line. The first iteration of the ref. 16800 featured a matte black dial similar to that of the acrylic crystal Submariner ref. 1680 that preceded it. These early matte dial examples were only produced for a brief period, about 4 years total until early 1984. In late 1984, Rolex switched the dial design to the more recognizable, by modern standards, glossy dial with white gold surround markers. Both executions are cherished by collectors, but it is the earlier matte dial version that offers a vintage aesthetic with modern functionality that is the most desirable amongst this transitional reference. SPECS Stock # RLXSUB1680082-7 Brand Rolex Style Submariner Model 16800 Serial 72XXXXX Size Men's Material Stainless Steel Dial Matte Black Millimeters 40 Bracelet Rolex 93150 Oyster Bracelet W/ 593 End Pieces CASE & BRACELET The impressive case is believed to remain unpolished, featuring crisp factory chamfers and dimensions throughout the thick and symmetrical lugs. The original bezel insert is in exceptional condition, remaining deep black in color with almost no wear present, and the original pearl has achieved a caramel color. The case back retains its original factory finish with light wear present. The original Rolex 93150 Oyster bracelet with 593 end pieces has a ""G"" date code, and retains 12 links that show almost no stretch and will fit up to a 7.5-inch wrist. DIAL & HANDS The original matte black dial is in virtually flawless condition, with no imperfections present. The tritium lume plots have achieved a vivid golden yellow patina and exhibit no notable degradation when inspected under UV light. The original tritium hands feature some oxidation on the steel, and the lume has aged to match the dial perfectly, while exhibiting no degradation under UV light inspection. The white date wheel is original with ""open"" 6 and 9 numerals. ACCESSORIES None. The watch was recently serviced and is keeping time perfectly, backed by a one-year warranty",Craft & Tailored,2026-06-24,False
1958 Tudor Oyster (Ref. 7934) Blue Enamel Engraved Floral Motif Dial,Tudor,10450,https://craftandtailored.com/products/1950s-tudor-oyster-ref-7934-blue-enamel-engraved-floral-motif-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044416copy.jpg?v=1782340804,"This beautiful and remarkably rare Tudor Oyster ref. 7934 boasts one of the most unexpected, intricate, and captivating dials we've seen from the brand. Making for a watch with a unique juxtaposition as this type of dial detail would be more expected from brands such as Patek Philippe or Vacheron Constantin, being hand engraved and then enameled and finished with impressive detail, however, it is encased in a robust, waterproof stainless steel case in the classic stylings of Rolex / Tudor in this era. The Rolex / Tudor relationship dates back to 1926, when Hans Wilsdorf, the founder of Rolex SA, wanted to create a more affordable wristwatch alternative that still maintained a high quality of craftsmanship. Tudor manufactured wristwatches adjacent to Rolex for many years, which featured more affordable non-in-house Swiss movements, whilst still utilizing Rolex's case designs and manufacturing processes. Even though Tudor shares many similarities with its older brother, Rolex, Tudor's designs tended to differentiate from the Rolex formula to make for some uniquely fantastic timepieces in their own right. SPECS Stock # TDRO7934-4 Brand Tudor Style Oyster Model 7934 Serial 21XXXX Size Men's / Unisex Material Stainless Steel Dial Cream W/ Blue Enamel Engraved Floral Motif Millimeters 34 Bracelet Rolex 7205 Oyster Rivet Bracelet W/ 57 End Pieces CASE & BRACELET The excellent case retains very thick and even lugs that exhibit light signs of use, with minimal evidence of prior polishing present. The smooth stainless steel bezel is also in great condition, with minor signs of use present. The case retains a twin-lock Rolex crown, which is likely an early service replacement. The original Rolex 7205 Oyster rivet bracelet with 57 end pieces is stamped 3/57 and retains 11 links that show minor stretch and will fit up to a 6.75-inch wrist. DIAL & HANDS The intricate, rare, and beautiful dial has achieved a wonderful vintage aesthetic and remains in great vintage condition. The cream-colored, waffle-textured, outer portion of the dial, which houses the gold markers, exhibits some darkening to the color, along with some expected age and markings throughout. The radium-filled markers and lume plots all remain intact, with subtle, yet expected degradation present when inspected under UV light, and feature a dark patina. The blue enameled center portion of the dial still remains vibrant, though some expected dulling and light wear is visible, but no cracking or major damage is present. The original radium lume gilt alpha hands match the dial with no notable degradation present. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-24,False
"1977 Rolex GMT-Master ""Blueberry"" (Ref. 1675) Mk. III ""Radial"" Dial",Rolex,51750,https://craftandtailored.com/products/1977-rolex-gmt-master-blueberry-ref-1675-mk-iii-radial-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044349_f1cc6981-d402-4e20-b140-8d5508bfecb2.jpg?v=1782336373,"Within the vintage Rolex collecting community, the all-blue “Blueberry” bezel insert has become a well-known variation associated with the GMT-Master reference 1675. While period Rolex catalogs and advertising materials do not document a factory configuration pairing the reference with an all-blue bezel, many collectors believe these inserts originated through Rolex service channels rather than standard production. Examples began appearing within the collecting market in the early 2000s, reportedly sourced from an official Rolex service center. Because of this, many seasoned collectors view the Blueberry insert as a period Rolex service component produced during the lifespan of the GMT-Master rather than a bezel fitted to watches when originally delivered from the factory. The deep blue tone of the insert offers a distinctive alternative to the more commonly seen red and blue “Pepsi” or all-black bezel configurations and has become a recognizable aesthetic within the broader GMT-Master collecting landscape. Interestingly, the ""Blueberry"" inserts do possess key font and manufacturing characteristics seen in other period inserts, such as serrifs on the font Today, the Blueberry insert represents one of the many fascinating variations that emerged during the decades-long production of the GMT-Master. For collectors who appreciate the nuances of vintage Rolex components and the subtle evolution of the model over time, it remains a compelling and visually striking configuration. The Mk. III matte dial for the Rolex ref. 1675 GMT-Master, also known as the ""Radial Dial"" or ""Mini Dial"", is revered as being the rarest and most unique variant among the matte dial range for the ref. 1675. The Radial dial is not only special among Rolex's GMT-Master models, either. The Mk. III dial features design characteristics more similar to the Gilt-era of dial manufacturing, but not seen in any other dial produced by Rolex in the entirety of the matte dial sports models. The ""Radial"" or ""Mini"" dial nicknames come from the noticeably more centered and smaller lume plots represented as opposed to the more traditional Rolex matte dial format. The Mk. III ref. 1675 is loved by collectors not only for its rarity, but because its characteristics offer a truly unique experience among one of the most historically significant references from Rolex. SPECS Stock # RLXGMT1675BB Brand Rolex Style GMT-Master Model 1675 Serial 53XXXXX Size Men's Material Stainless Steel Dial Matte Black Mk. III ""Radial Millimeters 40 Bracelet Rolex 62510H Jubilee Bracelet W/ 555 End Pieces CASE & BRACELET The impressive case boasts broad chamfers along the thick, symmetrical lugs, while exhibiting honest signs of use and evidence of light polishing in the past. The exceptional ""blueberry"" insert, correct with ""ghost triangle"", is in near-perfect condition, showing nominal fading or signs of wear. The Rolex 62510H Jubilee bracelet with 555 end pieces is a later service unit that retains 20 links that ",Craft & Tailored,2026-06-24,False
"1987 Omega Speedmaster Automatic (Ref. 376.0822) ""Holy Grail""",Omega,18250,https://craftandtailored.com/products/1987-omega-speedmaster-automatic-ref-376-0822-holy-grail,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044344copy_14c13357-5f3f-458b-b79f-0baff4383fe2.jpg?v=1782178165,"The Omega Speedmaster Professional remains one of the most iconic chronographs ever produced. Its story spans from the world of motorsport to aviation, and ultimately to NASA and the U.S. Space Program. Within the expansive Speedmaster lineage, countless subtle reference variations have become highly sought after by collectors. By the mid-1980s, Omega faced mounting pressure from inexpensive and technologically advanced Japanese quartz watches. In response, the brand introduced a trio of innovative limited-production Speedmasters that expanded upon the traditional Moonwatch formula: • 20-Year Flight-Qualified for Space (Ref. ST 345.0808, 1985–1988) — A numbered series of 1,000 pieces and the first Moonwatch-cased Speedmaster to feature a display caseback, revealing the copper-colored Calibre 863. • ""Speedy-Moon"" (Ref. ST 345.0809, 1985–1988) — Produced in approximately 1,300 examples and the first Moonwatch-cased Speedmaster equipped with a moonphase complication, powered by the Calibre 866. • ""Holy Grail"" (Ref. ST 376.0822, 1987–1988) — Produced in approximately 1,800 examples and the first Moonwatch-cased Speedmaster fitted with a self-winding chronograph movement, featuring both day and date displays and powered by the Calibre 1045. The ""Holy Grail"" Speedmaster, its nickname coined by the late Omega authority Chuck Maddox, is among the most uncommon and desirable Speedmaster variants ever produced. Combining the classic design language of the Speedmaster Professional with the highly regarded Lemania-based Calibre 1045 from the Speedmaster Mark 4.5, it represents a unique fusion of form and function. In addition to the traditional chronograph layout, the Calibre 1045 incorporates day and date displays as well as a 24-hour indicator, creating one of the most technically sophisticated and compelling Speedmasters of its era. SPECS Stock # OMSPHG3760822 Brand Omega Style Speedmaster Automatic ""Holy Grail"" Model 376.0822 Serial 482XXXXX Size Men's Material Stainless Steel Dial Matte Black Millimeters 42 Strap 2pc Handmade Leather Rally Strap CASE & BRACELET The slightly modified take on the classic asymmetrical case design makes for a slightly thicker timepiece, to accomodate for the extra complications as well as the automatic winding function. The case itself is in wonderful condition, exhibiting minimal signs of wear and only light evidence of prior polishing. The black aluminum tachymetre bezel remains in well-preserved, clean condition, with only signs of gentle wear present. The case retains its original pump pushers and Omega-signed crown. The case back is in very crisp condition, with the medallion fully intact, and only light wear marks. The watch comes supplied on a 2pc handmade leather rally strap. DIAL & HANDS The original matte black dial is the perfect combination of complicated, but uncluttered, and remains in excellent vintage condition, with no damage or wear present on the dial itself. The tritium lume plots have achieved a golden ",Craft & Tailored,2026-06-23,False
1960s Heuer Carrera 12 '2nd Execution' (Ref. 2447D) Silver Decimal Dial,Heuer,10000,https://craftandtailored.com/products/1960s-heuer-carrera-12-2nd-execution-ref-2447d-silver-decimal-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044335.jpg?v=1781917652,"The Heuer Carrera 12 is one of those rare chronographs that effortlessly combines motorsport heritage, technical significance, and timeless design. Introduced in 1963, the same year as the Rolex Daytona, the Carrera shared several notable traits with its contemporary, including Singer-produced dials and the legendary Valjoux 72 movement. Named after the notoriously dangerous Carrera Panamericana, the Carrera quickly established itself as one of the defining chronographs of the twentieth century, earning its place among the most celebrated sports watches ever produced. Designed by Jack Heuer with legibility as the primary objective, the Carrera was intentionally free of unnecessary distractions. A patented steel tension ring secured the crystal while simultaneously carrying the 1/5-second scale, allowing the dial itself to remain exceptionally clean and easy to read. Paired with simple baton hour markers and a sharply executed Piquerez-manufactured case featuring faceted lugs, the result was a chronograph of remarkable elegance and clarity. The present Ref. 2447D, known as the Carrera 12 for its combination of 30-minute and 12-hour registers, is fitted with an especially desirable second-execution silver ""Decimal"" dial. Featuring a monochromatic silver-on-silver layout with matching sub-dials and an uncommon decimal scale, this configuration is among the most attractive and sought-after variants of the early Carrera lineage. SPECS Stock # HUR2447D-2 Brand Heuer Style Carrera 12 Model 2447D Serial 77XXX Size Mens Material Stainless Steel Dial Silver ""Decimal"" Millimeters 36 Strap 2pc Handmade Leather Strap W/ Heuer Tang Buckle CASE & BRACELET The impressive case is very well-preserved, exhibiting minimal wear and no notable evidence of prior polishing. The case retains the original pump pushers and Heuer signed crown. The screw-down case back features crisp finishing with minimal signs of use present. The watch comes supplied on a 2pc handmade leather strap and an era-correct Heuer tang buckle. DIAL & HANDS The beautiful, second execution silver ""decimal"" dial is in excellent condition, showing no damage or notable signs of age. The original tritium lume plots mostly all remain intact, except for the 3 and 9 o'clock plots, which are commonly missing on these models, and feature a subtle cream patina. The original black inlay hands were professionally restored with tritium to match the dial patina. ACCESSORIES None. The watch is running and functioning correctly, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-22,False
1940s Movado Ladies Bracelet Watch 18K YG (Ref. 1025) Two-Tone Silver Dial W/ Breguet Numerals,Movado,2650,https://craftandtailored.com/products/1940s-movado-ladies-bracelet-watch-18k-yg-ref-1025-two-tone-silver-dial-w-breguet-numerals,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044239_64968722-531f-43e0-8fa5-c781d64337c8.jpg?v=1782171921,"Movado stands as a perfect example of what makes vintage watches so captivating compared to their modern counterparts. During the mid-century, the brand competed directly with the likes of Rolex and Patek Philippe, earning acclaim for its design innovation and craftsmanship. Movado firmly established itself as a premium manufacturer, one whose influence continues to resonate throughout the watch industry today. SPECS Stock # MOVL18K Brand Movado Style Bracelet Watch Model 1025 Serial 39XXX Size Women's Material 18K Yellow Gold Dial Two-Tone Silver W/ Breguet Numerals Millimeters 13 X 31 Bracelet Vintage Gold-Plated Bracelet CASE & BRACELET The beautifully preserved, 18K yellow gold case, featuring articulating lugs, is simply exceptional. The case exhibits signs of gentle wear and light evidence of prior polishing, expected for its age, but maintains visible hallmarks and factory geometry throughout. The crown is likely an early service replacement, but matches the overall aesthetic of the watch perfectly. The watch comes supplied on a vintage gold-plated bracelet, which matches the watch perfectly and will fit up to a 6.5-inch wrist. DIAL & HANDS The original, beautiful, and well-preserved two-tone silver dial with Breguet numeral markers features only minor elements of age with no damage present. The original yellow gold kite hands are in excellent condition. ACCESSORIES None. The watch is running, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-22,False
"2008 Patek Philippe Perpetual Calendar Moonphase Chronograph 18K YG (Ref. 5970J) W/ Box, Certificate of Origin, Accessories, & Recent Patek Philippe Service Receipt",Patek Philippe,250000,https://craftandtailored.com/products/2008-patek-philippe-perpetual-calendar-moonphase-chronograph-18k-yg-ref-5970j-w-box-certificate-of-origin-accessories-recent-patek-philippe-service-receipt,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044244copy.jpg?v=1781916264,"'You never actually own a Patek Philippe. You merely look after it for the next generation.’ — Patek Philippe started this now ubiquitous marketing campaign in 1966 and never looked back, though they already had an outstanding legacy since the watchmaker was founded in the year 1839. Patek built its reputation on several foundational pillars: tradition, innovation, and excellence, all of which are paramount in every timepiece they make, both old and new. The Grand Complications series is the best from the best, being Patek Philippe's premier offering at any one time. While other wild creations are made alongside, such as the Grandmaster Chime, these generally extravagant models are essentially unobtainable horological feats of art. Whereas the Grand Complications series is that of wearable watchmaking excellence in its purest form. Dating all the way back to 1941 with the now iconic reference 1518, Patek Philippe unveiled the first perpetual calendar chronograph to the world. Today, the 1518 is celebrated as one of the most coveted watches of all time, commonly fetching millions of dollars at auctions every year. The ref. 1518 ceased production in 1954, the next reference, the 2499 was produced from 1950 - 1985 and utilized the same Valjoux cal. 13 movement as its predecessor. The third execution of the Grand Complications line from Patek Philippe, the reference 3970, carries the historical transition from a Valjoux-based caliber movement to a Lemania-based caliber with the caliber 2310. The Lemania cal. 2310 is widely regarded as one of the greatest movements ever created, and was the same movement that NASA brought into space with the Omega Speedmaster, though heavily modified in the hands of Patek Philippe to incorporate the perpetual calendar as well as elevate the finishing to the horological house’s standards. The ref. 3970 reigned from 1986-2004. The fourth installment of the Patek Philippe Grand Complications Perpetual Calendar Chronograph is the reference 5970, which is already celebrated as a modern classic and is regarded extremely highly amongst the world's most influential collectors. Building off and improving upon the base created by the ref. 3970, the ref. 5970 introduces both more traditional and updated elements that create the reference's distinct feel. With a 40mm case size, the largest in the Grand Complications’ history at the time of production, the ref. 5970 truly feels like a modern interpretation of its predecessors, especially with the square pushers that call back to the original design of the ref. 1518 from 1941. It is estimated that 2800 pieces were produced in the 6 years that the ref. 5970 was produced from 2004 to 2010. Of the 2800, it is believed the rose and white gold models are the most common, with an estimated production of 1,000 pieces each produced from 2004-2008. Yellow gold models were only produced in 2008 and are said to be the rarest variants, with a very low estimated production of a mere 300 pieces.",Craft & Tailored,2026-06-22,False
"1960s Jaeger-LeCoultre Automatic Memovox Gold-Filled (Ref. 2265) Silver ""Sober"" Dial",Jaeger-LeCoultre,2450,https://craftandtailored.com/products/1960s-jaeger-lecoultre-automatic-memovox-gold-filled-ref-2265-sober-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img043316copy_0c922c60-40f1-432c-a59b-7c100324a510.jpg?v=1781915198,"This Jaeger-LeCoultre Automatic Memovox ref. 2265 is one of the most desirable alarm references produced by Jaeger-LeCoultre from the 1950-60s. This reference employs the Cal. K815 movement, which is the very first automatic alarm movement, and utilizes a ""bumper rotor"" for its automatic winding system. The double-crown feature allows for winding and setting the time, as well as setting the alarm. The top crown sets the alarm complication of the timepiece. This exquisite automatic Memovox features a noble 38mm gold-filled case, making this creation oversized for its era. The case sits nicely on the wrist and has a classic and timeless appearance while remaining relevant by today's wristwatch sizing standards. This piece would make a great addition to an existing collection and be a great and classic timepiece as a stand-alone piece. SPECS Stock # JLCMVA2265 Brand Jaeger-LeCoultre Style Automatic Memovox Model 2265 Serial 4523085 Size Men's Material Gold-Filled Stainless Steel Dial Silver ""Sober"" Millimeters 38 Bracelet Kreisler 10K Gold-Filled Coffin-Link Bracelet CASE & BRACELET The excellent, oversized case features its original dimensions, showing some light wear with minimal evidence of prior polishing present. The matching twin crowns are likely early replacements as they are not branded. The case back retains all of its original factory markings in crisp and visible condition; the case back exhibits some light tool marks, which are common for these two-piece case backs. The generic, but likely original to the watch, Kreisler 10K gold-filled coffin-link bracelet retains 11 links that show almost no stretch and will fit up to a 7.5-inch wrist. DIAL & HANDS The original silver sunburst ""sober"" dial is primarily brandless, apart from the ""Memovox"" text, hence the nickname ""sober"" dial. The dial is in wonderful vintage condition, showing some gentle marks and age, expected for the era of the watch, though no major damage is present. The tritium lume plots located around the center of the dial and within the alarm arrow all remain at least partially intact, exhibiting light degradation, and have taken on a matching beige patina. The original tritium yellow gold hands match the dial patina and exhibit no degradation under UV light inspection. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-19,False
1984 Rolex Datejust (Ref. 16030) Silver Dial,Rolex,4350,https://craftandtailored.com/products/1984-rolex-datejust-ref-16030-silver-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044237.jpg?v=1781728748,"The Rolex Datejust is one of the most iconic and beloved Rolex watches ever made. This classic dress watch has been produced by the Swiss luxury watchmaker since 1945 and has remained a timeless classic that is instantly recognizable as an item of refined quality and functional design. The Datejust was designed for everyday wear, and its sleek and elegant design makes it one of the most universally loved watches for both men and women. One of the largest evolutions for the Rolex Datejust model lineup was at the end of the 1970s with the introduction of the first ""flat dial"" Datejust. These models introduced upgraded bracelets, and the movement was vastly upgraded to the Rolex cal. 3035 quick-set movement. These Datejust variations are often referred to as being transitional, as they still feature the more classic acrylic crystals and tritium lume, whilst housing many advancements. SPECS Stock # RLXDJ16030-7 Brand Rolex Style Datejust Model 16030 Serial 83XXXXX Size Men's Material Stainless Steel Dial White Millimeters 36 Bracelet Rolex 62510H Jubilee Bracelet W/ 555 End Pieces CASE & BRACELET The very thick and symmetrical case shows some honest wear throughout, most notably a small dent is present at 10 o'clock on the lower portion of the case, though the case exhibits no notable evidence of being polished in the past. The stainless steel engine turned bezel also remains in crisp condition, with some elements of wear present. The original Rolex 62510H bracelet with 555 end pieces retains 19 links that show light stretch and will fit up to a 7-inch wrist. DIAL & HANDS The original silver sunburst dial is in excellent condition, showing no damage or age. The tritium lume plots have achieved a vivid patina, with only the 9 o'clock plot exhibiting degradation when inspected under UV light. The original tritium hands match the dial perfectly and display no degradation when inspected under UV light. The white date wheel is original with ""open"" 6 and 9 numerals. ACCESSORIES None. The watch is running, previous service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-17,False
1958 Tudor Oyster (Ref. 7934) Red Enamel Engraved Floral Motif Dial,Tudor,11750,https://craftandtailored.com/products/1958-tudor-oyster-ref-7934-red-enamel-engraved-floral-motif-dial,https://cdn.shopify.com/s/files/1/1104/9180/files/Img044158_f35eb0ee-5e7b-46ad-ad76-fd051db0818f.jpg?v=1781310578,"This beautiful and remarkably rare Tudor Oyster ref. 7934 boasts one of the most unexpected, intricate, and captivating dials we've seen from the brand. Making for a watch with a unique juxtaposition as this type of dial detail would be more expected from brands such as Patek Philippe or Vacheron Constantin, being hand engraved and then enameled and finished with impressive detail, however, it is encased in a robust, waterproof stainless steel case in the classic stylings of Rolex / Tudor in this era. The Rolex/Tudor relationship dates back to 1926, when Hans Wilsdorf, the founder of Rolex SA, wanted to create a more affordable wristwatch alternative that still maintained a high quality of craftsmanship. Tudor manufactured wristwatches adjacent to Rolex for many years, which featured more affordable non-in-house Swiss movements, whilst still utilizing Rolex's case designs and manufacturing processes. Even though Tudor shares many similarities with its older brother, Rolex, Tudor's designs tended to differentiate from the Rolex formula to make for some uniquely fantastic timepieces in their own right. SPECS Stock # TDRO7934-3 Brand Tudor Style Oyster Model 7934 Serial 26XXXX Size Men's / Unisex Material Stainless Steel Dial Cream W/ Red Enamel Engraved Floral Motif Millimeters 34 Bracelet Rolex 7205 Oyster Rivet Bracelet W/ 60 End Pieces CASE & BRACELET The strong case features full and symmetrical lugs that exhibit only minimal wear and light evidence of prior polishing. The smooth stainless steel bezel is also in wonderful condition, with light signs of use present. The case retains a twin-lock Rolex crown, which is likely an early service replacement. The later Rolex 7205 Oyster rivet bracelet with 60 end pieces retains 13 links that show mild stretch and will fit up to a 7.75-inch wrist. DIAL & HANDS The rare, brilliant, and exceptionally-preserved dial is truly magnificent. The cream-colored, waffle-textured, outer portion of the dial, which houses the gold markers, remains bright in color with only minor marks from age present. The radium-filled markers and lume plots all remain intact, with subtle, yet expected degradation present when inspected under UV light, and feature a dark patina. The red enameled center portion of the dial remains vivid and in remarkable condition, exhibiting no cracking or damage. The original radium gilt alpha hands have aged to a dark beige patina and exhibit only minor lume loss in the minutes hand. ACCESSORIES None. The watch is keeping time, but the service history is unknown. A movement service can be purchased upon request.",Craft & Tailored,2026-06-12,False
