title,brand,price,url,img,description,source,sold
Audemars Piguet Perpetual Calendar Mini 25679BA B&P 1990,Audemars Piguet,21800,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-qp-mini-25679ba-1990,https://image6.photobiz.com/8933/28_20260602051933_7462479_xlarge.jpg,"Audemars Piguet Mini Pepetual Calendar (QP), Yellow Gold 25679BA B&P
Serial: N 132 / C76016 / Mvt 322083
Circa: 1990
Reference: 25679BA",DB1983,False
Audemars Piguet Perpetual Calendar Mini 25679BA B&P 1990,Audemars Piguet,26800,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-qp-mini-25679ba-bp-1990,https://image7.photobiz.com/8912/28_20260527034212_7459964_xlarge.jpg,"Audemars Piguet Mini Pepetual Calendar (QP), Yellow Gold 25679BA B&P
Serial: N 132 / C76016 / Mvt 322083
Circa: 1990
Reference: 25679BA",DB1983,False
Audemars Piguet Royal 14790BA White 1998,Audemars Piguet,39500,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-14790ba-white-1998,https://image10.photobiz.com/8495/28_20260602100116_7462574_xlarge.jpg,"Audemars Piguet Royal Oak 14790BA 18K Yellow Gold, White MK2 Dial
Serial: N 991 / E3219 / Mvt 459285
Circa: 1998
Reference: 14790BA",DB1983,False
Audemars Piguet 4791bc Ultra Thin WG Papers 1993,Audemars Piguet,6800,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-4791bc-ultra-thin-wg-papers-1993,https://image4.photobiz.com/8911/28_20260602051511_7462462_xlarge.jpg,"Audemars Piguet Automatic Date 18K Yellow Gold
Serial: C86490 / mvt 347484
Circa: 1990
Reference: 14675BA",DB1983,False
Breguet Classique 3910BB White Gold 2000,Breguet,8000,https://www.db1983.com/the-collection/collection-for-sale/breguet-3910bb-classique-white-gold-2000,https://image3.photobiz.com/8929/28_20260602100605_7462594_xlarge.jpg,"Breguet Classique 3910BB, 18K White Gold
Serial: 2249K
Circa: 2000
Reference: 3910BB",DB1983,False
Patek Philippe Calatrava 3960J NOS B&P 1989,Patek Philippe,31500,https://www.db1983.com/the-collection/collection-for-sale/patek-philippe-calatrava-3960j-nos-bp-1989,https://image4.photobiz.com/8911/28_20260602053448_7462545_xlarge.jpg,"Patek Philippe 3960J, 18K yellow gold, 150th Anniversary, New Old Stock with box, papers, coin & sealed 
Serial: 768624
Circa: 1989
Reference: 3960J",DB1983,False
Patek Philippe Calatrava 4809G Ladies 1990,Patek Philippe,6300,https://www.db1983.com/the-collection/collection-for-sale/patek-philippe-calatrava-4819j-1990,https://image5.photobiz.com/8905/28_20260602053340_7462539_xlarge.jpg,"Patek Philippe Calatrava 4819J, Ladies, 18K yellow gold, Clous de Paris Bezel
Serial: 2990458 / Mvt 1610906
Circa: 1990
Reference: 4819J",DB1983,False
Patek Philippe Calatrava 4904G Ladies 2005,Patek Philippe,9200,https://www.db1983.com/the-collection/collection-for-sale/patek-philippe-calatrava-4905g-bp-2005,https://image8.photobiz.com/8585/28_20260602101018_7462607_xlarge.jpg,"Patek Philippe Calatrava 4905G, Ladies, 18K white gold with Roman numerals, box & papers 
Serial: 4217000 / Mvt 3350100
Circa: 2005
Reference: 4905G",DB1983,False
Patek Philippe Calatrava 4809G Ladies B&P 2007,Patek Philippe,8500,https://www.db1983.com/the-collection/collection-for-sale/patek-philippe-calatrava-4809g-bp-2007,https://image11.photobiz.com/8586/28_20260527044242_7460030_xlarge.jpg,"Patek Philippe Calatrava 4809G, Ladies, 18K white gold, Clous de Paris Bezel, B&P
Serial: 4337122 / Mvt 3350403
Circa: 2007
Reference: 4809G",DB1983,False
Patek Philippe Ellipse 3738G Archives 2007,Patek Philippe,21500,https://www.db1983.com/the-collection/collection-for-sale/patek-philippe-ellipse-3738g-archives-2007,https://image11.photobiz.com/8586/28_20260527045844_7460047_xlarge.jpg,"Patek Philippe Ellipse 3738G, 18K White Gold, Automatic, Grey Dial, Archives Extract
Serial: 4349579 / Mvt 1209692
Circa: 2007
Reference: 3738G",DB1983,False
Rolex Submariner 1680 Red MK4 1973,Rolex,17500,https://www.db1983.com/the-collection/collection-for-sale/rolex-submariner-1680-red-mk4-box-1973,https://image14.photobiz.com/10152/28_20260527063640_7460088_xlarge.jpg,"Rolex Submariner 1680, Red Sub MKIV feet first
Serial: 3405661
Circa: 1973
Reference No.: 1680",DB1983,False
Vacheron Constantin Skeleton 43038J YG 1992,Vacheron Constantin,25000,https://www.db1983.com/the-collection/collection-for-sale/vacheron-constantin-skeleton-43038j-yg-1992,https://image6.photobiz.com/8933/28_20260602052437_7462506_xlarge.jpg,"Vacheron Constantin Skeleton, 18K Yellow Gold, Faceted case
Serial: Case 601494 / Mvt 765063
Circa: 1992
Reference: 43038J",DB1983,False
Vacheron Constantin Day Date 47008J 1994,Vacheron Constantin,10500,https://www.db1983.com/the-collection/collection-for-sale/vacheron-constantin-day-date-47008j-1994,https://image14.photobiz.com/10152/28_20260602052747_7462514_xlarge.jpg,"Vacheron Constantin Day Date, 34mm, Yellow Gold, Spanish Calendar
Serial: 626661 / Mvt 795429
Circa: 1994
Reference: 47008J",DB1983,False
Audemars Piguet Royal 5402BA 1978,Audemars Piguet,78000,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-5402ba-ap-down-1978,https://image8.photobiz.com/8585/28_20250722061413_7297350_xlarge.jpg,"Audemars Piguet Royal Oak 5402BA Jumbo, 18K Yellow Gold, AP Down Grey Dial
Serial: No 342 / B28728 / mvt 196662
Circa: 1978
Reference: 5402BA",DB1983,False
Audemars Piguet Royal 25572SA Day Date OWL 1985,Audemars Piguet,19800,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-royal-oak-25572sa-owl-1985,https://image8.photobiz.com/8585/28_20250715095226_7292683_xlarge.jpg,"Audemars Piguet Royal Oak 25572SA Day Date Owl, Steel & Gold
Serial: No 234 / B88105 / Mvt 268240
Circa: 1985
Reference: 25572SA",DB1983,False
Audemars Piguet 5205BC Turler 18K White Gold Automatic 1964,Audemars Piguet,9500,https://www.db1983.com/the-collection/collection-for-sale/audemars-piguet-5205bc-turler-white-gold-1964,https://image14.photobiz.com/10152/28_20250418150112_7248747_xlarge.jpg,"Audemars Piguet 5205BC, Turler Double Signed, Tonneau 18K White Gold, Automatic
Serial: 33033 / mvt 94863
Circa: 1964
Reference: 5205BC",DB1983,False
Omega Speedmaster CK 2998-1 Tropical Lollipop 1960,Omega,115000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-1-tropical-19603,https://image14.photobiz.com/10152/28_20260108092639_7400947_xlarge.jpg,"OMEGA Speedmaster CK 2998-1 Lollipop Tropical Dial with Box, papers and archives extract
Serial: 17761184
Circa: 1960
Reference: CK 2998-1",DB1983,False
Omega Speedmaster CK 2998-61 1962,Omega,17500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-61-1962,https://image14.photobiz.com/10152/28_20251022025311_7346940_xlarge.jpg,"OMEGA Speedmaster CK 2998-61, Circa 1962 Serial: 18946192 Circa: 1962 Reference No.: CK 2998-61 CASE: 39mm, stainless steel, steel with grey ghost DO90 tachymeter",DB1983,False
Omega Speedmaster*** CK 2998-3 FAP*** 1961,Omega,29500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-3-fap-1961,https://image9.photobiz.com/8584/28_20241221084627_7192804_xlarge.jpg,"OMEGA Speedmaster CK2998-3 FAP (Fuerza Aérea del Perú), Lollipop Hand, Circa 1961
Serial: 17762370
Circa: 1961
Reference No.: CK2998-3",DB1983,False
Omega Speedmaster*** CK 2998-5*** 1961,Omega,21500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-ck-2998-5-1962,https://image12.photobiz.com/7732/28_20260527033004_7459960_xlarge.jpg,"OMEGA Speedmaster CK 2998-5, Circa 1961Serial: 18645424Circa: 1961Reference No.: CK 2998-5CASE: 39mm, stainless steel, steel with black DO90 tachymeter",DB1983,False
Omega Speedmaster 105.002-62 FAP Blue Bezel 1963,Omega,25600,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-105002-62-fap-1963,https://image8.photobiz.com/8585/28_20260320132635_7427829_xlarge.jpg,"Omega Speedmaster 105.002-62, Peruvian Air Force (FAP), Blue Bezel
Serial: 19584300
Circa: 1963
Reference No.: 105.002-62",DB1983,False
Omega Speedmaster 105.003-65 Tropical Dial 1966,Omega,19500,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-105003-65-tropical-1966,https://image9.photobiz.com/8584/28_20250219151031_7220508_xlarge.jpg,Omega Speedmaster 105.003-65,DB1983,False
Omega Speedmaster 145.012-67 Archives 1968,Omega,7000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-145012-67-archives-1968,https://image5.photobiz.com/8905/28_20260321122137_7428035_xlarge.jpg,"Omega Speedmaster 145.012-67 with Archives Extract
Serial: 26078730
Circa: 1968
Reference: 145.012-67",DB1983,False
Omega Speedmaster 145.022 Apollo-Soyuz 1976,Omega,125000,https://www.db1983.com/the-collection/collection-for-sale/omega-speedmaster-145022-apollo-soyuz-1976,https://image6.photobiz.com/8933/28_20260108092837_7400951_xlarge.jpg,"OMEGA Speedmaster 145.022 Apollo-Soyuz Limited Edition, with box & papers, circa 1976Serial: 39180905 / Limited Edition Number 006Circa: 1976Reference Roy & Sacha Davidoff SA",DB1983,False
Rolex Daytona 6265 Silver Sigma Dial 1975,Rolex,60000,https://www.db1983.com/the-collection/collection-for-sale/rolex-daytona-6265-silver-sigma-dial-1975,https://image8.photobiz.com/8585/28_20260108201806_7401721_xlarge.jpg,"Rolex Daytona 6265, Silver 'Sigma' Dial, 1975
Serial: 4026137
Circa: 1975
Reference: 6265",DB1983,False
