title,brand,price,url,img,description,source,sold
1970 Rolex MK2 1675 Pumpkin Pepsi GMT-Master,Rolex,17900,https://greyandpatina.com/product/1970-rolex-mk2-1675-pumpkin-pepsi-gmt-master/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941578-scaled.jpg,"Description: The MK2 1675 variant dial is known for its chunkier Rolex font. This specific example has beautiful pumpkin lume. The insert is a mega fat font which perfectly matches the chunky dial font. Case appears unpolished with fat bevels. This is a chunky monkey. Dial: MK2 Pumpkin Insert: Mega Font Pepsi Case: Excellent condition, appears unpolished Bracelet: Jubilee Bracelet",Grey & Patina,False
1968 Rolex MK1 1675 Light Fuchsia GMT-Master,Rolex,15950,https://greyandpatina.com/product/1968-rolex-mk1-1675-light-fuchsia-gmt-master/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941600-scaled.jpg,Description: This MK1 Long-E 1675 is one of our favorite references for vintage sport Rolex. The combination of colors are truly epitomized on these GMT models. This example has a correct Fuchsia insert that only runs on Gilt and MK1 1675 dial variants. This fuchsia has faded and has a bit of patina developing on the insert and carries a pinkish fuchsia color which is even more vivid on the back of the insert. The case has recently been polished and is thick and sharp. Dial is excellent with bea,Grey & Patina,False
1991 Rolex 16570 Polar Explorer II &#8211; Full Set,Rolex,15500,https://greyandpatina.com/product/1991-rolex-16570-polar-explorer-ii-full-set-2/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941518-scaled.jpg,"Description: A beautiful Polar 16570 with full set box and papers and documents from Japan. Watch case is crisp and very thick. Dial: Polar tropical dial with slight tint of cream Insert: Steel Bezel Case: Excellent condition, appears unpolished Bracelet: Oyster Bracelet",Grey & Patina,False
1969 King-Seiko 4502-7001 On Oxblood Strap,Other,1250,https://greyandpatina.com/product/1969-king-seiko-4502-7001-on-oxblood-strap/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941370-scaled.jpg,"Description: The 4502-7001 King Seiko is one of our favorite vintage KS watches. This example comes in a case about 36-37mm and has a date function. The leather strap in keeping with the JDM roots, is made by accurate form from Japanese Black Cowhide. Watch has recently been polished and is a killer dress / daily watch. Dial: Silver Insert: Smooth Case: 36.5 Bracelet: Oxblood Leather",Grey & Patina,False
1968 King Seiko 5626-7000 Day-Date On Blue Strap,Other,1450,https://greyandpatina.com/product/1968-king-seiko-5626-7000-day-date-on-blue-strap/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941374-scaled.jpg,"Description: The 5626-7000 King Seiko is one of our favorite vintage KS watches. This example comes in a case about 36-37mm and has a day-date function. The leather strap in keeping with the JDM roots, is made by accurate form from Japanese Black Cowhide. Watch has recently been polished and is a killer dress / daily watch. Dial: Silver Insert: Smooth Case: 36.5 Bracelet: Blue Leather",Grey & Patina,False
1985 Rolex 16030 Tropical Purple Dial Datejust,Rolex,10500,https://greyandpatina.com/product/1985-rolex-16030-tropical-purple-dial-datejust-2/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941369-scaled.jpg,"Description: The 16030 Datejust is best known to be the steel engine turned bezel variant in the Datejust lineup. The more tool watch look is achieved with a more industrial finish on the bezel vs the precious metal Datejust sibling. This example was a blue dial that has turned tropical over the years and appears more purple in appearance. Lume is all present as well and the case while previously having been lightly polished, remains thick and even throughout the lugs. Dial: Tropical Purple Inse",Grey & Patina,False
1997 Rolex 16700 Coke Swiss Only GMT-Master,Rolex,11900,https://greyandpatina.com/product/1997-rolex-16700-coke-swiss-only-gmt-master/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941005-scaled.jpg,"Description: An excellent “Swiss” only example dial where the traditional tritium denotations are omitted as this is a correct first appearance of a pure luminova dial. The insert is a beautiful pristine Coke insert and the case appears unpolished. A super clean example of a GMT with lots of personality. Traditional tritium text omission on this correct A series luminova dial denotes this 16700 as an excellent “Swiss Only” dial. Insert has obtained a beautiful ghostly fade, 40mm stainless steel ",Grey & Patina,False
1990 Rolex 16700 Pumpkin Pepsi GMT-Master,Rolex,15500,https://greyandpatina.com/product/1990-rolex-16700-pumpkin-pepsi-gmt-master/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1941376-scaled.jpg,Description: Letting the pictures speak for itself on this one. This early neo-vintage 16700 has the perfect lume color. Excellent condition ready for a new home Case : 40mm Insert : Pepsi Dial : Pumpkin Bracelet : Oyster Accessory : None,Grey & Patina,False
1978 Rolex 1675 Two-Tone GMT,Rolex,10600,https://greyandpatina.com/product/1978-rolex-1675-two-tone-gmt/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1940532-scaled.jpg,Description: the 1675 / 3 black nipple dial is a great sleeper watch that has gone unnoticed over the years. Usually nipple dial lovers sway towards the brown rootbeer variant for the 16753 reference but these black dials are beginning to command a lot of attention. This case appears polished but remains thick and event throughout the case. Dial: Nipple Black dial Insert: Black faded Lavender Insert Case: Previously Polished Excellent condition case Bracelet: Jubilee,Grey & Patina,False
1968 Rolex 1601 Confetti Dial Datejust,Rolex,8200,https://greyandpatina.com/product/1968-rolex-1601-confetti-dial-datejust/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1940533-scaled.jpg,Description: The 1601 Datejust is a classic and should be a part of every watch collection. This no lume dial is known as a confetti dial which has flakes of red greens and blue’s but predominantly red flakes mixed into the dial. A white gold fluted bezel adorns the case. This is one of our favorite dials within the 16XX realm. Case : 36mm Insert : White Gold Fluted Dial : Matte Confetti Bracelet : Jubilee Accessory : None,Grey & Patina,False
1991 Rolex 14060 Submariner,Rolex,9300,https://greyandpatina.com/product/1991-rolex-14060-submariner-9/,https://storage.googleapis.com/greyandpatina.com/2026/08/P1940685-scaled.jpg,"Description: A no-date Submariner may just be the simplest tool watch. The dateless dial gains a symmetrical appearance and without a bubble in the crystal leads to a cleaner aesthetic. Purists will argue that a dive watch has no use for a date anyways. The 14060 is one of the slimmest wearing Submariner’s produced, and this one has a beautiful yellow tritium patina. Hands are original and matches the uv dissipation on the dial as well. Since hands and dials were often assembled in different fac",Grey & Patina,False
