title,brand,price,url,img,description,source,date,sold
"3800A, Nautilus, Steel",Patek Philippe,105000,https://hairspring.com/products/3800a-nautilus-steel,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Laurent-Ferrier-Grand-Sport-Tourbillon-Steel-10_b43fbbfc-564f-4587-855e-6291ae714392.jpg?v=1784410497,"A ref. 3800A, Patek Philippe’s first mid-sized Nautilus launched in 1981 just 4 years after its 42mm predecessor. The 3800 was aimed at a broad appeal with its restrained proportions, 37.5mm, with a variety of case metals and dial configurations on offer. This example’s steel case and white dial is a variant not offered in standard production 3700, though its markers and hands tie in directly to t",Hairspring,2026-07-19,False
"Grand Sport Tourbillon, Steel",Other,154000,https://hairspring.com/products/grand-sport-tourbillon-steel,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Laurent-Ferrier-Grand-Sport-Tourbillon-Steel-7_719f82c3-f3f8-4535-851f-80cab782917b.jpg?v=1784261765,"The Grand Sport Tourbillon with blue dial is Laurent Ferrier’s first integrated sports watch made in just 12 examples, commemorating Ferrier’s podium finish at the 24 Hours of Le Mans. Its steel case and bracelet are heavily influenced by Ferrier's years in motorsport. The avant-garde 44mm steel case adds an edge of angularity to the pebble-like surfacing for which the brand is known. The tourbill",Hairspring,2026-07-17,False
"410.038, Datograph Perpetual, White Gold",A. Lange,142500,https://hairspring.com/products/410-038-datograph-perpetual-white-gold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Lange--410.038-Datograph-Perpetual-45.jpg?v=1784059882,"A ref. 410.038 Datograph Perpetual, the marriage of Lange's celebrated flyback chronograph with a perpetual calendar. Introduced in 2015, this complication revived the white gold and grey dial pairing first seen on the elusive 410.030, now with the cleaner baton-indexed dial of the second generation. It features a 41mm case, solid silver grey dial with argenté registers and deep-blue moon disc, an",Hairspring,2026-07-15,False
"Octa Réserve de Marche, Brass Movement, Platinum",Other,510000,https://hairspring.com/products/octa-reserve-de-marche-brass-platinum,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/FP-Journe-Reserve-de-Marche-Brass-Movement-38mm-93.jpg?v=1783600821,"An Octa Réserve de Marche hailing from 2003, featuring both a brass movement and 38mm case. The Réserve de Marche spearheaded the creation of FP Journe as a brand with collections, not just two watches. Brass movements were made only from 1999 to 2004 in fewer than 2,000 watches across all lines before the transition to pink gold movements. Of the Octa Réserve de Marche specifically, estimates pla",Hairspring,2026-07-09,False
"3417, Amagnetic, Steel",Other,125000,https://hairspring.com/products/3417-amagnetic-steel-1,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/3417-Amagnetic-Patek-Philippe-48.jpg?v=1783339685,"A ref. 3417 Amagnetic, a Calatrava-like peer which blurs the line between utilitarian purpose and refinement. This was in 1958 the sole Patek Philippe model to be made only in steel. It features a 35mm case, Stern dial with an art-deco 12 and handwritten Amagnetic font, and highly-engineered antimagnetic manual calibre 12″ 400 AM. This 1959 example features an early production ‘Type 1’ dial with a",Hairspring,2026-07-06,False
"Square Micro-Rotor, Ice Blue, Steel",Other,45000,https://hairspring.com/products/square-micro-rotor-ice-blue-steel,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Untitled_e172e849-e90b-420c-8a42-f953d5d42660.jpg?v=1783119582,"A Square Micro-Rotor Ice Blue, Laurent Ferrier’s sporty 70’s inspired case paired with their most technical escapement. Its beautifully finished calibre FBN229.01 utilizes a natural escapement and micro-rotor and brilliantly displays impeccable finishing standards. Its 41mm steel case is a perfect example of Ferrier’s automotive influence; it flows in a balance between masculine and feminine lines",Hairspring,2026-07-04,False
"Élégante 40, Pink Gold",F.P. Journe,380000,https://hairspring.com/products/elegante-40-pink-gold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/FP-Journe-Elegante-40-Pink-Gold-EL-60.jpg?v=1783079989,"A Élégante 40 in pink gold without any diamonds —amongst the rarest Élégantes ever made. This specification was only available at special request (with a factory Karung leather strap) and one has never appeared on the market prior. Its precious metal case is still 7.95mm thin, featuring a black dial comprised of a luminous disc of sapphire with lacquered numerals and matched pink gold hands. Under",Hairspring,2026-07-03,False
"Royal Oak, 'Jumbo' Extra Thin, White Gold",Audemars Piguet,146000,https://hairspring.com/products/royal-oak-jumbo-extra-thin-white-gold,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/15202BC-7_5a860414-d7a5-41d2-9043-2c7387d3b31d.jpg?v=1781620850,"A ref. 15202BC, a rare variant of the ‘Jumbo’ Royal Oak. One of just two pink dial ‘Jumbo’ references, its pink gold dial highlights the petite tapisserie pattern that found its return to standard production within the reference. Though its pairing of pink dial with white gold case is unique to ‘Jumbo’ Royal Oak, it remains remarkably true to the original 5402 in its proportions and dial design. I",Hairspring,2026-06-17,False
"3970EP, 'Small Hallmark' Second Series, Perpetual Calendar Chronograph, Platinum",Patek Philippe,595000,https://hairspring.com/products/3970ep-small-hallmark-second-series-perpetual-calendar-chronograph-platinum,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Patek-Philippe-3970EP-Second-Series-Small-Hallmark-70.jpg?v=1781527171,"A Second Series 3970 in platinum. Just 11 Second Series examples were produced in platinum, the rarest standard production metal. Well-preserved here, the 3970 succeeded the 2499 in 1986, the most significant contribution of Philippe Stern’s tenure over the brand. It features a 36mm Ateliers Réunis case, Lemania ébauche calibre CH 27-70 Q, feuille hands of Early Series, ‘American Typewriter’ font,",Hairspring,2026-06-15,False
"Balancier Convexe S Green, Titanium",Other,180000,https://hairspring.com/products/balancier-convexe-s-green-titanium,https://cdn.shopify.com/s/files/1/0617/0830/4465/files/Greubel-Forsey-Balancier-S-Green-7.jpg?v=1781274560,"A Balancier Convexe S Green, 1 of just 8 examples made. This Balancier S was first to debut Grebuel Forsey's oversized, in-house balance at an incline in a 110-gram titanium sports watch. It features a curved, lugless design which necessitates a curved gear train and handset. This shape an inclination defines the Convexe case, where form follows function. This example, with a green motif and — not",Hairspring,2026-06-13,False
