title,brand,price,url,img,description,source,sold
De Bethune DB28GS “Yellow Submarine” w. Miniature Dynamo Lighting,De Bethune,120000,https://lunaroyster.com/product/de-bethune-db28gs-yellow-submarine-w-miniature-dynamo-lighting/,https://media.lunaroyster.com/2026/08/7478246d-2i1a4702-scaled.jpg,"Up for grabs is a De Bethune DB28GS “Yellow Submarine.” Full reference DB28GSV2Y Introduced in 2020 as a limited edition of just 25 pieces, the DB28GS Yellow Submarine is one of De Bethune’s most technically advanced sports watches. While retaining the signature floating lugs, exposed balance wheel, and crown at 12 o’clock that define the DB28 collection, it introduces a striking yellow color palette achieved entirely through thermal oxidation of grade 5 titanium rather than coatings or paint. E",Luna Royster,False
Haldimann H1 Flying Central Tourbillon in platinum,Other,675000,https://lunaroyster.com/product/haldimann-h1-flying-central-tourbillon-in-platinum/,https://media.lunaroyster.com/2026/08/4c04a6b9-2i1a4662-scaled.jpg,"Here’s how I’d write it in your current LunarOyster listing style: Up for grabs is a Haldimann H1 Flying Central Tourbillon in platinum. Introduced in 2002, the H1 was Beat Haldimann’s first wristwatch under his own name and remains one of the most unconventional tourbillons ever produced. Rather than displaying the tourbillon through a small aperture, Haldimann built the entire movement around a centrally mounted flying tourbillon, making it the visual and mechanical centerpiece of the watch. I",Luna Royster,False
A. Lange Sohne Lange 1 “Soiree” Ref. 110.030 “Guilloche Mother of Pearl”,A. Lange,95000,https://lunaroyster.com/product/a-lange-sohne-lange-1-soiree-ref-110-030-guilloche-mother-of-pearl/,https://media.lunaroyster.com/2026/08/3841c3e9-2i1a4622-scaled.jpg,"Up for grabs A. Lange & Söhne Lange 1 with Mother of Pearl Guilloche Dial Reference 110.030 in 18k white gold with a 38.5mm case. This reference features a white mother-of-pearl dial with multiple guilloché patterns. The dial exhibits a subtle appearance with minimal iridescence, giving it a more understated look than many other mother-of-pearl dials. The case remains in excellent condition with no major scratches, dings, or dents. The caseback is in excellent condition, with sharp and well-defi",Luna Royster,False
"F.P. Journe Chronometre Optimum ref. CO “Platinum, 42mm”",F.P. Journe,320000,https://lunaroyster.com/product/f-p-journe-chronometre-optimum-ref-co-platinum-42mm-2/,https://media.lunaroyster.com/2026/07/9b85aead-2i1a4592-scaled.jpg,"Up for grabs is an F.P. Journe Chronomètre Optimum. Reference CO. This early serial number is within with first 20 and most likely the first year production in 2012. Based on records, it was serviced by FPJ in 2017 as well. This example features the 42mm platinum case with a white gold (grey) dial. The Chronomètre Optimum is a time-only watch that incorporates several of François-Paul Journe’s key technical developments, including twin mainspring barrels in parallel, a remontoir d’égalité, the E",Luna Royster,False
F.P. Journe Octa Universal Time Coordinated ref. UTC “Platinum/Grey”,F.P. Journe,300000,https://lunaroyster.com/product/f-p-journe-octa-universal-time-coordinated-ref-utc-platinum-grey/,https://media.lunaroyster.com/2026/07/e8c2365c-2i1a4585-scaled.jpg,"Up for grabs is an F.P. Journe Octa UTC Ref. “UTC.” This example features the 40mm platinum case paired with a white gold dial(grey) dial. Also, this is a very early, single digit serial number within the first 10. The Octa UTC takes its name from Coordinated Universal Time and offers a unique interpretation of a second time zone complication. Rather than a conventional GMT display, it allows the wearer to visually track a chosen time zone while also accounting for daylight saving and summer tim",Luna Royster,False
"F.P. Journe Octa Calendrier ref. Q 38mm, Red Gold, Gray Dial",F.P. Journe,400000,https://lunaroyster.com/product/f-p-journe-octa-calendrier-ref-q-38mm-red-gold-gray-dial/,https://lunaroyster.com/wp-content/uploads/2026/07/61149bd9-2i1a4567.jpg,"F.P. Journe Octa Calendrier ref. Q Up for grabs is an F.P. Journe Octa Calendrier. Reference Q in 18k red gold with a 38mm case. Produced between 2004 and 2015, the Octa Calendrier features an annual calendar with a retrograde date display. This example is configured with a white gold (grey) dial, rose gold movement, and the discontinued 38mm case. The case remains in excellent condition with no dings or dents and no notable scratches or scuffs. The watch is running as it should and was serviced",Luna Royster,False
A. Lange Söhne Tourbograph ref. 712.050 “Pour le Mérite” HoneyGold,A. Lange,550000,https://lunaroyster.com/product/a-lange-sohne-tourbograph-ref-712-050-pour-le-merite-honeygold/,https://media.lunaroyster.com/2026/07/7ebf704b-2i1a4535-scaled.jpg,"Up for grabs is an A. Lange & Söhne Tourbograph “Pour le Mérite” Reference 712.050 in Honey Gold. Limited to 50 pieces. Released in 2010 to commemorate the 165th anniversary of A. Lange & Söhne, this reference was produced in a limited edition of 50 pieces. It was also the first watch to feature the manufacture’s proprietary Honey Gold alloy, developed specifically for the anniversary collection. 41.2mm Honey Gold case with a silver dial featuring a guilloché center, applied Arabic numerals, tou",Luna Royster,False
Lang Heyne Moritz Complete Calendar with Earths Declination,Other,75000,https://lunaroyster.com/product/lang-heyne-moritz-complete-calendar-with-earths-declination/,https://media.lunaroyster.com/2026/07/465b388c-2i1a4235-scaled.jpg,"Up for grabs is a Lang & Heyne Moritz in 18k rose gold. The 44mm case is paired with a solid-silver dial featuring printed Arabic numerals, a railway-style minute track with red five-minute markers, and flame-blued steel spade hands. The Moritz combines a complete calendar with several less conventional indications. The day and date are displayed at 3 o’clock, the month at 9 o’clock, and the declination of the Earth at 12 o’clock through a gold-engraved and color-enameled disc. The moon phase an",Luna Royster,False
"A. Lange Söhne Lange 1 ref. 151.021 “Yellow Gold, Wellendorff Bracelet”",A. Lange,70000,https://lunaroyster.com/product/a-lange-sohne-lange-1-ref-151-021-yellow-gold-wellendorff-bracelet-2/,https://media.lunaroyster.com/2026/07/603813df-2i1a4463-scaled.jpg,"Up for grabs is an A. Lange & Söhne Lange 1 Ref. 151.021 in 18k yellow gold. An early 2000s example featuring the classic 38.5mm case paired with the factory integrated A. Lange & Söhne bracelet. The watch appears unpolished and presents with normal signs of wear consistent with age, most notable on the bezel. If you wish, I can have it polished prior to delivery, but presented in as found condition. The bracelet currently fits approximately a 7.75” wrist and features both removable links and mi",Luna Royster,False
F.P. Journe Automatique Lune Havana ref. AL2 in Platinum 42mm,F.P. Journe,225000,https://lunaroyster.com/product/f-p-journe-automatique-lune-havana-ref-al2-in-platinum-42mm/,https://media.lunaroyster.com/2026/07/e5696ae8-2i1a4454-scaled.jpg,"F.P. Journe Octa Automatique Lune ref. AL2 Up for grabs is an F.P. Journe Octa Automatique Lune. Reference AL2 in platinum with a rare 42mm case and Havana brown dial. The warranty card is dated 2025. The watch shows light signs of wear consistent with careful use, with no dings, dents, or notable scratches. Fitted on Atelier Kai rubberized brown strap with the original F.P. Journe platinum buckle. The Havana brown dial offers a distinctive contrast against the platinum case, with ivory-colored ",Luna Royster,False
Audemars Piguet Jules Audemars Tourbillon ref. 26561BC,Audemars Piguet,55000,https://lunaroyster.com/product/95355/,https://media.lunaroyster.com/2026/07/8973cf56-2i1a4409-scaled.jpg,Audemars Piguet Jules Audemars Tourbillon ref. 26561BC.OO.D002CR.01 Up for grabs is an Audemars Piguet Jules Audemars Tourbillon. Reference 26561BC.OO.D002CR.01 in 18k white gold with a silvered dial featuring applied Roman numerals and an exposed tourbillon at 6 o’clock. 39mm case powered by the manually wound Audemars Piguet calibre 2906. This example dates to 2013 and is fitted on a black AP strap with its original 18k white gold Audemars Piguet buckle. No box or papers. The condition of the ,Luna Royster,False
