title,brand,price,url,img,description,source,sold
Patek Philippe &#8220;Unworn 5167A-012 Singapore Edition&#8221; Aquanaut,Patek Philippe,210000,https://mentawatches.com/product/patek-philippe-unworn-5167a-012-singapore-edition-aquanaut/,https://mentawatches.com/wp-content/uploads/2026/08/MODERN-JULY-26-161.jpg,"Offered for sale is an immensely popular Patek Philippe Jumbo Aquanaut, reference 5167A-012 — the Singapore Edition, limited to just 500 pieces, produced to commemorate the Patek Philippe Watch Art Grand Exhibition in Singapore. Originally sold in 2020. This watch features a distinctive red rubber strap, along with red accents on the dial and seconds hand. This example is unworn, and comes as a full set, including its original Patek box, Certificate of Origin, Aquanaut manuals, and brochures.",Menta Watches,False
Cartier &#8220;Full-Set 2774 Diamond&#8221; Crash,Cartier,437500,https://mentawatches.com/product/cartier-full-set-2774-diamond-crash/,https://mentawatches.com/wp-content/uploads/2026/08/MODERN-JULY-26-140.jpg,"We would assume that this watch needs no introduction, but just in case, offered here is the extraordinarily popular Cartier Crash, reference 2774, sold in 2008, and adorned with a full pavé diamond case. The Crash was the result of Cartiers desire to create something unique and different, and according to Jean-Jacques Cartiers granddaughter, Francesca Cartier Brickell, the inspiration for the design originated from his idea to pinch the ends of their more traditional oval-shaped watches like th",Menta Watches,False
F.P. Journe Chronometre Bleu,Other,175000,https://mentawatches.com/product/f-p-journe-chronometre-bleu/,https://mentawatches.com/wp-content/uploads/2026/08/MODERN-JULY-26-167.jpg,"Offered here is one of the most respected and desirable time-only watches in independent horology — the F.P. Journe Chronometre Bleu. The case is crafted in tantalum — a rare, dark grey metal with subtle blue overtones, named after the Torment of Tantalus from Greek mythology. Its a material almost never seen in watchmaking, due to how difficult and demanding it is to work with. The dial is described by Journe as chrome blue — a vivid, almost sky-blue tone that shifts depending on the light, com",Menta Watches,False
Cartier &#8220;WA506451 Diamond&#8221; Tortue Monopoussoir Chronograph,Cartier,38000,https://mentawatches.com/product/cartier-wa506451-diamond-tortue-monopoussoir-chronograph/,https://mentawatches.com/wp-content/uploads/2026/08/MODERN-JULY-26-153.jpg,"Up for grabs is a very rare and immensely popular Cartier Tortue Monopoussoir Chronograph. The reference WA506451 features a diamond-set bezel and lugs, and silver dial with Roman numerals. The Tortue Monopoussoir Chronograph was originally part of Cartiers CPCP (Collection Prive) line, launched in 1998 to commemorate the 150th anniversary of Cartier. The WA506451 stands as a modern heir to the legendary CPCP Tortue chronographs, combining Cartier’s iconic case-shape originally produced in 1912,",Menta Watches,False
Cartier &#8220;Bebe Guillotine&#8221; Shutter Watch,Cartier,175000,https://mentawatches.com/product/cartier-bebe-guillotine-shutter-watch/,https://mentawatches.com/wp-content/uploads/2026/08/VINTAGE76-75.jpg,"Offered here is a spectacular, rare, and interesting Cartier Bebe Guillotine Shutter purse watch, circa 1930s. The shutter system was designed by Edmond Jaeger in 1909 and refined in the 1920s, mainly used for purse watches, so that they could rummage around a bag and the crystal would not be scuffed up. However, in the early 1930s, Cartier London ordered an alleged 50 watches (although likely less, based on how many have surfaced publicly over the years, which stands at under 10) to be converte",Menta Watches,False
Audemars Piguet &#8220;26022BC&#8221; Royal Oak Chronograph,Audemars Piguet,55000,https://mentawatches.com/product/audemars-piguet-26022bc-royal-oak-chronograph/,https://mentawatches.com/wp-content/uploads/2026/07/MODERN-JULY-26-103.jpg,"Offered here is an Audemars Piguet Royal Oak Chronograph, reference 26022BC.OO.D002CR.01, in 18kt white gold — a 39mm reference thats become increasingly hard to find as AP has phased out this case size from its standard chrono lineup. This particular example features AP’s famed Grande Tapisserie motif dial in white. The present example here is fit with an AP rubber strap, rather than the original leather or bracelet setup — and with its original AP deployant clasp. The watch is in good used con",Menta Watches,False
Rolex &#8220;Gilt 1675&#8221; GMT-Master,Rolex,37500,https://mentawatches.com/product/rolex-gilt-1675-gmt-master-5/,https://mentawatches.com/wp-content/uploads/2026/08/VINTAGE65.jpg,"Up for grabs is a very beautiful and super crisp example of a Rolex GMT-Master with a glossy gilt dial, circa 1965-66 (1.4m serial), reference 1675, that we have seen in quite some time. This example is the last gilt dial Rolex produced before transitioning to the matte dial in/around 1967. This Rolex GMT-Master is in excellent vintage condition. The case is unpolished and razor sharp, with factory beveled edges. The dial is beautiful still very glossy, with no visible wear under a loupe. The or",Menta Watches,False
Patek Philippe &#8220;Full-Set 3800J Beyer&#8221; Nautilus,Patek Philippe,165000,https://mentawatches.com/product/patek-philippe-full-set-3800j-beyer-nautilus-2/,https://mentawatches.com/wp-content/uploads/2026/08/VINTAGE51.jpg,"Offered here is a very attractive example of a Patek Philippe Nautilus, the Reference 3800J, in solid 18kt yellow gold, and fitted with the popular blue dial variant. However, what really sets this example apart from the normal fare is the fact that it was retailed by the oldest Swiss retailer Beyer. Based on some internet sleuthing, only a few of these have surfaced to market. These watches have exploded in popularity as of late, and are considered by many to be the best design of Gerald Genta.",Menta Watches,False
Rolex &#8220;Hooded 3065 Rose Gold&#8221; Bubbleback,Rolex,24750,https://mentawatches.com/product/rolex-hooded-3065-rose-gold-bubbleback/,https://mentawatches.com/wp-content/uploads/2026/08/VINTAGE57.jpg,"Up for grabs is a very rare and attractive Rolex Hooded Bubbleback, Ref. 3065, circa 1940-1950s, in 14kt rosegold. This example features a white dial with applied indices, and fit in a rarer hooded case. Finding these watches with original dials has become increasingly difficult, especially in good condition this example is overall well-preserved. The case has likely been polished in its life, but retains thick and even lugs (Please Note: as is common on this watch, as the serial was lightly eng",Menta Watches,False
Rolex &#8220;Roman Numerals 116334&#8221; Datejust II,Rolex,11000,https://mentawatches.com/product/rolex-roman-numerals-116334-datejust-ii-2/,https://mentawatches.com/wp-content/uploads/2026/07/MODERN-JULY-26-124.jpg,"Offered here is a Rolex Datejust II, Ref. 116334, from 2013, with an attractive grey dial and applied Roman numeral indices. This example is in pre-owned condition, showing some wear consistent from use, but can be detailed further upon request. It comes as a full set with its original Rolex box and Warranty Card, and with a fully linked bracelet (12 links) and no stretch.",Menta Watches,False
