house,title,location,date_start,date_end,date_label,url,has_catalog,source,status_hint
Monaco Legend,Exclusive Timepieces,Monaco,2026-10-31,2026-11-01,2026-10-31 - 2026-11-01,https://www.monacolegendauctions.com/auction/exclusive-timepieces-43,False,Monaco Legend,upcoming
Monaco Legend,The Goldberger Omega Time-Only Collection,Monaco,2026-07-25,2026-07-25,2026-07-25,https://www.monacolegendauctions.com/auction/the-goldberger-omega-time-only-collection-42,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Lugano,2026-06-04,2026-06-04,2026-06-04,https://www.monacolegendauctions.com/auction/exclusive-timepieces-41,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2026-04-25,2026-04-26,2026-04-25 - 2026-04-26,https://www.monacolegendauctions.com/auction/exclusive-timepieces-40,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2025-10-18,2025-10-19,2025-10-18 - 2025-10-19,https://www.monacolegendauctions.com/auction/exclusive-timepieces-38,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Lugano,2025-06-05,2025-06-05,2025-06-05,https://www.monacolegendauctions.com/auction/exclusive-timepieces-37,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2025-04-26,2025-04-27,2025-04-26 - 2025-04-27,https://www.monacolegendauctions.com/auction/exclusive-timepieces-36,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2024-10-19,2024-10-20,2024-10-19 - 2024-10-20,https://www.monacolegendauctions.com/auction/exclusive-timepieces-35,True,Monaco Legend,past
Monaco Legend,The July Online Sale!,Monaco,2024-07-08,2024-07-22,2024-07-08 - 2024-07-22,https://www.monacolegendauctions.com/auction/the-july-online-sale-34,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2024-04-20,2024-04-21,2024-04-20 - 2024-04-21,https://www.monacolegendauctions.com/auction/exclusive-timepieces-33,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2023-10-21,2023-10-22,2023-10-21 - 2023-10-22,https://www.monacolegendauctions.com/auction/exclusive-timepieces-32,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2023-04-22,2023-04-23,2023-04-22 - 2023-04-23,https://www.monacolegendauctions.com/auction/exclusive-timepieces-31,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2022-10-22,2022-10-23,2022-10-22 - 2022-10-23,https://www.monacolegendauctions.com/auction/exclusive-timepieces-30,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2022-04-23,2022-04-24,2022-04-23 - 2022-04-24,https://www.monacolegendauctions.com/auction/exclusive-timepieces-28,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2021-10-17,2021-10-17,2021-10-17,https://www.monacolegendauctions.com/auction/exclusive-timepieces-25,True,Monaco Legend,past
Monaco Legend,88 Cartier,Monaco,2021-10-16,2021-10-16,2021-10-16,https://www.monacolegendauctions.com/auction/88-cartier-26,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2021-04-17,2021-04-17,2021-04-17,https://www.monacolegendauctions.com/auction/exclusive-timepieces-24,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2020-10-31,2020-10-31,2020-10-31,https://www.monacolegendauctions.com/auction/exclusive-timepieces-22,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces,Monaco,2019-12-07,2019-12-08,2019-12-07 - 2019-12-08,https://www.monacolegendauctions.com/auction/exclusive-timepieces-15,True,Monaco Legend,past
Monaco Legend,Exclusive Timepieces & Jewels,Monaco,2019-07-17,2019-07-18,2019-07-17 - 2019-07-18,https://www.monacolegendauctions.com/auction/exclusive-timepieces-jewels-14,True,Monaco Legend,past
