title,brand,price,url,img,description,source,sold
Seamaster 120 Plongeur de Luxe aka ´Mayol’,Omega,3900,https://pushers.io/listings/seamaster-120-plongeur-de-luxe-aka-mayol,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI1NmYwNzUzMC1mZjU2LTQ2MjQtYTI1OC1hMWQzNmIzMGQ5YjEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Before becoming the first man to free dive beyond 100 meters, Jacques Mayol was already searching for watches capable of accompanying him on his underwater explorations. This Seamaster Plongeur de Luxe is one of the rare survivors from that pioneering era, when the limits of both man and technology were still being defined. Mayol’s achievements left such a mark on Omega that the brand later collaborated with him to develop a line of diving watches bearing his name. More than just a watch, this S",Moonphase,False
"Girard Peregaux, Gyromatic Deep Diver MK1 ref 1267",Girard-Perregaux,5000,https://pushers.io/listings/girard-peregaux-gyromatic-deep-diver-mk1-ref-1267-d5fba407-de70-4ff7-af62-542b323d4dd8,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiJiMDVjZGU3Ny0yOGZjLTRmYzUtODVkNi0wNzBjZmNiMWUxMDMuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"This Gyromatic Deep Diver is an exceptionally rare watch. Produced for only a brief period, just a handful of examples are believed to have survived. Yet rarity is only part of its appeal. Its design is truly unique, remarkably avant-garde for its time.  From its applied shark-tooth hour markers to its true alpha-shaped hands, every detail defies convention. And yet, it all works. The design is remarkably well balanced and gracefully harmonious. The warm beige dial pairs beautifully with the lum",Moonphase,False
UG Compax 30 chronograph ref 22205,Universal Geneve,5000,https://pushers.io/listings/ug-compax-30-chronograph-ref-22205,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI0NzA3YWM0Mi1jNmFiLTRjMDItYjhhNi1lYWM3YmYwNjI1MDkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Universal Geneve started as a chronograph watch brand. They established the standard of design for elegant chronographs and this almost 90 years «Compax 30 »  is a classic from this era.  The name Compax 30 refers to its distinctive 30-minute chronograph register, rather than the more common 45- or 60-minute counters found on most chronographs of the period.  Its black dial gives the watch a striking and commanding presence, while beautifully highlighting the warm patina that has developed over ",Moonphase,False
Datejust 16013 2 tones gilt dial,Rolex,5800,https://pushers.io/listings/datejust-16013-2-tones-gilt-dial,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIyMjIxNjlkNC01ODUwLTQ4ZGItYWI5Zi05ZmFkNmRkODA3OGYuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Probably the most iconic Datejust seen in 80s Hong Kong gangster movies — the Rolex Datejust ref. 16013 in its unmistakable two-tone configuration, here fitted with a gilt glossy black dial.  The watch is, of course, in pristine condition, paired with its signature Jubilee bracelet. The glossy dial is immaculate, exactly as it should be.  It comes complete with its original papers, confirming its provenance from… Hong Kong — where else?",Moonphase,False
The OG Favre Leuba Deep Blue MK1,Favre Leuba,4200,https://pushers.io/listings/the-og-favre-leuba-deep-blue-mk1,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI5ODMwYTA0ZS00ODgwLTQ2YTQtYjUzNS00ZjQ4OGVhN2U2MzguanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"The Favre-Leuba Deep Blue Mk I is one of the most distinctive dive watches of the 1960s. While its aluminum bezel sets it apart from the Mk II that would follow, it is above all its extraordinary asymmetrical dial that defines its character. Dominated by a large luminous crosshair spanning the entire dial, its design is as bold as it is timeless.  The example presented here is in truly exceptional condition, the kind rarely encountered on this model. Its beautiful slate-grey sunburst dial remain",Moonphase,False
Tropical Polerouter Date,Universal Geneve,5000,https://pushers.io/listings/tropical-polerouter-date,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIxYTA3ZDcxNy1lYTIwLTQ1YjMtYWRjZS1jNzFlNGY0OGIyYjguanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Nice tropical Polerouters are hard to find as the white wolf.   Here’s a ref. 204607-1, fully overhauled and featuring an evenly tropicalized dial. A true wabi-sabi Polerouter, where tiny imperfections add depth, charm, and character.  The dial color is simply stunning under the NOS signed plexi. A charismatic Polerouter, a perfect summer watch and the thrill of a genuine tropical Polerouter—without breaking the bank.",Moonphase,False
Chronograph Jardur Bezelmeter 960,Other,4950,https://pushers.io/listings/chronograph-jardur-bezelmeter-960,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIyMTI0NjA4OC05OGMyLTQxMjktOWJkZC02MWM4ZjU4NGQyODEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Here is a 1940’s pilote watch with a unique degrees scale on the dial.  It’s allows the pilot to calculate the duration to achieve a certain degrees turn at a constant degree angle. At 3° per second, the pilot would reach 90° right after the central chronograph hand passed the 30-second mark.  We Love this black glossy dial with the red accents. Sized at 38mm, the watch has a unique presence on the wrist. Keep in mind that this Jardur has more than 80 years. Now look at theses faceted lugs, shar",Moonphase,False
"Polerouter 869111-1, a classic black dial with trapeze date",Universal Geneve,5750,https://pushers.io/listings/polerouter-869111-1-a-classic-black-dial-with-trapeze-date,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiIxMmIzMzVmMi1hM2IwLTQxOTItOWZmNy1lNGY1YjUxZWQ2MGMuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Beautiful Polerouters are becoming increasingly hard to find. Long under the radar, the recent spotlight on the brand has reignited collectors’ enthusiasm for the finest examples.  A true classic among classics, here is a ref. 869111. A 36mm Polerouter date with trapeze date window and original signed crown. The signed plexi reveals a beautifully preserved black glossy dial.  The hands are free of oxidation and still shine brilliantly. The case appears unpolished and, importantly, the reference ",Moonphase,False
Seamaster 600 « PloProf » MK4,Omega,8200,https://pushers.io/listings/seamaster-600-ploprof-mk4,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI2YmE1ZTBlYy1mMDMxLTQxNDktYjQxNy1jMjY0Y2RiM2YyMzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"The Seamaster 600, better known as the “PloProf” — short for Plongeur Professionnel — needs little introduction. The ultimate aquatic tool watch, it became legendary through its association with COMEX divers, expeditions aboard Captain Cousteau’s Calypso, and even on the wrist of stylish industrialist Gianni Agnelli, the iconic head of Ferrari.  When found in excellent condition, most PloProfs tend to retain bezels with little to no patina, which can sometimes feel at odds with the charm one exp",Moonphase,False
Seamaster PloProf Mk3 from Salvador Cupello in Caracas,Omega,10000,https://pushers.io/listings/omega-ploprof-mk3-from-salvador-cupello-in-caracas,https://d1t0mcfhd039st.cloudfront.net/eyJidWNrZXQiOiJzY2htYWx0ei1kZXYiLCJrZXkiOiI3NWFlZmE3MC0xNTMxLTRlOGUtOWZhZC0yYjkyNzIwOGEzYzkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjoyMDQ4LCJoZWlnaHQiOjIwNDgsImZpdCI6Imluc2lkZSJ9fX0=,"Before COMEX shifted its allegiance to Rolex, Henri Delauze was wearing and testing the PloProf alongside Omega’s research team. Although COMEX ultimately chose the Sea-Dweller as its official watch, the PloProf remains one of the most radical dive watches ever made and a true legend of the race for greater depths.   Later on, the PloProf would be used in extreme conditions all around the world. This particular example comes from Venezuela and bears the scars of a hard-lived life. Engraved on th",Moonphase,False
