title,brand,price,url,img,description,source,date,sold
Alpina 'Hooded' Lug Rectangular Dress Watch - Gloss Black Dial LNOS W/ Tag,Other,2850,https://oliverandclarke.com/products/alpina-hooded-lug-rectangular-dress-watch-gloss-black-dial-lnos-w-tag,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ALPINA_TANK_BLK_STRAP_WEB_1_R.jpg?v=1782754061,"Alpina is perhaps best known today for rugged sports watches like the Alpiner collection, but the brand's story reaches much further back than its modern adventure-focused identity. Founded in 1883 by Gottlieb Hauser, Alpina began life not as a watch manufacturer, but as a cooperative of Swiss watchmakers dedicated to producing reliable, high-quality timepieces. By the early twentieth century, the company had established itself as a leader in precision tool watches, supplying everything from elegant dress watches to robust military and pilot's watches. Throughout the decades that followed, Alpina earned a reputation for practical innovation and early experimentation with anti-magnetism, water resistance, shock protection. Many of these characteristics would eventually become the blueprint for the 'sports' watch as we known them today. While the company weathered the upheavals of the Quartz Crisis and changed hands several times, its commitment to durable, purpose-built watches has remained at the heart of the brand ever since. The piece that we have here is is a rectangular dress watch dating to circa the late 1930s - early 1940s and simply put is offered in virtually new-old-stock condition. The case measures in at a sizable 22mm x 29mm, with fantastic 'hooded' lugs, and a flat crown. Inside, the dial is a rare black 'gilt' unit, with fantastic 'Arabic' indices, a subsidiary seconds register on the bottom half, and one of the most beautiful script logos ever to grace a dial. It even comes with a hangtag! As it pertains to vintage collecting, this checks a heck of a lot of boxes; A niche brand with historically important innovations, fantastic sizing, and virtually flawless condition. What more can you ask for?",Oliver & Clarke,2026-06-29,False
Rolex Two-Tone Rectangular Dress Watch Ref. 1378 - Sunburst Silver Dial,Rolex,4850,https://oliverandclarke.com/products/rolex-two-tone-rectangular-dress-watch-ref-1378-sunburst-silver-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_TANK_STRAP_WEB_1_R.jpg?v=1782754023,"Prior to becoming perhaps the most powerful, well-known watch brand on the planet, Rolex was just like any other small manufacturer in the first half of the twentieth century. Before major model families came into their own, such as the Datejust, Day-Date, and the entirety of the Professional range, they were constantly experimenting trying new things to see what stuck. The Prince family of watches, while niche, are known to collectors and enthusiasts and offer a rich variety of metals, dials, and design from the early twentieth century. The piece that we have here, a two-tone rectangular dress watch, is another rectangular model that has somehow alluded collector circles, and what a beauty it is. It features a 21mm x 35mm 9k yellow gold outer case with fixed 'wire' lugs, and a stainless steel inner case that houses the movement and dial. The 9k winding crown is recessed and very likely original to the watch. The silver dial inside is very nicely preserved, with a nice vibrant sunburst surface with very simple printed indices and a blued-steel handset. Dating to circa the early 1950s, this represents the very end of the Art-Deco era for Rolex and seems to be completely overlooked, or flat-out forgotten. The upside is that they present fantastic value relative to the usual suspects from the brand, and you're very, very unlikely to see another in the wild.",Oliver & Clarke,2026-06-29,False
Rolex Datejust Ref. 1601 - Sunburst Grey White 'Vanishing' Text Unpolished W/ Service Papers,Rolex,8750,https://oliverandclarke.com/products/rolex-datejust-ref-1601-sunburst-grey-white-vanishing-text-unpolished-w-service-papers,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_DATEJUST_GREY_WEB_1_80f1f812-5761-4245-aa39-daea80942402.jpg?v=1782324962,"Hard to believe - but the Datejust has been around since 1945. It is far older than its bigger and attention-hogging Submariner brethren. The Datejust was Rolex’s idea of the perfect everyday watch. The robustness of the Oyster case, combined with the elegance of an Oyster Perpetual. The ‘4 digit’ series of Datejust are particularly attractive for their pie-pan dials which offer a layer of three-dimensionality to the dials that went away with the advent of quickset date and 5-digit Datejusts. These early Datejusts were available as the 1601, with a fluted white gold bezel, or the 1603, with an engine-turned steel bezel. The 4-Digit Datejusts were also the first series to become available with a myriad of dial colors and case and bracelet materials. This particular piece is a Reference 1601 from circa 1971 and it comes to us in exceptional overall condition. The case remains unpolished, with strong factory finishing and proportions present throughout. The matching Jubilee bracelet with blade clasp also remains unpolished and shows matching wear. The characteristic white gold 'fluted' bezel has developed a unique oxidation, usually found when a watch has sat for years. Inside, the grey dial with rare white text is known to collectors as a 'ghost dial' for its tendency for the white printing to seemingly vanish in certain lighting. It too remains in simply outstanding, seemingly flawless condition, with a vibrant surface, fully-intact Tritium plots, and a matching handset. All in all, this is a watch with a few touches of if you know, you know. Pretty neat!",Oliver & Clarke,2026-06-25,False
Gallet MultiChron Chronograph - 'Brushed' Silver Non-Luminous Dial,Other,5450,https://oliverandclarke.com/products/gallet-multichron-chronograph-brushed-silver-non-luminous-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/GALLET_CHRONO_STRAP_WEB_1.jpg?v=1782324997,"Few names in watchmaking can claim roots as deep as Gallet. The family's watchmaking history is often traced to 1466, when Humbertus Gallet was recorded in Geneva, though the company as we know it today was formally established in 1826 by Julien Gallet in La Chaux-de-Fonds, Switzerland. Long before it became associated with pilots and racers, Gallet built its reputation through precision timekeeping, pocket watches, and specialized instruments intended for professional use. As the twentieth century unfolded, Gallet increasingly focused on chronographs, producing robust timing instruments for aviation, motorsport, exploration, and military applications. This is without a doubt what the brand was best known for then and is best known for, with the MultiChron and Flying Officer ranges in particular dominating conversations about the brand today. The MultiChron family established Gallet as one of the great names in professional chronographs, with models like the MultiChron Regulator, MultiChron 12, and MultiChron 45 becoming favorites among pilots, engineers, and serious sportsmen alike. Not dissimilar to other premiere chronograph manufactures in this era, they also produced 'elevated' pieces in precious metals like the MultiChron that we have here. Dating to circa the 1940s, this piece features a 35mm case crafted out of 14k yellow gold with 'square' pushers, a matching crown, and a snapback caseback. In very strong condition overall, the case shows signs light previous polishing while respecting the factory proportions, and normal signs of wear otherwise. Inside, the silver dial is beautifully-preserved, with a largely clean 'brushed' surface devoid of any major wear or damage — no doubt due to its lack of lume to degrade over its eighty-years of life. The printed scales and text are clear as ever, along with some of the best font to ever grace a dial. Just look at that seven! You don't just land on Gallet. This, along with brands like Movado, Universal Genève, etc. are found years into collection and exploration of this hobby. And while these are not incredibly elusive, strong examples are, as collectors tend to hang onto good ones. This is a good one.",Oliver & Clarke,2026-06-25,False
Breitling Chronorgaph 'Mid Size' - Gloss Black 'Multi-Scale' Dial Unpolished,Breitling,6850,https://oliverandclarke.com/products/breitling-chronorgaph-mid-size-gloss-black-multi-scale-dial-unpolished,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/BREITLING_CHRONO_BLK_STRAP_WEB_1.jpg?v=1782325021,"Breitling has a long and rich history in chronographs — with an emphasis on aviation chronographs. And like so many other brands who have a watch model, or family that has become synonymous with the brand name itself, the Navitimer is just that for Breitling. As a result, the Navitimer casts a substantial shadow over all of its siblings.... even over firmly planted models like the SuperOcean, Top Time, and lesser-known pieces that pre-date model ranges all together. The example that we have here is one of the latter: A chronograph dating to circa the 1940s. Offered in phenomenal overall condition, this piece possesses many of the hallmark design characteristics found in many vintage Breitling chronographs. The case measures in at 32mm in diameter and features fantastic and attractive lugs, 'square' pushers, a snapback caseback, and a high-polished 'stepped' bezel. It shows light signs of wear with nice, defined finishing present throughout. The crown shows some 'brassing' from use and operates the Venus calibre within. The dial is wonderfully preserved, with a rich glossy black surface, clear scales and printing, and a 'stacked' register layout. The luminous indices exhibit a light and largely uniform patina and are complimented by a correct 'kite' handset. Vintage chronographs in condition like this, from any brand, are surprisingly elusive. Collectors tend to hold onto fantastic examples like this one, and with its slightly smaller size, this one presents fantastic value relative to larger contemporaries in comparable condition. *This piece comes from the personal collection of our founder*",Oliver & Clarke,2026-06-25,False
Universal Genève Space-Compax Ref. 885104/01 - 'Mk1' Reverse-Panda Dial,Other,16450,https://oliverandclarke.com/products/universal-geneve-space-compax-ref-885104-01-mk1-reverse-panda-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/UG_SPACE_COMPAX_BLK_WEB_1.jpg?v=1782325074,"Universal Genève was one of the many great brands that succumbed to the quartz crisis of the 1970s. While they disappeared, it was not for their lack of impressive watches. To underscore that fact, keep in mind that Henri Stern Watch Agency in their nearly 80-year history has only ever sold two brands: Patek Philippe, and Universal Genève. Building upon the brand’s long-established Compax lineage, the Space-Compax was i ntroduced during the 1960s at the height of the Space Age and represented Universal Genève’s answer to the growing demand for technically sophisticated, modern chronographs. And the Space-Compax sure delivered, combining a highly legible three-register chronograph layout with a distinctive design language with a technically forward-thinking form. The asymmetrical case measures in at 40mm in diameter and utilized a screw-down caseback, screw-down crown, and even a water-resistant pusher design. Rather than simple 'pump' pushers, the mechanisms are capped with rubber and secured by a screw-down 'collar,' effectively providing a sealed pusher. The bezel is a single piece rather than an assembly with an insert, and doubles-down on the timing functionality with 60-minute marks and a colored market at the 12 o'clock position. Inside, the dial is characterized by bold indices, contrasting 'concentric' subsidiary registers, and colorful accents with a both colorful and bold handset tying it all together. These pieces were all powered by UG's Cal. 85 manual-winding movement. The example that we have here, a Ref. 885104/02, dates to circa 1967 and is offered in fantastic overall condition. The case shows signs of very light previous polished, perhaps on the case profiles only, with normal signs of wear and no damage or excess wear of note. The pushers, crown, and bezel all show light wear and present beautifully. The dial within, likely due to its resistance to the elements, is also wonderfully preserved, with a nice clean surface, crisp subsidiary registers, and fully-intact luminous elements. Additionally, it comes fitted to its correct and exceedingly rare, 'double-grain beads-of-rice' Gay Frères bracelet with the correct endlinks and signed fliplock clasp. Design details like the dynamic and modern sizing of the case, the calibre within, and the thoughtful, bold dial layout, amount to a piece that clearly shows why Universal Genève was ultimately considered to be one of the finest manufactures in the era. In any condition, Space-Compaxes simply do not surface on the open market all that often — let alone in this condition and with its correct bracelet.... and with the recent re-launch of the brand, collectors seem to be holding on to pieces like this, making for a great opportunity to grab this one.",Oliver & Clarke,2026-06-25,False
Rolex Day-Date Ref. 1803 - Sunburst Champagne 'Wide Boy-Sigma' Dial Unpolished W/ Box & Papers,Rolex,20850,https://oliverandclarke.com/products/rolex-day-date-ref-1803-sunburst-champagne-wide-boy-sigma-dial-unpolished-w-box-papers,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_DAYDATE_GLD_WEB_1_1b944f42-bd44-4231-a929-bfc94dfbec54.jpg?v=1782325173,"When the Day-Date was released in 1956, Rolex had made numerous attempts to capture the market with more complicated timepieces such as the Ref. 6036, the Ref. 8171, and the Ref. 6062, but it seemed like buyers were not particularly fond of complicated Rolexes. All of that changed when President Lyndon B. Johnson was spotted wearing one Rolex in particular: a Day-Date. The model has since become known worldwide as ‘The President’ and as a symbol of success and prestige. Simply put, this one stuck. The Day-Date was available for many years on a leather strap with a matching gold buckle, but also on a solid gold bracelet (called a 'President' bracelet), like the example that we have here. The piece that we have here, a Reference 1803, dates to circa 1971, is a strong example finished in solid yellow gold with a classic champagne dial. The Oyster case remains thick and symmetrical, having received a light polishing at a previous time and shows normal signs of wear throughout with clear hallmarks on the lug undersides. The characteristic 'fluted' yellow gold bezel also retains nice definition with matching wear. The sunburst champagne dial within is exceptional. As vibrant as ever, it features excellent, evenly patinated Tritium plots, applied 'wide boy' indices, and a matching handset. Especially when fitted to a leather strap, this 'elevated' piece remains very much under-the-radar and is suitable for virtually any occasion, on virtually any wrist.",Oliver & Clarke,2026-06-25,False
Rolex Oyster Perpetual Date Ref. 1501 - Black 'Gilt' Dial,Rolex,6450,https://oliverandclarke.com/products/rolex-oyster-perpetual-date-ref-1501-black-gilt-dial,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_OYSTER_DATE_BLK_WEB_1.jpg?v=1782325215,"If you boil Rolex down to its purest form, what do you get? The Rolex Oyster Perpetual. This is truly the genesis for the entire Rolex brand. The very first Rolex models were called ‘Oysters’ which was owed to their innovative three part case that all screwed into each-other. That is where the fluted bezel actually derives from, being screwed down into the top of the case to secure the crystal with a gasket - as well as the grooves on the oyster case back. All makes sense now - right? The piece that we have here, simply known as an Oyster Perpetual Date , is a descendant of those early watches, utilizing a water-resistant Oyster case, an automatic-winding movement, and a date complication. A functional, sturdy, and dependable timekeeping device. Dating to circa 1965, this Reference 1501 features a 35mm Oyster case with a period-correct 'rivet' Oyster bracelet with blade clasp, and a unique to this reference, 'engine-turned' steel bezel. The case, bezel and bracelet have all seemingly been spared of any previous polishing and show normal wear from age and use. Inside, dial is nicely preserved and retains its rich glossy black surface with that gorgeous gilt text, applied indices, and a matching handset. The Oyster Perpetual line presents great value next to its slightly larger Datejust siblings, while simultaneously representing the essence of Rolex. This example, with its rich, versatile dial, is not just a great entry point to a vintage Rolex, but could easily be your one vintage watch.",Oliver & Clarke,2026-06-25,False
Rolex Day-Date Ref. 1803 - Sunburst Silver Dial,Rolex,9850,https://oliverandclarke.com/products/rolex-day-date-ref-1803-sunburst-silver-dial-1,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_DAYDATE_GLD_STRAP_WEB_1_0f6b518f-ff24-407f-8fd2-b07ad83bd658.jpg?v=1782325257,"When the Day-Date was released in 1956, Rolex had made numerous attempts to capture the market with more complicated timepieces such as the Ref. 6036, the Ref. 8171, and the Ref. 6062, but it seemed like buyers were not particularly fond of complicated Rolexes. All of that changed when President Lyndon B. Johnson was spotted wearing one Rolex in particular: a Day-Date. The model has since become known worldwide as ‘The President’ and as a symbol of success and prestige. Simply put, this one stuck. The Day-Date was available for many years on a matching solid gold bracelet (called a 'President' bracelet), but also on a leather strap like the example that we have here. The piece that we have here, a Reference 1803, dates to circa 1964, is a strong example finished in solid yellow gold with a lovely silver dial. The Oyster case remains thick and symmetrical, perhaps spared of previous polishing, and shows normal signs of wear throughout with clear hallmarks on the lug undersides. The characteristic 'fluted' yellow gold bezel also retains nice finishing with matching wear. The sunburst silver dial within remains crisp and vibrant with patinated Tritium plots and a matching handset. Especially when fitted to a leather strap, this 'elevated' piece remains very much under-the-radar and is suitable for virtually any occasion, on virtually any wrist.",Oliver & Clarke,2026-06-25,False
Rolex Oysterdate Ref. 6694 - Gloss Black Dial Unpolished,Rolex,4500,https://oliverandclarke.com/products/rolex-oysterdate-ref-6694-gloss-black-dial-unpolished,https://cdn.shopify.com/s/files/1/0765/6138/3741/files/ROLEX_OYSTER_DATE_BLK_STRAP_WEB_1.jpg?v=1782152863,"If you boil Rolex down to its purest form, what do you get? The Rolex Oyster Perpetual. This is truly the genesis for the entire Rolex brand. The very first Rolex models were called ‘Oysters’ which was owed to their innovative three part case that all screwed into each-other. That is where the fluted bezel actually derives from, being screwed down into the top of the case to secure the crystal with a gasket - as well as the grooves on the oyster case back. All makes sense now - right? The piece that we have here, simply known as an Oysterdate Precision , is a descendant of those early watches, utilizing a water-resistant Oyster case, a manual-winding movement, and a date complication. A functional, sturdy, and dependable timekeeping device. The Reference 6694 that we have here dates to circa 1982 and features a 34mm Oyster case with its correct smooth steel bezel and a lovely glossy black dial within. It comes to us with a strong, seemingly unpolished case that shows normal wear with matching wear on the bezel. The Tritium plots on the dial remain fully-intact and exhibit a nice uniform patina throughout, with a perfectly matching handset. Despite being ‘entry-level’ these offer a ton of character and remain an overlooked part of the important history of Rolex on their journey to the powerhouse brand that they are today. This is nothing short of a delightful vintage piece that can be worn every single day, on any occasion, and on virtually any wrist. And don't let the case size fool you, these 35mm Rolex models are chronically slept on and present great value next to its more well-known siblings, while truly embodying the essence of Rolex.",Oliver & Clarke,2026-06-22,False
