title,brand,price,url,img,description,source,sold,priceOnRequest
Jaquet Droz Vintage Diver,Other,2500,https://www.shucktheoyster.com/portfolio/jaquet-droz-vintage-diver/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/31_008-1.jpg,"DIAL: Black glossy tritium dial, steel tritium hands · CASE: Stainless steel watch case with screwdown caseback · DIAMETER: 35mm · MOVEMENT: High grade, automatic movement, cal. 2472 · STRAP: New, handmade Italian, black pigskin leather strap · CONDITION: Overall, the watch is in excellent condition. Dial and hands appear to be in very good condition, both retaining tritium luminous. The watch case appears to be in very good condition, presumably unpolished. The watch was acquired from a private collector in Germany.  The watch was recently serviced, running with a high amplitude keeping very accurate time. (265°; +6s/d). Original, beautiful diver.",Shuck the Oyster,False,False
MAD2 Eric Giroud Green,Other,5000,https://www.shucktheoyster.com/portfolio/mad2-eric-giroud-green/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/14_008-1.jpg,"DIAL: Green dial · CASE: Stainless steel watch case, serial: M02S4381 · DIAMETER: 41,5mm · MOVEMENT: High grade, automatic M1C movement · STRAP: Original green leather strap · CONDITION: The watch is new and unworn, complete with all accessories. Rare opportunity at a fun piece!",Shuck the Oyster,False,False
Fortis Fliegerchronograph 597.10.141,Other,1500,https://www.shucktheoyster.com/portfolio/fortis-fliegerchronograph-597-10-141/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/11_012-1.jpg,"DIAL: Original, black tritium dial, black tritium hands · CASE: Stainless steel watch case with screwdown caseback, serial: 49 · DIAMETER: 40mm · MOVEMENT: High grade, automatic Valjoux 7750 · CONDITION: Overall, the watch is in excellent condition. The dial and hands are flawless. Both, dial and hands retain original tritium lume. The case remains in very good condition. The watch was just serviced by our watchmaker, thus in very good running condition, keeping accurate time; 280°; +1s/d. The watch comes from the first owner in Germany. A very nice example!",Shuck the Oyster,False,False
Patek Philippe 'Hooded Lugs' 1438,Patek Philippe,8000,https://www.shucktheoyster.com/portfolio/patek-philippe-hooded-lugs-1438/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/23_004-1.jpg,"DIAL: Silver dial, gold hands · CASE: Solid 18k rose gold watch case with snap-in caseback · DIAMETER: 23,5x34mm incl. lugs · MOVEMENT: High grade, Patek Philippe calibre · CONDITION: Overall, the watch is in good condition. Dial and hands are in good condition. The watch case is absolutely unpolished, sharp with deep hallmarks. The watch was just serviced by our watchmaker. It is in excellent mechanical condition, running with a very high amplitude, keeping very accurate time (265°; +8s/d). The watch comes from a collector in Italy.",Shuck the Oyster,False,False
Omega Speedmaster Professional Chronograph 145.022,Omega,4500,https://www.shucktheoyster.com/portfolio/omega-speedmaster-professional-chronograph-145-022-7/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/5_008-1.jpg,"DIAL: Matte, black tritium dial, tritium hands · CASE: Stainless steel watch case with screwdown caseback · DIAMETER: 40mm · MOVEMENT: High grade Omega calibre 861, serial: 48295436 · BRACELET: Original, stainless steel 1479/812 bracelet · CONDITION: Overall, the watch is in excellent condition. The dial is flawless. The lume shows a beautiful vanilla colour. The case remains in unpolished condition. The bezel is in excellent condition. The crystal shows the Omega signet. The recently serviced watch (275°; +8s/d) is in very good running condition, keeping very accurate time. If you want an excellent, all original, Speedmaster for a price &#8211; this is your watch!",Shuck the Oyster,False,False
Heuer Carrera Vintage Chronograph 2447S,Heuer,5900,https://www.shucktheoyster.com/portfolio/heuer-carrera-vintage-chronograph-2447s-6/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/29_003-1.jpg,"DIAL: Silver tritium dial, steel tritium 1st exec. hands · CASE: Stainless steel watch case with screwdown caseback, serial: 79470 · DIAMETER: 35,5mm · MOVEMENT: High grade, Valjoux 72 calibre · STRAP: New, Italian handmade, calf leather racing strap · CONDITION: Overall, the watch is in very good condition. Dial and hands appear to be in very good condition, showing original tritium lume. The watch case remains in excellent condition. The recently serviced watch is running strong, with a high amplitude, keeping accurate time. (290°; +3/d). The watch comes from the family of the first owner in Saarland, Germany. An overall, nice, affordable example!",Shuck the Oyster,False,False
Jaeger-LeCoultre Memovox Automatique 141.8.971 FULL SET,Jaeger-LeCoultre,5500,https://www.shucktheoyster.com/portfolio/jaeger-lecoultre-memovox-automatique-141-8-971-full-set/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/12_026-1.jpg,"DIAL: Silver tritium dial, steel dauphine tritium hands · CASE: Stainless steel watch case with screw in caseback, serial: 3010 · DIAMETER: 38,5mm · MOVEMENT: High grade, bumper automatic movement, JLC cal.918 · STRAP: New, Italian handmade pig skin leather strap + original JLC strap with deployant buckle · CONDITION: Overall, the watch is in excellent condition. Dial and hands appear to be flawless. Both show a beautiful orange patina to the original tritium lume. The watch case appears to be in excellent, unpolished condition. The alarm function works properly. The watch was just serviced by our watchmaker, running strong, showing a high amplitude, keeping accurate time (275°, +2s/d). The watch was acquired from the first owner in Sasbach, BW, Germany.",Shuck the Oyster,False,False
Breguet Classique Chronograph 3230,Breguet,22500,https://www.shucktheoyster.com/portfolio/breguet-classique-chronograph-3230/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/24_007-1.jpg,"DIAL: Original, silvered guilloched two tone dial, blued Breguet hands · CASE: 18k yellow gold watch case with snap-in caseback, serial: 943B · DIAMETER: 35mm · MOVEMENT: High grade, Breguet 533 movement, serial: 474 · STRAP: New, Italian handmade, black pigskin leather strap with original Breguet 18k buckle · CONDITION: Overall, the watch is in very good condition. The original, guilloched dial is in excellent condition, showing a beautiful contrast between the guilloched and flat surfaces. The watch case remains in excellent condition, appearing to be unpolished, with a beautiful tarnish patina to the gold.  The watch was just serviced by our watchmaker, thus in excellent running condition, keeping accurate time (300°; +4s/d). Chronograph functions are fully intact. The watch comes from a collector in Italy. A very beautiful, early production, classic Breguet chronograph.",Shuck the Oyster,False,False
Universal Genève Polerouter Sub 20369-1,Other,7900,https://www.shucktheoyster.com/portfolio/universal-geneve-polerouter-sub-20369-1/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/18_002-1.jpg,"DIAL: Black gilt radium dial, steel radium hands · CASE: Stainless steel watch case with screwdown caseback, serial: 2230181 · DIAMETER: 42 mm · MOVEMENT: Universal Genève microrotor movement, calibre 218-9 · STRAP: New, Italian handmade pig skin leather strap · CONDITION: Overall, the watch is in excellent condition. The dial and hands are almost flawless in overall top condition with original radium lume. The watch case appears to be in excellent condition. The watch was just serviced by our watchmaker, running with a high amplitude keeping very accurate time. (260°; +4s/d). The watch was acquired from a collector in Italy. Top condition on a rare reference.",Shuck the Oyster,False,False
Universal Genève Oversize Vintage Wristwatch 20512,Other,1800,https://www.shucktheoyster.com/portfolio/universal-geneve-oversize-vintage-wristwatch-20512/,https://shucktheoyster.b-cdn.net/wp-content/uploads/2026/06/20_008-1.jpg,"DIAL: Silver dial, gold feuille hands · DIAMETER: 34,5mm &#8211; lug to lug 44mm · MOVEMENT: Universal Genève manual wind  movement, cal. 267 · STRAP: New, Italian handmade pig skin leather strap · CONDITION: Overall, the watch is in excellent condition. The unusual dial with inner minute scale is in excellent condition. The watch case appears to be unpolished. The watch was just serviced by our watchmaker, now in excellent running condition, keeping accurate time. (325°; + 8s/d) The watch comes from a collector in Italy. A very nice version, with inner minutes and outer art deco hour numerals.",Shuck the Oyster,False,False
