house,title,location,date_start,date_end,date_label,url,has_catalog,source
Sotheby's,Noble & Private Collections Including Jewels from the Collection of Stanley J. Seeger & Christopher Cone,London,2026-05-28,2026-06-09,2026-05-28 – 2026-06-09,https://www.sothebys.com/en/buy/auction/2026/noble-private-collections-l26035,True,Sotheby's
Sotheby's,Important Watches,New York,2026-06-15,2026-06-15,2026-06-15,https://www.sothebys.com/en/buy/auction/2026/important-watches,True,Sotheby's
Sotheby's,Fine Watches,New York,2026-06-08,2026-06-17,2026-06-08 – 2026-06-17,https://www.sothebys.com/en/buy/auction/2026/fine-jewelry-l26050,True,Sotheby's
Sotheby's,"Artistic Luxury: Fabergé, Gold Boxes, Silver & Ceramics",New York,2026-06-17,2026-06-17,2026-06-17,https://www.sothebys.com/en/buy/auction/2026/artistic-luxury,True,Sotheby's
Sotheby's,Fine Watches,London,2026-09-10,2026-09-10,2026-09-10,https://www.sothebys.com/en/buy/auction/2026/fine-watches,True,Sotheby's
Sotheby's,Fine Watches,Paris,2026-10-07,2026-10-07,2026-10-07,https://www.sothebys.com/en/buy/auction/2026/fine-watches-7,True,Sotheby's
Sotheby's,Important Watches,Geneva,2026-11-08,2026-11-08,2026-11-08,https://www.sothebys.com/en/buy/auction/2026/important-watches-ge2604,True,Sotheby's
Sotheby's,Fine Watches,Geneva,2026-11-10,2026-11-10,2026-11-10,https://www.sothebys.com/en/buy/auction/2026/fine-watches-pf2660,True,Sotheby's
Sotheby's,Important Watches,New York,2026-12-06,2026-12-06,2026-12-06,https://www.sothebys.com/en/buy/auction/2026/important-watches-2,True,Sotheby's
Sotheby's,Fine Watches,New York,2026-11-24,2026-12-09,2026-11-24 – 2026-12-09,https://www.sothebys.com/en/buy/auction/2026/fine-watches-5,True,Sotheby's
