title,brand,price,url,img,description,source,date,sold
Patek Philippe Calatrava 1578 'Spider Lugs' Yellow Gold,Patek Philippe,20000,https://www.ssongwatches.com/products/patek-philippe-calatrava-1578-spider-lugs-yellow-gold,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Calatrava-1578-_Spider-Lugs_-YG_0032_Layer-133.png?v=1782721525,"One of the pillars of the Patek Philippe collection is its classic dress watch: the Calatrava. A necessary foundation for any haute horlogerie manufacture, the dress watch remains an essential part of the watchmaking canon, and few brands have embraced the archetype as successfully as Patek Philippe. Through the Calatrava, the manufacture continues to build upon a tradition that stretches back nea",S.Song Watches,2026-06-29,False
Patek Philippe Calatrava 2525 ‘Huber’ Yellow Gold,Patek Philippe,35000,https://www.ssongwatches.com/products/patek-philippe-calatrava-2525-huber-yellow-gold,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Calatrava-2525-_Huber_-YG_0001_Layer-112.png?v=1782722773,"One of the pillars of the Patek Philippe catalogue is its classic dress watch: the Calatrava. For nearly a century, the model has served as Patek Philippe’s interpretation of the dress watch archetype and continues to stand as one of the manufacture’s defining collections. For a bit of historical context, we return to the 1930s, when Charles and Henri Stern acquired Patek Philippe. As part of the ",S.Song Watches,2026-06-29,False
Patek Philippe Calatrava 2526 Enamel Yellow Gold,Patek Philippe,57500,https://www.ssongwatches.com/products/patek-philippe-calatrava-2526-enamel-yellow-gold,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Calatrava-2526-Third-Series-Enamel-YG_0105_Layer-68_0105_Layer-68.png?v=1779002507,"Few references embody mid-century Patek Philippe quite like the 2526. Introduced in the early 1950s, the 2526 was not merely another Calatrava, but the manufacture’s first self-winding wristwatch, created to showcase Patek Philippe’s vision of the modern luxury timepiece. Widely regarded today as one of the finest time-only watches ever produced by the manufacture, the 2526 remains deeply revered ",S.Song Watches,2026-05-17,False
Jaeger-LeCoultre Vogue Skeleton 141.007.1 YG,Jaeger-LeCoultre,13500,https://www.ssongwatches.com/products/jaeger-lecoultre-vogue-skeleton-141-007-1-yg,https://cdn.shopify.com/s/files/1/1872/9369/files/Jaeger-LeCoultre-141.007.1-Vogue-Skeleton-YG_0060_Layer-96_ac73cf92-3078-4ab9-b475-52ddeee88a16.png?v=1783945882,"Few disciplines in watchmaking are as difficult to execute well as skeletonisation. When done poorly, the result feels busy and incoherent. When done successfully, every bridge, wheel, and engraving serves a purpose. The Jaeger-LeCoultre Ref. 141.007.1 offered here is a fine example of the latter. Introduced in 1981 as part of Jaeger-LeCoultre's Skeleton Collection, this is one of those watches th",S.Song Watches,2026-07-13,False
Patek Philippe Ellipse 3548 Beyer White Gold,Patek Philippe,25000,https://www.ssongwatches.com/products/patek-philippe-ellipse-3548-beyer-white-gold,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Ellipse-3548G-_Beyer__0079_Layer-89.png?v=1783930547,"The Ellipse remains one of Patek Philippe's most understated designs. While collectors often gravitate towards the manufacture's more technically ambitious creations, the Ellipse quietly reminds us that refinement need not rely on complication. Instead, its appeal lies in proportion, balance, and restraint, qualities that have defined the model since its introduction at the tail end of the 1960s. ",S.Song Watches,2026-07-13,False
Audemars Piguet Royal Oak 5402BA 'Diamond Index',Audemars Piguet,130000,https://www.ssongwatches.com/products/audemars-piguet-royal-oak-5402ba-diamond-index-copy,https://cdn.shopify.com/s/files/1/1872/9369/files/Audemars-Piguet-Royal-Oak-Ref.-5402BA-Diamond-2_0022_Layer-55.png?v=1741067618,"The Royal Oak, with its masculine octagonal case, exposed screws, and integrated bracelet is one of the most visually distinctive watches in the market today. It is imposing and recognizable, and in my opinion, easily one of the best statement watches money can buy. On top of this, with the current craze for integrated bracelet sports watches and many brands producing their own version, it was the",S.Song Watches,2025-03-04,False
Audemars Piguet Royal Oak 5402BA Champagne Full Set,Audemars Piguet,125000,https://www.ssongwatches.com/products/audemars-piguet-royal-oak-5402ba-champagne,https://cdn.shopify.com/s/files/1/1872/9369/products/Audemars-Piguet-Royal-Oak-5402BA-Champagne_0030_Layer-214.png?v=1678865151,"The Royal Oak, with its masculine octagonal case, exposed screws, and integrated bracelet is one of the most distinctive watches in the market today. It is imposing and recognizable, and in my opinion, one of the best statement watches money can buy. On top of this, with the current craze for integrated bracelet sports watches and many brands producing their own version, it was the Royal Oak that ",S.Song Watches,2023-03-15,False
Patek Philippe Nautilus 3700/11 Jumbo Beyer,Patek Philippe,160000,https://www.ssongwatches.com/products/patek-philippe-nautilus-3700-11-jumbo-beyer,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Nautilus-3700-11A-Jumbo-_Beyer__0010_Layer-1.png?v=1761036239,"Released in 1976, the Patek Philippe Nautilus marked the brand’s bold entry into the luxury sports watch category, conceived as Patek’s direct response to Audemars Piguet’s paradigm-shifting Royal Oak. Designed by Gerald Genta—the very same visionary behind the Royal Oak—the Nautilus drew inspiration from maritime vessel portholes, featuring a round octagonal bezel with distinctive hinges on both ",S.Song Watches,2025-10-21,False
Patek Philippe Nautilus 3700J Jumbo,Patek Philippe,215000,https://www.ssongwatches.com/products/patek-philippe-nautilus-3700j-jumbo-1,https://cdn.shopify.com/s/files/1/1872/9369/files/Patek-Philippe-Nautilus-3700_11-Jumbo-YG-2_0117_Layer-63.png?v=1748587536,"The Patek Philippe Nautilus was first released in 1976. At the time, Patek Philippe was actively searching for an inimitable and strong design as a direct response to the introduction of Audemars Piguet’s paradigm-shifting Royal Oak. Gerald Genta, who was, in fact, also the designer of the rivalling Royal Oak, employed a similar naval-inspired design language in the Nautilus, featuring a round oct",S.Song Watches,2025-05-30,False
Rolex Datejust 16019 Lapis Lazuli White Gold,Rolex,200000,https://www.ssongwatches.com/products/rolex-datejust-1601-9-lapis-lazuli-white-gold,https://cdn.shopify.com/s/files/1/1872/9369/files/Rolex-Datejust-Lapis-Lazuli-1601_9-WG-_0078_Layer-83.png?v=1748588152,"A cornerstone of the Rolex collection from its very origins, the Rolex Datejust is a name that speaks for itself. Introduced in 1945, it not only celebrated the brand's 40th anniversary but also introduced the revolutionary concept of an automatic date-change mechanism. Undoubtedly, the Datejust holds the distinction of being the most recognisable and favoured timepiece around the world. This repu",S.Song Watches,2025-05-30,False
Rolex Red Submariner 1680 Mk IV 'Ghost',Rolex,25000,https://www.ssongwatches.com/products/rolex-red-submariner-1680-mk-iv-ghost-1,https://cdn.shopify.com/s/files/1/1872/9369/files/Rolex-Submariner-1680-Red-Mk-IV-SS-Ghost-2_0123_Layer-84.png?v=1772774361,"The Rolex Submariner is a watch that requires no introduction; it's one of the most widely recognised and beloved timepieces worldwide. Much like other Rolex models, its reputation precedes it, thanks to its enduring design, impeccable quality, and a storied heritage deeply intertwined with the world of diving and adventure. For context, the 1680 marked Rolex's inaugural inclusion of a date featur",S.Song Watches,2026-03-06,False
Vetta Monopusher Chronograph Sector Dial,Other,7000,https://www.ssongwatches.com/products/vetta-monopusher-chronograph-sector-dial,https://cdn.shopify.com/s/files/1/1872/9369/files/Vetta-Monopusher-Chronograph-Ref.-2493-Sector-Dial_0100_Layer-76.png?v=1738035165,"To be completely honest, vintage Vetta is a territory I've never explored in depth. But that’s the beauty of vintage watches, right? There's always more to discover. This Vetta monopusher chronograph is one such revelation for me. While I’ve always known that the brand made some interesting multi-scale chronographs in the past, seeing a rare example of a monopusher chronograph like this has been q",S.Song Watches,2025-01-28,False
Rolex Sea Dweller 'Great White' 1665 Mk 1,Rolex,16000,https://www.ssongwatches.com/products/rolex-sea-dweller-great-white-1665-mk-1,https://cdn.shopify.com/s/files/1/1872/9369/products/Rolex-Sea-Dweller-Great-White-1665-Mk-1-_0042_Layer-98.png?v=1666272410,"Rolex was never meant to be a luxury watch brand. While today they are more known as status symbols, back then they were hardcore tool watch producers, providing watches to specialized fields such as diving, aviation, and racing. Part of the reason why the vintage Rolex market is so strong is because people love the purity and honesty of the design, utility first, design second. While the Submarin",S.Song Watches,2022-10-20,False
Berthoud Geneve Chronograph,Other,5000,https://www.ssongwatches.com/products/berthoud-geneve-chronograph,https://cdn.shopify.com/s/files/1/1872/9369/files/Berthoud-Geneve-Chronograph-SS_0033_Layer-62.png?v=1734928605,"If you're a fan of vintage chronographs, you're likely familiar with Universal Genève and perhaps even know a little about its connection to Berthoud Genève, a relationship similar to how Longines expanded globally through Wittnauer. For context, Universal Genève adopted the Berthoud name during the 1920s to 1940s, distributing watches across countries like France, the Netherlands, New Zealand, So",S.Song Watches,2024-12-23,False
Mulco Black Gilt Spillman Chronograph Inverse Pushers,Other,8500,https://www.ssongwatches.com/products/mulco-black-gilt-spillman-chronograph-inverse-pushers,https://cdn.shopify.com/s/files/1/1872/9369/files/Mulco-Black-Gilt-Chronograph-Spillman-Inverse-Pushers_0070_Layer-117.png?v=1702010629,"For a long time, these Mulco chronographs were not really considered high-end watches and clumped alongside all of the other ordinary chronographs that came out of the era. It wasn’t because it wasn’t good, but mostly due to the lack of knowledge out there at the time. With vintage booming over the past decade years and the trend continuing, collectors have started to realise that there are actual",S.Song Watches,2023-12-08,False
Mulco Black Gilt Spillman Chronograph,Other,8500,https://www.ssongwatches.com/products/mulco-black-gilt-spillman-chronograph,https://cdn.shopify.com/s/files/1/1872/9369/files/Mulco-Black-Gilt-Chronograph-Spillman_0001_Layer-80.png?v=1702009971,"For a long time, these Mulco chronographs were not really considered high-end watches and clumped alongside all of the other ordinary chronographs that came out of the era. It wasn’t because it wasn’t good, but mostly due to the lack of knowledge out there at the time. With vintage booming over the past decade years and the trend continuing, collectors have started to realise that there are actual",S.Song Watches,2023-12-08,False
Girard Perregaux Tri-Compax,Other,9000,https://www.ssongwatches.com/products/girard-perregaux-tri-compax-1,https://cdn.shopify.com/s/files/1/1872/9369/files/Girard-Perregaux-Tri-Compax-SS-2_0129_Layer-131.png?v=1734931274,"While the Tri-Compax model is most commonly associated with Universal Genève, there exists a very rare variant that is not widely known—one branded by Girard-Perregaux. This example is, indeed, a Tri-Compax, but carries the Girard-Perregaux name on the dial. The Tri-Compax is widely regarded by collectors as a notable alternative to Patek Philippe, as both Universal Genève and Patek Philippe were ",S.Song Watches,2024-12-23,False
Movado Triple Date Steel,Movado,3000,https://www.ssongwatches.com/products/movado-triple-date-steel,https://cdn.shopify.com/s/files/1/1872/9369/files/Movado-Triple-Calendar-SS_0016_Layer-79.png?v=1734935699,"As someone who began watch-dealing through collecting vintage watches, Movado is a brand you simply cannot overlook—no, I am not talking about the modern-day Movado, which pales in comparison to its historic stature. For those who do not know, Movado was once renowned for crafting some of the world's finest watches from the 1930s to the 1970s. This Triple Calendar we have here today exemplifies th",S.Song Watches,2024-12-23,False
Eterna Black Gilt Chronograph,Other,6900,https://www.ssongwatches.com/products/eterna-black-gilt-chronograph,https://cdn.shopify.com/s/files/1/1872/9369/files/Eterna-Black-Gilt-Chronograph_0014_Layer-72.png?v=1702008645,"Eterna chronographs from the mid-century have been very popular lately and it is not hard to see why. Featuring a multitude of variations, from distinct dial styles to diverse case shapes, these timepieces have captivated the interest of collectors and as a result, have seen its value skyrocket recently. Offered here today is one fine example featuring a black gilt dial and a beautiful tachymeter-",S.Song Watches,2023-12-08,False
Heuer Autavia 2446C,Heuer,7000,https://www.ssongwatches.com/products/heuer-autavia-2446c-2,https://cdn.shopify.com/s/files/1/1872/9369/files/Heuer-Autavia-2446C-3_0114_Layer-252.png?v=1702008872,"The Heuer Autavia really needs no introduction. What was once seen as a cheap sports chronograph has, in the last 18 months become one of the hottest and most in-demand vintage watch in the market. The Autavia was released in 1962 under the new management of Jack Heuer, where the name was an amalgamation of the words ‘Automotive’ and ‘Aviation’. This was the first line that Jack Heuer released, ev",S.Song Watches,2023-12-08,False
Bulova Supercompressor,Bulova,2750,https://www.ssongwatches.com/products/bulova-supercompressor,https://cdn.shopify.com/s/files/1/1872/9369/products/Bulova-Supercompressor-36mm-Front-Shot.jpg?v=1531919058,"The supercompressor case. Most recognisable through the use of double crowns at 2 and 4 o’clock, these are quintessentially 60’s/70’s in its design. Produced by a single company, Ervin Piquerez EPSA, compressor cases used a new technology at the time where it used pressure to guarantee a watch’s water resistance. As you go deeper, the pressure gets higher, in theory, creating a tighter seal. Many ",S.Song Watches,2017-11-27,False
