title,brand,price,url,img,description,source,date,sold
"2024 PP&co Nautilus in White Gold, reference 5712G : Full Set Like New & Last Batch !",Other,86990,https://tokant-paris.com/products/2024-pp-co-nautilus-in-white-gold-reference-5712g-full-set-like-new-last-batch,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26611D_0000_20072026-IMG_0001-3.jpg?v=1784537383,"Brand : Patek Philippe and co Model : 5712G Size : 40X 38 mm Movement : 240 PS + IRM + C + LU Case : Like New conditions Dial : Nautilus dial are always perfection in Grey Its SPECTACULAR. Bracelet : 1 Original Black Crocodile Bracelet with PP Deployante Buckle & 1 Black Leather from Patek NEW Accessories : FULL COLLECTOR SET Why we bought it ? Maybe the last 5712G ever Produced and what a price ! Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 at Google #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-20,False
2018 Omega Speedmaster Speedy Tuesday Ultraman Ref: 311.12.42.30.01.001 Super Full Set Only 2012 Ex.,Other,8999,https://tokant-paris.com/products/2018-omega-speedmaster-speedy-tuesday-ultraman-ref-311-12-42-30-01-001-super-full-set-only-2012-ex,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26715D_0000_15072026-IMG_0003.jpg?v=1784120628,"Brand : Omega Model : 311.12.42.30.01.001 Size : 42 mm Movement : Omega 1861 caliber Case : Superb. Gorgeous caseback by Omega, black bezel Dial : Awesome Ultraman dial, in flawless condition Bracelet : 2 Original bracelet Omega Strap + 1 Black Leather Strap Accessories : Super nice full set as usual with Omega. The special edition Box is stunning with a ton of goodies and Omega Champagne Bottle Why we bought it ? Only 2012 Ex. Inspired by the famous orange hand speedmaster linked to the 1971 Return of Ultraman TV Series. Please remember : #We are TOP trusted verified 4,9/5 at Truspilot #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-15,False
2004 AP Royal Oak calendar Blue Dial ref: 25594st FULL SET & Super Qual !,Other,39999,https://tokant-paris.com/products/2004-ap-royal-oak-calendar-blue-dial-ref-25594st-full-set-super-qual,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/2665D_0000_11062026-IMG_0001-2.jpg?v=1781181973,"Brand : Audemars Piguet Model : 25594st.OO.0789st.03 Size : 36 mm Movement : 2224 Case : Fantastic ultra fat sharp and nice case. F serial. Great beveled edges, great brush Dial : Awesome flawless dial. TOP conditions. WOW Bracelet : Original and tight royal oak bracelet, perfect Accessories : Full Set Why we bought it ? Cool watch, cool price, cool complication & Full set Please remember : #We are TOP trusted verified 4,9/5 at Truspilot #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-06-11,False
"1990 (circa) Cartier Octogonal Santos reference 2966: Gorgeous full set, from the very first owner",Other,3290,https://tokant-paris.com/products/1990-circa-cartier-octogonal-santos-reference-2966-gorgeous-full-set-from-the-very-first-owner,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26711D26712D26713D_0026_09072026-IMG_0006-2.jpg?v=1783606271,"Brand : Cartier Model : Santos ref 2966 Size : 30mm Movement : Automatic caliber by Cartier Case : Super fat case, top ! sharp Dial : Gorgeous uncracked white dial Bracelet : Cool original two tones bracelet, Perfect condition & Super long Accessories : Cartier box + booklets, service booklets , original card etc etc ! Why we bought it ? Super vintage watch, reminds us 80's & 90's beautiful years. We love the old school way, don't you? Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 at Google #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-09,False
"2001 Vacheron Constantin Chronograph, Overseas collection, ref 49140: Great piece !",Other,11980,https://tokant-paris.com/products/2001-vacheron-constantin-chronograph-overseas-collection-ref-49140-great-piece,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26711D26712D26713D_0032_09072026-IMG_0018-2.jpg?v=1783605874,"Brand : V&C Model : 49140 chronograph ref 49140/423A-8790 Size : 40 mm Movement : Automatic VC caliber ref 1137 running perfectly Case : Superb case, great edges Dial : Perfect dial , silver. Very balanced, top Bracelet : Original bracelet , light normal stretch Accessories : Extract from VC archives Why we bought it ? Because we are Overseas lover! and lets look at the value for the money... Please remember : we are 5 stars at Google, 5/5 at Truspilot & Top trusted category at C24 #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-09,False
1965 (Circa) Heuer Carrera 45 36mm Ref: 3647N Beautiful,Other,7990,https://tokant-paris.com/products/1965-circa-heuer-carrera-45-36mm-ref-3647n-beautiful,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/2679D_0000_07072026-IMG_0012.jpg?v=1783418557,"Brand : Heuer Carrera Model : 3647N Size : 36 mm Movement : Valjoux 92 Case : Excellent case, ultra fat, likely unpolished Dial : Fantastic Black dial, all original, superb & flawless Bracelet : Brown leather strap with Heuer ardillon buckle Accessories : None Why we bought it ? A watch for true vintages lovers! This one is in fantastic conditions, it won't be easy to find better",Tokant,2026-07-07,False
"2006 Audemars Piguet Royal oak, White dial ref: 15300 Box & Papers Superb !",Other,29890,https://tokant-paris.com/products/2006-audemars-piguet-royal-oak-white-dial-ref-15300-box-papers-superb,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26710_0000_06072026-IMG_0001.jpg?v=1783329694,"Brand : Audemars Piguet Model : 15300st Royal Oak Size : 39 mm Movement : 3120 Automatic Caliber Case : Excellent case with iconic design Dial : White grande tapisserie dial, an icon by itself Bracelet : Original AP integrated bracelet in steel, perfect matching conditions Accessories : original guarantee, Manuel d'utilisation AP box Why we bought it ? Cheaper than a 15202 and slimmer than a 15500 :-) Please remember : #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-06,False
1970 Omega Speedmaster ref: 145.022 Rare in full set !,Other,4490,https://tokant-paris.com/products/1970-omega-speedmaster-ref-145-022-full-set-super-rare,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/Tokant_SeaDweller_16600-Recupere-Recupere-Recupere-Recupere-Recupere_0000_03072026-IMG_0001.jpg?v=1783069895,"Brand : Omega Model : 145.022st Speedmaster Size : 42 mm Movement : 861, manual chronograph, by Omega Case : N ice case, the caseback engraving still super visible Dial : Awesome black dial with perfect markers, matching original hands Bracelet : Original 1171 bracelet in good conditions Accessories : Full set Why we bought it ? Very cool example of the legend, and Please Full Set !! Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 at Google #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-07-03,False
1949 Circa Rolex Bubbleback Ovettone in GOLD RARE Ref: 6030/6075 Crazy dial & original Bracelet,Other,18990,https://tokant-paris.com/products/1940-circa-rolex-bubbleback-ovettone-in-gold-ref-5030-crazy-dial-original-bracelet,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/Tokant_SeaDweller_16600-Recupere-Recupere-Recupere-Recupere-Recupere_0000_02072026-IMG_0001.jpg?v=1782980063,"Brand : Rolex Model : 6030 Size : 36 mm Movement : Bubbleback caliber engraved 27068 & serial G6162 Case : Very good and fat case. Full Gold. 685.xxx serial, top conditions and crazy SUPER OYSTER crown ! Dial : Fantastic dial and hands patina All original, Dauphine hands in top conditions, great dial with perfect radium plots. Bracelet : Original Fitted Yellow gold Jubilee Bracelet, Stamped 750 Rolex SA + Hemes Strap in brown leather with Hermes Buckle, like new Accessories : None Why we bought it ? Time Capsule a Real Treasure, piece of early Rolex History. The ovettone, nicknamed for its rounded ""egg Shapped"" Oyster case 1949 Circa Rolex Bubbleback Ovettone in GOLD RARE Ref: 6030/6075 Crazy dial & original Bracelet After further deeper research, this watch has turned out to be a Rolex reference 6030/6075, an exceptionally rare transitional model from the late 1940s, dating to around 1949. It already features the “Super Oyster” crown associated with the reference 6075, while retaining the smooth bezel of the reference 6030, hence the double reference 6030/6075. A truly rare and fascinating transitional animal! Proud to offer this extraordinary timepiece again, nearly 80 years after it first left the retailer’s showcase.",Tokant,2026-07-01,False
2005 Vacheron & Constantin Métiers d'Art ref: 47070J  'Zheng He' Full Set Only 60 pieces !,Other,61890,https://tokant-paris.com/products/2005-vacheron-constantin-metiers-dart-ref-47070j-ferdinand-magellan-full-set-only-60-pieces,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/2668D_0000_18062026-IMG_0003.jpg?v=1781774364,"Brand : Vacheron & Constantin Model : 47070/000J-9076 Size : 40 mm Movement : CAL . 1126 T Case : In Yellow Gold Top conditions Dial : Grand feu enamel dial with a map of the silk road Bracelet : Brown Leather + original gold deployante buckle Accessories : Full set Why we bought it ? A Vacheron Constantin Les Métiers d'Arts Tribute to the Great Explorers 'Zheng He' Only 60 pieces ! Wonderful Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 AT GOOGLE #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-06-18,False
2011 Jaeger-LeCoultre Memovox Tribute to Deep Sea Alarm DSA US Version Ref:Q2028440 Full set Only 359 Ex !,Other,12490,https://tokant-paris.com/products/2011-jaeger-lecoultre-memovox-tribute-to-deep-sea-us-version-ref-q2028440-full-set-only-359-ex,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/Tokant_SeaDweller_16600-Recupere-Recupere-Recupere-Recupere_0746e874-aa00-4251-8247-19f5d4d2b07c.jpg?v=1779959099,"Brand : Jaeger Lecoultre Model : Q2028440 Size : 40,5 mm Movement : Automatic by Jaeger Lecoultre Case : Top conditions case, mint & clean Dial : Superb black rotating dial, flawless Bracelet : Original bracelet in good conditions + 1 NEW Original Bracelet Accessories : Full Collector set Why we bought it ? We particularly like the US Version, spectacular rotating dial a beautiful piece easy to wear and very useful taking your bath. Only 359 pieces ever produced Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 AT GOOGLE #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-05-28,False
2024 Tudor Pelagos Titane Edition DGSI ref: 25407N Full Set 200Ex ! NEW,Other,8290,https://tokant-paris.com/products/2024-tudor-pelagos-titane-edition-dgsi-ref-25407n-full-set-200ex-new,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/26511D_0000_26052026-IMG_0001.jpg?v=1779803393,"Brand : Tudor Model : Titanium Pelagos Size : 39 mm Movement : self-winding caliber MT5400 Case : NEW in Titanium Dial : Super well balanced dial very readable with the French Military DGSI logo Bracelet : Like new in titanium Accessories : 2024 full set with 2 additional rubber bracelets Why we bought it ? Only produced at 200 Ex for the 10 years of French Military DGSI.. Just assume you always wanted to be a spy... Please remember : #We are TOP trusted verified 4,9/5 at Truspilot #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-05-26,False
"2021 Tudor Black Bay 58 ""DRPP"" Ref: 79030N Full Set Full NEW & 50 Ex",Other,8890,https://tokant-paris.com/products/2021-tudor-black-bay-58-drpp-ref-79030n-full-set-full-new-50-ex,https://cdn.shopify.com/s/files/1/0504/5724/7928/files/Tokant_SeaDweller_16600-Recupere-Recupere-Recupere-Recupere_f3b178bf-d797-4222-ab7f-5cb27dcfa478.jpg?v=1779803670,"Brand : Tudor Model : Black Bay Fifty-Eight 79030N DRPP Size : 39 mm Movement : MT5402 Case : Super cool Black Bay case, NEW Dial : Superb Black dial with snowflake hands with a gorgeous red signature: SEMPER IN MALI UMBRA II (toujours à l'ombre du mal...) Bracelet : Original Stainless Steel Riveted bracelet Accessories : Full set boxes, Perfect NEW Why we bought it ? Not just another Black Bay, its the special DRPP Direction du Renseignement de la préfecture de police ... edition made only in 50 pieces worldwide. Commissioned for the french Police Please remember : #We are TOP trusted verified 4,9/5 at Truspilot & 5/5 at Google #1 year guarantee of good running* #Free shipping/insurance worldwide #Express shipping #Lifetime guarantee of authenticity #Free return within 5 days* *please check our conditions of sales for details",Tokant,2026-05-26,False
