title,brand,price,url,img,description,source,sold,priceOnRequest
1960 Universal Genève Polerouter Ref. 204610-1 'Panna' dial with Gay Frères,Other,6950,https://www.vintagewatchcollective.com/product-page/1960-universal-genève-polerouter-ref-204610-1-panna-dial-with-gay-frères,"https://static.wixstatic.com/media/53167e_bb62378561554c8caad82c49e56a3529~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1990 Rolex Explorer Ref. 14270 'Blackout' Unpolished Case Back Sticker w/ Papers,Rolex,18000,https://www.vintagewatchcollective.com/product-page/1990-rolex-explorer-ref-14270-blackout-unpolished-case-back-sticker-w-papers,"https://static.wixstatic.com/media/53167e_fc191bd44b0a4c67b39bfae5c9402b90~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2002 Rolex GMT-Master II Ref. 16710 'Unpolished',Rolex,11500,https://www.vintagewatchcollective.com/product-page/2002-rolex-gmt-master-ii-ref-16710-unpolished,"https://static.wixstatic.com/media/53167e_f8e6d74378a4405fae19923feb62623d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2022 Rolex Day-Date 40 Ref. 228239 'Unpolished' 18K White Gold w/ Box and Papers,Rolex,40000,https://www.vintagewatchcollective.com/product-page/2022-rolex-day-date-40-ref-228239-unpolished-18k-white-gold-w-box-and-papers,"https://static.wixstatic.com/media/53167e_c6798a62a48d4ff3b9476adc5887d91d~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1963 Universal Genève Aero-Compax Ref. 890100/01 'Unpolished',Other,11500,https://www.vintagewatchcollective.com/product-page/1963-universal-genève-aero-compax-ref-890100-01-unpolished,"https://static.wixstatic.com/media/53167e_63704a42411c4f269e6933c6d4bdf19e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1995 Rolex Explorer II Ref. 16570 'Chicchi di Mais' with Pumpkin patina,Rolex,10250,https://www.vintagewatchcollective.com/product-page/1995-rolex-explorer-ii-ref-16570-chicchi-di-mais-with-pumpkin-patina,"https://static.wixstatic.com/media/53167e_26f85dca3c5847c4a9d0b8e55a6e5436~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2003 Rolex Daytona Ref. 116520 'Panna' dial 'Thin Hands' with Box and Papers,Rolex,30000,https://www.vintagewatchcollective.com/product-page/2003-rolex-daytona-ref-116520-panna-dial-thin-hands-with-box-and-papers,"https://static.wixstatic.com/media/53167e_4290c3c9946e4f8bb2dbb3956c1d9636~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1973 Rolex GMT-Master Ref. 1675 'Root Beer' with MK2 matte brown 'Nipple' dial,Rolex,10000,https://www.vintagewatchcollective.com/product-page/1973-rolex-gmt-master-ref-1675-root-beer-with-mk2-matte-brown-nipple-dial,"https://static.wixstatic.com/media/53167e_48c48e59f46a4b3bbebf71f68b2a8729~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1985 Rolex Sea-Dweller Ref. 16660 'Tropical Galaxy' dial ‘Unpolished’,Rolex,11850,https://www.vintagewatchcollective.com/product-page/1985-rolex-sea-dweller-ref-16660-tropical-galaxy-dial-unpolished,"https://static.wixstatic.com/media/53167e_2a36bb37b8ef484db711a678d4731373~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1969 Rolex GMT-Master Ref. 1675 MK1 'Long E' with Rolex Service,Rolex,13850,https://www.vintagewatchcollective.com/product-page/1969-rolex-gmt-master-ref-1675-mk1-long-e-with-rolex-service,"https://static.wixstatic.com/media/53167e_40ebab9676bd4300ab2d10bf5c62d353~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1979 Rolex Day-Date Ref. 18038 Black 'Gilt' dial Unpolished 'Thick Case' 18K YG,Rolex,14500,https://www.vintagewatchcollective.com/product-page/1979-rolex-day-date-ref-18038-black-gilt-dial-unpolished-thick-case-18k-yg,"https://static.wixstatic.com/media/53167e_76b94ec4314b4d6589193beb68ced5bf~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1978 Rolex GMT-Master Ref. 1675 with MK4 dial,Rolex,14450,https://www.vintagewatchcollective.com/product-page/1978-rolex-gmt-master-ref-1675-with-mk4-dial-1,"https://static.wixstatic.com/media/53167e_55232a05f34f44c0908d74f4413ad576~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2001 Omega Seamaster Professional Ref. 2531.80.00 'Bond' with Papers,Omega,5150,https://www.vintagewatchcollective.com/product-page/2001-omega-seamaster-professional-ref-2531-80-00-bond-with-papers,"https://static.wixstatic.com/media/53167e_0d65142d46bb49f4b6b51d4722be3a2a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1940s Universal Geneve 'Compax' Ref. 12545 in 18K Rose Gold,Universal Geneve,6950,https://www.vintagewatchcollective.com/product-page/1940s-universal-geneve-compax-ref-12545-in-18k-rose-gold,"https://static.wixstatic.com/media/53167e_ae0d3bcd9b384c5e8a8dff47e1ae12f6~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1940s Patek Philippe Calatrava Ref. 2420 'Claw Lugs' in 18K Yellow Gold,Patek Philippe,11500,https://www.vintagewatchcollective.com/product-page/1940s-patek-philippe-calatrava-ref-2420-claw-lugs-in-18k-yellow-gold,"https://static.wixstatic.com/media/53167e_2bba5d75948e49fbae8081a5ef31848e~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1978 Rolex GMT-Master Ref. 1675 MK5 'Pumpkin' Patina dial with Box and Papers,Rolex,24950,https://www.vintagewatchcollective.com/product-page/1978-rolex-gmt-master-ref-1675-mk5-pumpkin-patina-dial-with-box-and-papers,"https://static.wixstatic.com/media/53167e_e820712a9b6d4a689cf0b65b9ae7e9a9~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,True,False
2007 Rolex Submariner Ref. 16613LN 'Unpolished' with Box and Papers,Rolex,10250,https://www.vintagewatchcollective.com/product-page/2007-rolex-submariner-ref-16613ln-unpolished-with-box-and-papers,"https://static.wixstatic.com/media/53167e_2fbc904523d9421bb525e0bc3df68daf~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1978 Rolex Submariner Ref. 5513 'Serif' dial with ‘Ghost’ bezel insert,Rolex,8000,https://www.vintagewatchcollective.com/product-page/1978-rolex-submariner-ref-5513-serif-dial-with-ghost-bezel-insert,"https://static.wixstatic.com/media/53167e_77f389f4282a455e9cc1b959b8ec0205~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,True,False
1978 Rolex Datejust Ref. 1601 with 'Panna' White 'Buckley' dial,Rolex,6500,https://www.vintagewatchcollective.com/product-page/1978-rolex-datejust-ref-1601-with-panna-white-buckley-dial,"https://static.wixstatic.com/media/53167e_5539388922ea4e3495c309b2314a57d8~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1970s Piaget Ref. 9741 A20 'Lapis Lazuli' stone dial in 18K White Gold,Piaget,15900,https://www.vintagewatchcollective.com/product-page/1970s-piaget-ref-9741-a20-blue-lapis-lazuli-stone-dial-in-18k-white-gold,"https://static.wixstatic.com/media/53167e_0ca7cb90a12c49958ea623fcfcf22a87~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
2021 Rolex GMT-Master Ref. 126710BLRO 'Pepsi' with Box and Papers,Rolex,21000,https://www.vintagewatchcollective.com/product-page/2021-rolex-gmt-master-ref-126710blro-pepsi-with-box-and-papers,"https://static.wixstatic.com/media/53167e_62d07743c27248e89c06daf23ed77568~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,True,False
1982 Rolex GMT-Master Ref. 16750 'Pallettoni' dial,Rolex,11500,https://www.vintagewatchcollective.com/product-page/1979-rolex-gmt-master-ref-16750-pallettoni-dial,"https://static.wixstatic.com/media/53167e_d1b54ea8068e4f38a88437ff433d340b~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
"1990 Rolex Explorer II Ref. 16570 'Chicchi di Mais' Box, Papers & Rolex Service",Rolex,11450,https://www.vintagewatchcollective.com/product-page/1990-rolex-explorer-ii-ref-16570-chicchi-di-mais-box-papers-rolex-service,"https://static.wixstatic.com/media/53167e_538a61d8808649279078b228a22d45ed~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,True,False
1979 Rolex GMT-Master Ref. 16753 Glossy 'Nipple' dial,Rolex,10850,https://www.vintagewatchcollective.com/product-page/1979-rolex-gmt-master-ref-16753-glossy-nipple-dial,"https://static.wixstatic.com/media/53167e_741eca653c4a45f9a73a2df7d3fa6aff~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1990 Rolex Day-Date Ref. 18038 Champagne 'Diamond-set' dial in 18k Yellow Gold,Rolex,11850,https://www.vintagewatchcollective.com/product-page/1990-rolex-day-date-ref-18038-champagne-diamond-set-dial-in-18k-yellow-gold,"https://static.wixstatic.com/media/53167e_8d90e59fda764d21aa45d84cd910394a~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
1976 Rolex Day-Date Ref. 1803 'Ghost' Lavender Diamond-set dial 18k Yellow Gold,Rolex,11850,https://www.vintagewatchcollective.com/product-page/1976-rolex-day-date-ref-1803-ghost-lavender-diamond-set-dial-18k-yellow-gold,"https://static.wixstatic.com/media/53167e_9df77a915aba4f9d8752de49f5fd45d0~mv2.jpg/v1/fit/w_500,h_500,q_90/file.jpg",,Vintage Watch Collective,False,False
