title,brand,price,url,img,description,source,date,sold
1997 Patek Philippe Perpetual Calendar 5038G White Gold Full Set,Patek Philippe,43450,https://www.watchbrotherslondon.com/sales-corner/p/1997-patek-philippe-perpetual-calendar-5038g-white-gold-full-set,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/4c9dd05a-176b-40ec-8619-5994311719d0/1997+Patek+Philippe+Perpetual+Calendar+5038G+White+Gold+Full+Set++1.JPG,"What We Love The ugly duckling of the 80s and 90s Patek perpetual calendar line-up, or the beautiful swan? We think you know where we stand… 😉 The Ref. 5038 remains one of the most intriguing limited-production references from Patek Philippe. Interestingly, the manufacture never publicly stated a specific commemorative reason for its creation. Produced for only a brief period, circa 1996–1998, and",Watch Brothers London,,False
2002 Patek Philippe Perpetual Calendar Chronograph 3970EG White Gold Box And Papers,Patek Philippe,174300,https://www.watchbrotherslondon.com/sales-corner/p/2002-patek-philippe-perpetual-calendar-chronograph-3970eg-white-gold-box-and-papers,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/434fe349-b9d3-4f6d-b669-35b5547b5ab0/2002+Patek+Philippe+Perpetual+Calendar+Chronograph+3970EG+White+Gold+Box+And+Papers+4.JPG,"What We Love One of the most recognisable complications ever produced by Patek Philippe, the perpetual calendar chronograph is a huge part of the brand’s identity. The history and design language behind these references are incredibly well documented, and it’s always exciting to have one come through the door, especially as we haven’t had many. This is a 4th series Patek Philippe Ref. 3970 in whit",Watch Brothers London,,False
Late 1990’s Patek Philippe Reference 5065J Full Tritium With Extract Ordered,Patek Philippe,72450,https://www.watchbrotherslondon.com/sales-corner/p/late-1990s-patek-philippe-reference-5065j-full-tritium-with-extract-ordered,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/92b209f3-4430-46c0-a600-6d027ab1d916/Late+1990%E2%80%99s+Patek+Philippe+Reference+5065J+Full+Tritium+With+Extract+Ordered+26.JPG,"What We Love By now, it’s no secret we’re fully won over by the neo-vintage Aquanaut. Its aesthetic resonates far more with us than the modern counterparts, especially when you factor in the proportions. This particular piece is the yellow gold 38mm Ref. 5065, far less common to find than its steel sibling and one that offers noticeably more presence on the wrist. The case is impressively sharp an",Watch Brothers London,,False
Early 90’s Audemars Piguet Quantième Perpétuel Reference 25657 Platinum,Audemars Piguet,34450,https://www.watchbrotherslondon.com/sales-corner/p/early-90s-audemars-piguet-quantime-perptuel-reference-25657-platinum,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/95d22a38-a856-4430-985c-a763ce6b51d5/DSC02555.JPG,"What We Love It’s uncommon to see this reference in platinum, just 128 pieces were produced. The case remains in wonderfully honest condition, with deep hallmarks and crisp lines, showing signs of wear that reflect genuine enjoyment over time. While much of the market’s attention is on skeleton and Tuscan Audemars Piguet Quantime Perptuel models, this particular variant is rarely encountered and c",Watch Brothers London,,False
1990’s Ulysse Nardin San Marco 139-70-9 San Pietro Roma No.0 of 10 Full Set,Other,25000,https://www.watchbrotherslondon.com/sales-corner/p/1990s-ulysse-nardin-san-marco-139-70-9-algiers-no0-of-10-full-set,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/768b7a73-7bdf-40dd-aaf0-58453bc66377/WBLDN+January+2026+Tim+Vaux+4x5+-+22.jpeg,"WhatsApp Email Instagram Buy With Confidence — Learn More — What We Love An exceptional example of one of our favourite models, showcasing a vibrant dial crafted by the renowned enamel specialists at Donz Cadran. This particular piece stands out for three compelling reasons: the rare “0/10” marking on the dial (something we have not encountered before), the platinum case, produced in significantly",Watch Brothers London,,False
1978 Rolex Cosmograph Daytona 6265 Sigma Dial,Rolex,67500,https://www.watchbrotherslondon.com/sales-corner/p/rolex-daytona-6265-sigma-dial,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/43827b26-2599-485c-b04a-1fb7dea2cb3d/Rolex+Daytona+6265+Sigma+2.jpg,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What We love — You probably know by now I have a vice for Daytona! This one I purchased from close friends Davidoff Brothers last year who were very kind to sell it to me. It was my first 4 digit Daytona and one I’ve based a lot of my learning on over the past year+. This example has a glorious black Sigma dial, large plots (all prese",Watch Brothers London,,False
Late 1950's Patek Philippe 765 Guilloche,Patek Philippe,14550,https://www.watchbrotherslondon.com/sales-corner/p/late-1950s-patek-philippe-765-guilloche,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/65088305-955c-4500-b59e-55101087a8b8/WBLDN+January+2025+Tim+Vaux+4x5+-+19.jpg,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What We love — An early example of the ref. 765 with pink gold hands and indices. The raised enamel signature is still beautifully sharp, the guilloché is preserved wonderfully and the multi-stepped reeded bezel still crisp. This is very much a beautiful object as it is a watch. The case is signed Geneva Key No. 5, the poinçon de maît",Watch Brothers London,,False
Circa 1990’s Ebel El Primero Chronograph 8134901 Dark Mother-Of-Pearl Dial,Other,13600,https://www.watchbrotherslondon.com/sales-corner/p/circa-1990s-ebel-el-primero-chronograph-8134901-dark-mother-of-pearl-dial,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/c680e0dc-0080-4d7d-8509-dcc326419a2e/Circa+1990%E2%80%99s+Ebel+El+Primero+Chronograph+8134901+Dark+Mother-Of-Pearl+Dial+11.JPEG,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — Price — 13,600 GBP on leather strap with pin buckle. Both options inc fully insured worldwide delivery What I love — This is a true party piece that I simply can’t get enough of. The dark mother-of-pearl dial is outrageously fun, exceptionally vibrant and free from cracks or chips. The case has been very well preserved, with all engra",Watch Brothers London,,False
1980's Ebel El Primero Chronograph 9134901 1st Series 'Cappuccino Dial',Other,4500,https://www.watchbrotherslondon.com/sales-corner/p/1980s-ebel-el-primero-chronograph-3134901-1st-series-cappuccino-dial,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/f73c6dba-e2d1-49c7-8be8-022245217db1/WBLDN+January+2025+Tim+Vaux+4x5+-+34.jpg,"WhatsApp · Email · Instagram Buy With Confidence — Learn More — What I love — Three things stand out. First, the ‘cappuccino’ dial — yes, it looks like someone spilled their coffee on it, and I love it. Second, the wave bracelet — incredibly comfortable, elegant, and unmistakably Ebel. And third, it’s a very early MK1 example with thick sub-dials and a non-lume handset, giving it that clean, purpo",Watch Brothers London,,False
Circa 1990 Ebel 'El Primero' Chronograph 3134901 in White Gold,Other,10950,https://www.watchbrotherslondon.com/sales-corner/p/circa-1990-ebel-el-primero-chronograph-3134901-in-white-gold,https://images.squarespace-cdn.com/content/v1/5e80d49d17f8c1370e28be2b/1661a5c5-bf46-4b8d-ad19-11f1fb890870/IMG_0935.JPG,WhatsApp Email Instagram Buy With Confidence — Learn More — What I love — Very clean example of a rare variant from the Ebel ‘El Primero’ Chronograph range. This watch featuring a perfect ‘baton’ dial (as opposed to the usual roman numerals) with all lume plots perfectly preserved. The original tritium handset still in place. The case is unpolished to my eye with engravings crisp and deep. Comes o,Watch Brothers London,,False
