title,brand,price,url,img,description,source,sold
"Audemars Piguet Royal Oak Ref. 14790 ASF World Cup ’94, 18kt Yellow Gold, Full Set 1994",Audemars Piguet,53500,https://watchcenter.ch/prodotto/audemars-piguet-royal-oak-ref-14790-asf-world-cup-94-18kt-yellow-gold-full-set-1994/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-21-2.webp,"La referenza 14790 Royal Oak è stato lanciato da Audemars Piguet nel 1992. Con i suoi 36 mm, questo Royal Oak di medie dimensioni è più facile da indossare rispetto alle classiche misure “Jumbo” , infatti grazie alliconico design angolare della cassa e al bracciale integrato del Royal Oak questo veste decisamente di più! Questo esemplare è in oro giallo 18 carati e presenta un quadrante grigio con liconico motivo “Petite Tapisserie” di Audemars Piguet. E dotato di un quadrante “Mark II”, caratterizzato da eleganti indici lunghi e dalle lettere “A” e “P” maiuscole della firma Audemars Piguet. Il fondello presenta unincisione relativa alla Coppa del Mondo FIFA del 1994: “ASF World Cup 94”. ASF sta per “Association Suisse Football” (Associazione Svizzera di Calcio). Si presume che questo orologio sia uno dei dieci regalati a un membro dello staff della squadra di calcio svizzera del 94 come pezzo commemorativo. In condizioni incredibili! Come nuovo! Completo di scatola e documenti AP riportanti “ASF World Cup 94”e di un anno di garanzia sul meccanismo. Spedizione assicurata in tutto il mondo con corriere Fedex",Watch Center,False
Patek Philippe Perpetual Calendar – Ref. 3940 – Rare Italian Calendar – Second Series,Patek Philippe,59500,https://watchcenter.ch/prodotto/patek-philippe-perpetual-calendar-ref-3940-rare-italian-calendar-second-series/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-17-1.webp,"Lanciato nel 1985 in sostituzione del modello ref. 3450, il leggendario «Padellone», il modello ref. 3940 presenta una cassa classica in stile Calatrava con proporzioni e layout del quadrante estremamente puliti. Al suo interno batte il nuovissimo calibro 240 ultra-sottile, il primo movimento Patek Philippe a utilizzare un micro-rotore. Proposto in quattro metalli, oro giallo, oro rosa, oro bianco e platino, il modello è stato prodotto in tre serie con una produzione che è durata fino al 2007. Questo esemplare in oro giallo fa parte della seconda serie che si distingue dalla prima principalmente per i suoi contatori con bordi smussati che danno unimpressione complessiva più ampia. Anche la firma a ore 12 è leggermente più grande e laccento grave di Geneve è scomparso. Il quadrante, con raro calendario italiano, presenta una patina molto omogenea e piacevole. Cinturino in coccodrillo marrone con fibbia Patek Philippe in oro giallo 18k. Lorologio è in ottime condizioni, con estratto degli archivi Patek Philippe che conferma la produzione nel 1989 e un anno di garanzia di negozio sul funzionamento. Spedizioni in tutto il mondo con corriere assicurato FedEx.",Watch Center,True
Rolex Daytona Ref. 6241 – Paul Newman Dial – Full Set,Rolex,285000,https://watchcenter.ch/prodotto/rolex-daytona-ref-6241-paul-newman-dial-full-set/,https://watchcenter.ch/wp-content/uploads/2026/03/1.webp,"Rarissimo Rolex Daytona Ref. 6241 con quadrante nero Paul Newman. Questo bellissimo orologio prodotto nel 1968, seriale 176XXXX, è in condizioni eccezionali. Si tratta di una rara referenza, 6241, prodotta solo per tre anni, dal 1966 al 1969. Orologio originale e coevo in tutte le sue componenti. Movimento a carica manuale cal. 722-1, revisionato e perfettamente funzionante. Bracciale Oyster rivettato 7205 con terminali 71 e chiusura datata I/68. Il quadrante nero Paul Newman è in ottimo stato di conservazione. A rendere ancora più attrattivo questo esemplare è il corredo che racconta la sua storia! Venne infatti venduto nel febbraio del 1970 dallo storico concessionario Brunati con sede in Bahnhofstrasse 24 a Zurigo a un acquirente di nazionalità Argentina, accompagnato da un libretto di garanzia in lingua spagnola, debitamente compilato e timbrato. I successivi interventi di manutenzione di cui abbiamo traccia grazie allulteriore documentazione cartacea accompagnatoria, ovvero due revisioni eseguite nel 1976 e successivamente nel 1999, presso il concessionario Rolex di Buenos Aires, ci danno prova della lunga appartenenza al primo proprietario. La scatola e contro scatola originali completano questo corredo incredibile! Spedizioni in tutto il mondo con corriere assicurato Fedex.",Watch Center,True
"Patek Philippe Rare Vintage Cushion Shaped Wristwatch Ref. 3525, 18k Yellow Gold, Automatic, from 1967",Patek Philippe,15900,https://watchcenter.ch/prodotto/patek-philippe-rare-vintage-cushion-shaped-wristwatch-ref-3525-18k-yellow-gold-automatic-from-1967/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-13-1.webp,"Prodotto per circa 10 anni a partire dal 1965, il Patek Philippe ref. 3525 incarna il design degli anni 60 con la sua forma a cuscino, inserendosi nel contesto della collezione Gondolo e come parte degli orologi classici di forma dellepoca. La cassa a cuscino da 32mm pur contenendo il movimento a carica automatica cal. 27-460 ha uno spessore di soli 8mm! Bellissimo il quadrante argenté con indici applicati in oro e i piccoli secondi alle ore 6. In ottime condizioni, corredato da Estratto degli Archivi Patek Philippe, nostra certificazione di autenticità e un anno di garanzia sul funzionamento. Spedizioni in tutto il mondo con corriere FedEx assicurato.",Watch Center,False
"Omega Seamaster PloProf, Ref. ST166.077, Blue Mk2 Dial, with Omega Service",Omega,10900,https://watchcenter.ch/prodotto/omega-seamaster-ploprof-ref-st166-077-blue-mk2-dial-with-omega-service/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-24-3.webp,"Il Seamaster PloProf 600 è stato ideato nel 1967, ma è stato lanciato sul mercato solo nel 1971, rimanendo in produzione fino alla fine degli anni 70. La sua caratteristica cassa monoblocco, progettata per resistere a pressioni idriche estreme, ha reso il PloProf un orologio leggendario tra i collezionisti. Tra le caratteristiche più distintive figurano il meccanismo della corona protetto sui lati e il cursore di sicurezza dai colori vivaci che blocca la lunetta girevole. Queste funzioni erano rivoluzionarie per lepoca e rimangono una testimonianza affascinante della forza innovativa di Omega. Allinterno, è alimentato da un robusto movimento automatico Omega cal.1002, rinomato per la sua durata e precisione. In combinazione con unimpressionante impermeabilità fino a 600 metri da cui il nome “Plongeur Professionnel” questo orologio dimostra in modo impressionante di essere stato progettato per un uso professionale serio. Questo modello appartiene alla prima generazione in cui la profondità era indicata solo in metri; solo in seguito è apparsa la doppia misurazione in metri/piedi. Il quadrante è il Mk2, prodotto nel 1972. È stato utilizzato per lo scopo previsto, motivo per cui è stato sottoposto a manutenzione in fabbrica nel 2010. Il bellissimo bracciale “Mesh” 1266/237 completa questo pezzo di storia. Spedizioni in tutto il mondo con corriere FedEx assicurato.",Watch Center,False
Patek Philippe Nautilus Jumbo Stainless Steel Ref. 5711 Full Set 2011 Like New,Patek Philippe,95000,https://watchcenter.ch/prodotto/patek-philippe-nautilus-jumbo-stainless-steel-ref-5711-full-set-2011-like-new-2/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-24-1.webp,"Patek Philippe Nautilus Jumbo in acciaio, ref. 5711. Cassa 40 mm in acciaio con fondello in vetro zaffiro, quadrante blu con tipica lavorazione orizzontale in rilievo, indici e lancette luminose, datario a ore 3. Bracciale acciaio integrato con doppia chiusura deployante. Movimento meccanico a carica automatica calibro 324 S C. Lorologio è come nuovo, mai indossato, corredato di scatola e garanzia Patek Philippe del 2011 e da un anno di nostra garanzia sul funzionamento. Spedizioni in tutto il mondo con corriere assicurato Fedex.",Watch Center,True
"Audemars Piguet Offshore 18kt White Gold, Limited Edition of 15 pcs for AP Singapore Boutique",Audemars Piguet,85000,https://watchcenter.ch/prodotto/audemars-piguet-offshore-18kt-white-gold-limited-edition-of-15-pcs-for-ap-singapore-boutique/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-20-1.webp,"Rarissimo Audemars Piguet Royal Oak Offshore cronografo in oro bianco ref. 26089BC.OO.1000BC.01. Audemars Piguet produsse questa serie di soli 15 esemplari per la boutique di Singapore. La cassa di 42mm e il bracciale integrato sono in oro bianco 18k. Il fondello riporta indicata la serie limitata e il numero identificativo dellorologio. Il quadrante blu con grandi numeri arabi rende questa serie ancor più riconoscibile e unica. Movimento automatico calibro 2326/2840. Lorologio è in ottime condizioni, completo di scatola ed estratto degli archivi AP che certifica la produzione nel 2006. Spedizioni in tutto il mondo con corriere assicurato Fedex.",Watch Center,True
"Gübelin Tank Art Deco Style Tank 18kt White Gold, from the 30s",Other,7900,https://watchcenter.ch/prodotto/gubelin-tank-art-deco-style-tank-18kt-white-gold-from-the-30s/,https://watchcenter.ch/wp-content/uploads/2026/03/Senza-titolo-28.webp,"Raro E.Gubelin Tank anni 30. Cassa rettangolare di 2539 mm in oro bianco 18kt con fondello a scatto. Bellissimo quadrante silver con grandi numeri arabi e piccoli secondi alle 6. Lancette in acciaio azzurrato. Forte richiamo Art Deco! Movimento meccanico a carica manuale, vetro minerale. In ottime condizioni! Corredato da nostra certificazione di autenticità e un anno di garanzia di negozio sul funzionamento. Spedizione assicurata in tutto il mondo con corriere Fedex.",Watch Center,False
"Omega Vintage Speedmaster Ref. 2998-4, From the year 1962",Omega,21900,https://watchcenter.ch/prodotto/omega-vintage-speedmaster-ref-2998-4-from-the-year-1962/,https://watchcenter.ch/wp-content/uploads/2026/02/Progetto-senza-titolo.webp,"La referenza CK 2998 venne prodotta dal 1959 fino al 1963. Divenne di fatto, il primo Omega nello spazio e inaugurò la serie di esemplari utilizzati per le esplorazioni spaziali. Otto diverse referenze di cassa furono introdotte in successione in soli 4 anni di produzione, difficile stabilire un ordine nelle modifiche che vennero apportate in questo lasso di tempo ma senzaltro portarono a dei miglioramenti generali del movimento, della lunetta e dello stile delle lancette che divennero sempre più di facile lettura. Questo bellissimo esemplare è in particolare una referenza 2998-4 prodotta nel 1962, caratterizzata da lancette Alpha con una bellissima patina del tempo perfettamente omogenea a quella degli indici del quadrante. Lorologio viene completato dal suo bracciale 7912/6 caratterizzato da una clasp più larga delle precedenti. Spedizioni in tutto il mondo con corriere assicurato FedEx.",Watch Center,False
"Rolex Vintage Daytona Ref. 6262, Stainless Steel, Light Blue Daytona Dial, from the year 1970",Rolex,68000,https://watchcenter.ch/prodotto/rolex-vintage-daytona-ref-6262-stainless-steel-light-blue-daytona-dial-from-the-year-1970/,https://watchcenter.ch/wp-content/uploads/2026/02/DSC0614.webp,"Bellissimo Rolex Daytona Ref. 6262 in condizioni originali! Il Rolex Daytona ref. 6262 sostituisce il precedente Cosmograph ref. 6239, dal quale si differenzia unicamente per limpiego del nuovo movimento cal. 727, evoluzione del precedente cal. 722. E prodotto per soli tre anni (1969-1972) e rappresenta, insieme al contemporaneo ref. 6264, lultimo cronografo Rolex dotato di pulsanti a pompa. Questo bellissimo esemplare ha una cassa in acciaio con seriale 2.4M (prodotta nel 1970). Pulsanti a pompa e lunetta in acciaio perfettamente coevi. È dotato del suo bracciale Oyster ripiegato ref.7835 con terminali 271 e clasp 3/70. Corredato da nostra garanzia di negozio di un anno sul funzionamento. Spedizioni in tutto il mondo con corriere assicurato Fedex.",Watch Center,False
