title,brand,price,url,img,description,source,sold
Patek Philippe Aquanaut 5060J - Serviced by Patek 1999,Patek Philippe,49500,https://www.watchclub.com/patek-philippe/aquanaut/5060j-servicedbypatek-ref-5060j-year-1999,https://www.watchclub.com/upload/watches/wb/watch-club-patek-philippe-aquanaut-5060j-servicedbypatek-ref-5060j-year-1999-1784287681862-16422-wb.png,"Serviced by Patek Philippe in June 2026, this is the highly coveted yellow gold pre Aquanaut ref. 5060J.The very first of its kind, introduced in 1996 as a limited pre-series ...",Watch Club,False
Rolex Sea-Dweller 126600 - Red Writing 2022,Rolex,10500,https://www.watchclub.com/rolex/sea-dweller/126600-redwriting-ref-126600-year-2022-16507,https://www.watchclub.com/upload/watches/wb/watch-club-rolex-sea-dweller-126600-redwriting-ref-126600-year-2022-16507-1784282341665-16507-wb.png,"Retailed at Harrods in April 2022, this 43mm Sea-Dweller red writing is under Rolex international warranty to April 2027.Released for the Sea-Dweller s 50th Anniversary - with a single line of ...",Watch Club,False
Rolex Oyster Perpetual 124200 - Box & Papers 2021,Rolex,6950,https://www.watchclub.com/rolex/oyster-perpetual/124200-box-and-papers-ref-124200-year-2021,https://www.watchclub.com/upload/watches/wb/watch-club-rolex-oyster-perpetual-124200-box-and-papers-ref-124200-year-2021-1784208602309-16506-wb.png,Retailed at Harrods and still under its official Rolex international warranty.This modern 34mm Oyster Perpetual features the highly sought-after blue sunray dial with Chromalight luminescent hands and baton hour markers. ...,Watch Club,False
Rolex Submariner 16610 - RRR 2010,Rolex,8995,https://www.watchclub.com/rolex/submariner-date/16610-rrr-ref-16610-year-2010-16512,https://www.watchclub.com/upload/watches/wb/watch-club-rolex-submariner-date-16610-rrr-ref-16610-year-2010-16512-1784283481831-16512-wb.png,"2010 N serial 40mm Submariner Date with RRR engraved rehaut bezel, UK stamped Rolex warranty card, Sub instruction booklet, both swing tags and inner & outer Rolex box.Stainless steel 5-digit ...",Watch Club,False
Richard Mille RM 011 Felipe Massa 2008,Richard Mille,135000,https://www.watchclub.com/richard-mille/rm-011/felipemassa-ref-51106491-year-2008,https://www.watchclub.com/upload/watches/wb/watch-club-richard-mille-rm-011-felipemassa-ref-51106491-year-2008-1784218381782-1267-wb.png,"Richard Mille RM011 Flyback Chronograph in white gold.Over the last twenty five years Richard Mille has revolutionised contemporary watchmaking, but even more importantly for us, he has single handedly redefined high-end ...",Watch Club,False
Rolex Day-Date 18238 - Amber Red 1990,Rolex,23500,https://www.watchclub.com/rolex/day-date/18238-amberred-ref-18238-year-1990,https://www.watchclub.com/upload/watches/wb/watch-club-rolex-day-date-18238-amberred-ref-18238-year-1990-1784130373850-16478-wb.png,"Just serviced by Rolex, this 18ct yellow gold Day-Date ref. 18238 is covered by Rolex s two-year service international warranty.The Amber red d grad dial with diamond & baguette hour marker distinguishes ...",Watch Club,False
Zenith El Primero Chronomaster A385 Revival 2021,Zenith,6700,https://www.watchclub.com/zenith/el-primero-chronomaster/a385revival-ref-03a384400-385m385-year-2021,https://www.watchclub.com/upload/watches/wb/watch-club-zenith-el-primero-chronomaster-a385revival-ref-03a384400-385m385-year-2021-1784131502990-16463-wb.png,"Save 2,000, UK RRP at Zenith is 8,700.Zenith reinterprets its 1969 El Primero chronograph with the Chronomaster Revival A385; a modern expression of one of its most iconic designs. It ...",Watch Club,False
Cartier Baignoire W1506056 - Yellow Gold 1989,Cartier,9500,https://www.watchclub.com/cartier/baignoire/w1506056-yellowgold-ref-w1506056-year-1989,https://www.watchclub.com/upload/watches/wb/watch-club-cartier-baignoire-baignoire-ref-w1506056-year-1989-1783960562059-16402-wb.png,"Just back from a full Cartier service and under their official warranty for two years.Previously referred to as the Ovale, the Baignoire name was not formalised until 1973, when Cartier ...",Watch Club,False
Patek Philippe World Time 5330G - White Gold 2024,Patek Philippe,52500,https://www.watchclub.com/patek-philippe/world-time/5330g-whitegold-ref-5330g-001-year-2024,https://www.watchclub.com/upload/watches/wb/watch-club-patek-philippe-world-time-5330g-whitegold-ref-5330g-001-year-2024-1783611901606-16494-wb.png,"Current RRP in Patek Philippe is 69,940. This example is UK retailed, and as it came to us with such minimal wear- it is an unpolished watch.Introducing Patek Philippe s 5330G-001 with the ...",Watch Club,False
Vacheron Constantin Historiques American 1921 82035 - Rose Gold 2018,Vacheron Constantin,23500,https://www.watchclub.com/vacheron-constantin/historiques-american-1921/82035-rosegold-ref-82035-000r-9359-year-2018,https://www.watchclub.com/upload/watches/wb/watch-club-vacheron-constantin-historiques-american-1921-82035-rosegold-ref-82035-000r-9359-year-2018-1783526581807-16388-wb.png,"Current UK RRP at Vacheron is 39,300...This Historiques American 1921 is a modern reinterpretation of their 1920 s Driver s watch conceived for the American market during the roaring Twenties.The stunning 40mm pink ...",Watch Club,False
Patek Philippe Aquanaut 5167A-001 - Unworn example 2023,Patek Philippe,65500,https://www.watchclub.com/patek-philippe/aquanaut/5167a-001-unwornexample-ref-5167a-001-year-2023,https://www.watchclub.com/upload/watches/wb/watch-club-patek-philippe-aquanaut-5167a-001-new-ref-5167a-001-year-2023-1780326002250-16451-wb.png,"UK retailed in 2023 and kept in brand new, never worn condition since. Global demand for this current 5167A-001 has surprised even the staunchest Aquanaut fans. This 40.8mm Aquanaut Jumbo features the ...",Watch Club,False
Rolex Cosmograph Daytona 116520 - APH 2008,Rolex,25500,https://www.watchclub.com/rolex/cosmograph-daytona/116520-aph-ref-116520-year-2008,https://www.watchclub.com/upload/watches/wb/watch-club-rolex-cosmograph-daytona-brandnewoldstock-ref-116520-year-2008-1764931502936-11208-wb.png,"Extremely rare NOS Daytona, never worn!This stainless steel Cosmograph Daytona ref. 116520 retailed (on Christmas eve) in the Netherlands in 2008, retains its Rolex factory protective stickers and is presented as a ...",Watch Club,False
Patek Philippe Grand Complication 5059P - Last year of production 2006,Patek Philippe,49500,https://www.watchclub.com/patek-philippe/perpetual-calendar/5059p-lastyearofproduction-ref-5059p-year-2006,https://www.watchclub.com/upload/watches/wb/watch-club-patek-philippe-perpetual-calendar-5059p-lastyearofproduction-ref-5059p-year-2006-1774864622080-16379-wb.png,"Just serviced by Patek in Feb 2026, and under their official 2-year service guarantee.The Perpetual Calendar ref. 5059 was introduced by Patek in 1998 and discontinued in 2006, during that time ...",Watch Club,False
Cartier Santos Demoiselle Box & Certificate 2007,Cartier,5250,https://www.watchclub.com/cartier/santos-demoiselle/box-and-certificate-ref-w25066z6-year-2007,https://www.watchclub.com/upload/watches/wb/watch-club-cartier-santos-demoiselle-santosdemoiselle-ref-w25066z6-year-2007-1783425062472-16426-wb.png,"This Cartier Santos Demoiselle gained popularity and demand after Taylor Swift made it her everyday staple, even wearing the diamond bezel version to her recent engagement to Travis Kelsey. If ...",Watch Club,False
Audemars Piguet Meridian Yellow Gold - Midsize 1980,Audemars Piguet,15950,https://www.watchclub.com/audemars-piguet/meridian/yellowgold-midsize-ref-ba56340-year-1980,https://www.watchclub.com/upload/watches/wb/watch-club-audemars-piguet-meridian-yellowgold-midsize-ref-ba56340-year-1980-1783761721539-16482-wb.png,"With just a few pieces for sale worldwide, this is the 18ct yellow gold Audemars Piguet Meridian.With the Quartz Crisis in full swing, Audemars Piguet responded by introducing a new ...",Watch Club,False
