title,brand,price,url,img,description,source,sold
Rolex Explorer &#8220;First Reference&#8221; 6150 Gilt Dial,Rolex,20500,https://watchesofknightsbridge.com/product/rolex-explorer-first-reference-6150-gilt-dial/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/EXP18.jpg,"This 1950s Rolex Explorer reference 6150 embodies the understated design and rugged heritage that have made the Explorer one of Rolexs most enduringly desirable models. As the first reference to bear the Explorer name, it holds a significant place in the models history. Presented in excellent original condition, this example retains its original dial and hands, including the distinctive lollipop seconds hand—a highly coveted detail among collectors. Combining historical importance with exception",Watches of Knightsbridge,False
1984 Rolex Sea-Dweller 16660 &#8220;Triple Six&#8221; Matte Dial,Rolex,10500,https://watchesofknightsbridge.com/product/1984-rolex-sea-dweller-16660-triple-six-matte-dial/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/SEA11.jpg,"The 1984 Rolex Sea-Dweller reference 16660, known among collectors as the Triple Six, features its original matte dial a configuration produced for only a few years. Highly regarded by collectors, this Transitional model marks the point where vintage Rolex design evolved into the modern era, offering the perfect balance of vintage charm and modern functionality. This watch has been checked by our experts and serviced by our watchmaker. We guarantee the authenticity and the serial number has been",Watches of Knightsbridge,False
2001 Rolex Day-Date 118238 Champagne Dial,Rolex,19500,https://watchesofknightsbridge.com/product/2001-rolex-day-date-118238-champagne-dial/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/DD53.jpg,2001 Rolex Day-Date President Yellow Gold Reference 118238 with Champagne Dial. This example remains in excellent condition and has just been serviced by Rolex. We guarantee the authenticity and the serial number has been checked by The Watch Register.,Watches of Knightsbridge,False
1957 Patek Philippe Calatrava 2545 Ponti Gennari,Patek Philippe,17500,https://watchesofknightsbridge.com/product/1957-patek-philippe-calatrava-2545-ponti-gennari/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR562.jpg,"A refined example of mid-century Patek Philippe craftsmanship, this 1957 Patek Philippe Calatrava Ref. 2545 is distinguished by its exceptional presentation on an 18ct yellow-gold brick bracelet crafted by Ponti Gennari, one of Geneva’s most celebrated specialist goldsmiths and historic collaborators of Patek Philippe. Founded in Geneva, Ponti Gennari developed a reputation for producing highly refined precious-metal bracelets and jewellery creations, working closely with Patek Philippe during t",Watches of Knightsbridge,False
Jaeger-LeCoultre Powermatic Yellow Gold Large Size,Jaeger-LeCoultre,4750,https://watchesofknightsbridge.com/product/jaeger-lecoultre-powermatic-yellow-gold-large-size/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR561.jpg,"A refined example of Jaeger-LeCoultres mid-century watchmaking, this large size Powermatic showcases the Maisons reputation for combining technical innovation with timeless design. Crafted in 18k yellow gold, the elegantly proportioned case is complemented by a clean, minimalist dial with applied hour markers and slender dauphine hands, embodying the understated sophistication that has long defined Jaeger-LeCoultres dress watches. Circa 1950s, these watches are rarely found in such condition wit",Watches of Knightsbridge,False
1989 Breguet Classique Date Automatic 3320,Breguet,6950,https://watchesofknightsbridge.com/product/1989-breguet-classique-date-automatic-3320/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR558-1.jpg,"Breguet Classique Ultra Thin Automatic reference 3320BA, delivered on September 12, 1988 to Caldex Milano (official Breguet agent in Italy) as confirmed by the Breguet Heritage department. This rare early example features its original dial with two styles of guilloché finish with inner Roman Numeral display, instantly recognisable being from the Daniel Roth era. The 33mm ultra-slim coin edge case houses a fine calibre 549 automatic movement with centre seconds and date function. Overall the watc",Watches of Knightsbridge,False
Rolex Cellini Clous de Paris White Gold 4127,Rolex,6250,https://watchesofknightsbridge.com/product/rolex-cellini-clous-de-paris-white-gold-4127/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR555.jpg,Rolex Cellini Cloud de Paris reference 4127 in 18k solid white-gold from 1995. This watch features its original silver dial and manual wind cal. 1802 movement. The watch remains in excellent original condition.,Watches of Knightsbridge,False
Patek Philippe Calatrava Rose Gold 5026R Breguet,Patek Philippe,19500,https://watchesofknightsbridge.com/product/patek-philippe-calatrava-rose-gold-5026r-breguet/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR552.jpg,"The Patek Philippe Calatrava Ref. 5026R-001 is a superb expression of the brands philosophy of understated elegance. Crafted in 18k rose gold, this highly regarded reference pairs a perfectly proportioned case with a striking silver dial featuring applied Breguet numerals, matching Breguet hands, and an off-centre small seconds display—details that lend the watch a distinctive character while remaining unmistakably Calatrava. Powered by Patek Philippes ultra-thin self-winding Calibre 240 micro-r",Watches of Knightsbridge,False
Ladies Cartier Tank Louis Yellow Gold,Cartier,5500,https://watchesofknightsbridge.com/product/ladies-cartier-tank-louis-yellow-gold/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR551.jpg,"An enduring icon of 20th-century design, the Cartier Tank Louis perfectly captures the understated elegance that has defined the Tank collection for generations. Crafted in 18k yellow gold, its clean lines, Roman numeral dial, blued steel hands, and signature cabochon crown create a timeless aesthetic that remains as relevant today as when it was first introduced. This reference is powered by a reliable quartz movement, combining classic design with effortless practicality. Overall the watch rem",Watches of Knightsbridge,False
Vacheron Constantin Historiques 33084.J,Vacheron Constantin,5950,https://watchesofknightsbridge.com/product/vacheron-constantin-historiques-33084-j/,https://watchesofknightsbridge.com/wp-content/uploads/2026/07/CUR559.jpg,"The Vacheron Constantin Historiques Ref. 33084.J is a masterclass in understated elegance, drawing inspiration from the Maisons rich heritage of ultra-thin dress watches. Crafted in 18k yellow gold, its refined 31mm case is distinguished by graceful teardrop lugs and a beautifully balanced silver dial with applied Roman numerals and slender baton hands. At its heart beats the legendary hand-wound Calibre 1003/2—one of the thinnest mechanical movements ever produced—celebrated for its remarkable ",Watches of Knightsbridge,False
