title,brand,price,url,img,description,source,date,sold,priceOnRequest
F.P.Journe lineSport Centigraphe Reference CT2 in 18K Rose Gold Full Set New,Other,340000,https://www.windvintage.com/fpjourne-centigraphe-sport-reference-ct2-in-18k-rose-gold-full-set-new,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1780321066679-AFBWA2LPABD0QJAMDXOX/Image+32.jpeg,"The Centigraphe Sport CTS was produced from 2014 to 2018. Collectors love the Centigraphe Sport for the sport-oriented design with incredible versatility. This example is an incredible case and bracelet are made of 18k rose gold (6N) which is incredibly comfortable and elegant on the wrist. F.P.Journe collectors love these bracelets and they are among the best quality in the industry. The case and bracelet feature the “hammered” finish which is an attractive matte finish which is much more attractive than other manufacturers. The case measures approximately 42mm in diameter. The dial features non-luminous matte 5N Gold applied numerals. It features whitened guilloché subdials in silver with red accents. These grey dial variants were recently discontinued and transitioned to a black dial variant, making this one of the final grey variants. The movement is an engineering highlight. It is powered by the calibre 1506 - a movement which is made of titanium and weighs approximately 12 grams. The lineSport Centigraphe Reference CT2 is arguably one of the most advanced chronograph models ever produced capable of timing one-hundredth of a second. The subdials feature a 1/100th of a second at 10 o'clock, a 20 second dial, and a 10-minute dial at 6 o'clock. The watch comes full set from the original owner. It is in brand new condition. The watch was originally sold in 2024.",Wind Vintage,2026-04-19,False,False
F.P.Journe Centigraphe Sport Titanium Reference CTS on Strap w Box &amp; Booklet,Other,340000,https://www.windvintage.com/fpjourne-centigraphe-sport-reference-cts-in-titanium-on-strap-w-box-booklet,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1777756984198-SE7OSY5OM19KCVATSHY2/Image+11.jpeg,"The Centigraphe Sport CTS was produced from 2014 to 2018. Collectors love the Centigraphe Sport for the sport-oriented design with incredible versatility. This example is paired on a rubber strap which offers a more casual aesthetic for passionate F.P.Journe collectors. The case is made of titanium and measures approximately 42mm in diameter. The case has some wear on the bezel at 10 o'clock. The movement is an engineering highlight. It is powered by the calibre 1506 - a movement which is made of titanium and weighs approximately 12 grams. The dial is made of aluminum alloy and sapphire featuring luminous numerals. The watch is arguably one of the most advanced chronograph models ever produced capable of timing one-hundredth of a second. The subdials feature a 1/100th of a second at 10 o'clock, a 20 second dial, and a 10-minute dial at 6 o'clock. Titanium Centigraphes purportedly made 50% less than aluminium examples. We have been told that only 10 examples in this titanium configuration were made, however we are not certain of this. We do not know the service history, but the watch is running well. It does not come with papers. It comes with a box, usb drive and CD with booklet and cloth. We do not know the date of production.",Wind Vintage,2026-04-19,False,False
F.P.Journe Octa Automatique Lune Havana 40mm Full Set As New,Other,225000,https://www.windvintage.com/fp-journe-octa-automatique-lune-havana-40mm-full-set-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1778760067630-V8UJBKXKS7PFEC0UZ36T/Image+61.jpeg,"The Octa Automatique Lune Havana edition was introduced in circa 2016 and produced until 2018. This F.P.Journe Octa Automatique Lune Havana in 18k rose gold measures approximately 40mm in diameter. The hands are a very beautiful ivory color steel. The moon disc is incredibly beautiful. The watch is in as new condition. The watch is powered by the calibre 1300.3. It features a 5-day power reserve. This watch comes with a box and papers. We do not know the service history, but it is running well. The watch dates to 2020. For those looking for an outstanding F.P. Journe, this Lune is a special timepiece.",Wind Vintage,2026-04-19,False,False
F.P.Journe Chronometre Souverain Dubai Limited Edition in Platinum Full Set,Other,350000,https://www.windvintage.com/fpjourne-chronometre-souverain-dubai-edition-limited-in-platinum-full-set,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1777505948183-M0GXCQZ13UKUE7H7331B/Image.jpeg,"This example is a limited edition of 99 examples celebrating the grand opening of F.P.Journe’s first boutique in Dubai in 2019. It comes from the original owner. It features the beautiful green dial with radial Breguet numerals. The case is made of platinum, and measures 40mm in diameter. The case is unpolished. The strap has some wear. It is powered by the calibre 1304. It comes full set with box and papers. It is running well. This example was purchased in 2021. We do not know the service history, but it is running well.",Wind Vintage,2026-04-19,False,False
Rolex “Tiffany &amp; Co.” Datejust Reference 16018 in 18K Yellow Gold on Oyster Bracelet Unpolished,Rolex,39000,https://www.windvintage.com/rolex-datejust-tiffany-reference-16018-in-18k-yellow-gold-on-oyster-bracelet-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1779984537514-H7FFT8NULI84LC4SAQRS/Image+25.jpeg,"This Rolex Datejust reference 16018 is an incredibly special watch. If features a in stunning champagne dial that is double signed “Tiffany & Co”. Tiffany & Co. is widely known as the most prestigious of double-signed retailer watches. Tiffany-signed Rolex and Patek Philippe timepieces are among certainly the most desirable manufacturers in vintage watches. This example dates to circa 1987 with a R serial number. The 18K yellow gold case appears to be unpolished. The Datejust is is phenomenal condition. The watch is paired with an earlier 18k yellow gold Rolex rivet Oyster bracelet dating to circa 1980 which was paired at a later date. The watch looks excellent with this pairing. It does not come with a box and papers. We do not know the service history, but the watch is running well. It recently passed a water resistance test of 5 bar.",Wind Vintage,2026-04-19,False,False
Patek Philippe Ref 783 “Montres Golf” Retailed By Gübelin Designed by Gilbert Albert w/ Pouch &amp; Extract Unpolished,Patek Philippe,39000,https://www.windvintage.com/patek-philippe-ref-783-montres-golf-designed-by-gilbert-albert-w/-pouch-extract-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1778783112540-HE5VZ1JV9HFTKN177CFD/Image+74.jpeg,"The watch is uniquely stylish and it is quite apparent when looking at certain elements, such as the segmented dial, that it was created by the designer. The watch is powered by the calibre 12-400, and the case measures 39mm in diameter and 8mm in height (including the crystal). In addition, it is a double-signed dial sold by the Lucerne-based retailer Gübelin. The case back features the Poinçon de Maître key numbered 2 indicating F. Baumgartner SA, a case specialist who produced the cases many water-resistant Calatrava wristwatches, including the legendary reference 2526. While many collectors prioritize wristwatches, this pocket watch is a treasure and an absolutely mesmerizing creation from one of the watch industry’s most talented minds. This particular model is from the “Montres Golf” collection of three different models depicted in the advertisement (reference 782, reference 783, and reference 799) with integrated chains made for golfers to have in their pocket when playing golf. These golf watches became somewhat in vogue in the mid-20th century as golf became more popular and it became more widely-known that the impact of a swing could damage a wristwatch’s movement. The integrated chain allowed the golfer to clip it to their pocket for quick access to the time when on the course and also to ensure that it would not accidentally get lost. The “Montres Golf” watches also frequently came with a brown leather pouch, sometimes embossed with PATEK PHILIPPE in gold, but in the case of this watch embossed with GÜBELIN in gold. This reference 783 has an ornate wreath-like pattern on the chain and edge of the case that makes it particularly appealing. This watch came from the grandson of the original owner, who was a diplomat for Iran in the 1950s and 1960s, before the Shah was deposed, and likely was a gift to him by another diplomat. To the best of our knowledge, the watch had not been opened since leaving Patek Philippe before our watchmaker opened it. We do not k",Wind Vintage,2026-04-19,False,False
Patek Philippe Reference 707-1 Pocket Watch in 18K RG w/ Advertisement,Patek Philippe,11900,https://www.windvintage.com/patek-philippe-reference-707-1-pocket-watch-in-18k-rg,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1780581464988-ZJGCWG007JTN3VMDRVRB/Image+60.jpeg,"This Patek Philippe pocket watch is an extremely beautiful timepiece dating to the 1940s. The case was made by Wenger and is made of 18k rose gold measures 49mm in diameter. The case has been very lightly polished. The dial is incredibly attractive with applied Roman numerals. To learn more about Patek Philippe pocket watches, read Charlie Dunne’s article ‘ Why Your Perspective Should Change About Patek Philippe Pocket Watches ’. The watch does not include box and papers. We do not know the service history, but it is running well. We have ordered an Extract from the Archives. It comes with an Patek Philippe advertisement featuring a Patek Philippe reference 707 pocket watch photographed by the mysterious photographer E.G.George who shot several Patek Philippe watches during the 1940s.",Wind Vintage,2026-04-19,False,False
"Patek Philippe ""New York"" World Time Reference 5230G-010 Full Set Unpolished",Patek Philippe,79900,https://www.windvintage.com/patek-philippe-new-york-world-time-reference-5230g-010-full-set-unpolished,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1780511061661-UQJOKA3DWSPZ1NO9BCD9/Image+56.jpeg,"This Patek Philippe reference 5230G-010 is a spectacular world time model in 18k white gold. This model is the commemorative ""New York"" released in 2017 ""Art of Watches"" Grand Exhibition in New York. It was a limited edition of 300 examples. It was famously worn by Jay-Z on David Letterman’s interview My Next Guest Needs No Introduction. It is also one of the only Patek Philippe World Times that mentions Chicago. The case measures 38.5mm in diameter. This example was sold in 2017. It is powered by the calibre 240 HU. The case appears to be unpolished. It comes with box and the Certificate of Origin. We do not know the service history but it is running well. PRCIE: $79,900 (Item SBUXYT5364) $79,900 #block-ecb513fdc7a0d7f06560 { --sqs-block-content-flex: 0; } #block-ecb513fdc7a0d7f06560 { --opacity: 100%; --translate-x: 0px; --translate-y: 0px; --rotation: 0deg; --scale-x: 100%; --scale-y: 100%; --skew-x: 0deg; --skew-y: 0deg; --origin-x: 50%; --origin-y: 50%; opacity: var(--opacity, 1); transform: translateX(var(--translate-x)) translateY(var(--translate-y)) rotate(var(--rotation)) scale(var(--scale-x), var(--scale-y)) skewX(var(--skew-x)) skewY(var(--skew-y)); transform-origin: var(--origin-x) var(--origin-y); }",Wind Vintage,2026-04-19,False,False
Heuer Chronomatic Siffert Autavia Reference 1163,Heuer,79000,https://www.windvintage.com/heuer-chronomatic-siffert-autavia-reference-1163,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1779911433504-W0PWNDJANND5WAATY6J8/Image+20.jpeg,"This Heuer “Chronomatic Siffert” Autavia reference 1163 is one of the most elusive grail chronographs from Heuer. It features a 1415XX serial. The very earliest Heuer automatic chronographs (Monaco, Autavia, and Carrera) said CHRONOMATIC on the dial above the Heuer shield and they date to 1969 with the model name appearing above 6 o’clock. Due to the lack of customers understanding what CHRONOMATIC meant, Heuer within a month or two of beginning production changed the dials to say “AUTOMATIC CHRONOGRAPH” above 6:00 and moved the model name above the HEUER shield logo. In the last decade, only two Jo Siffert Chronomatic models have come to auction (in addition to one prototype). These models were nicknamed after the legendary Swiss Formula One driver Jo Siffert who famously wore a CHRONOMATIC Siffert in his career and represented Heuer. Jo was a friend of Steve McQueen and inspiration for his character Michael Delaney and lent him his watch during the filming of Le Mans , although it did not end up in the movie. The case has been lightly polished. It features an automatic movement (Caliber 11 made by Heuer-Léonidas), and is 42mm in diameter. It is paired on a later Heuer Gay Freres single beads of rice bracelet. This example features an unusual dial missing “SWISS” above the date window. The watch was recently serviced and is running well. The watch does not include the box and papers. This is a rare opportunity for any collector of Heuer grail watches.",Wind Vintage,2026-04-19,False,False
Rolex Ice Blue Daytona Reference 126576TBR in Platinum w/ Diamond Bezel Full Set Stickered New,Rolex,209000,https://www.windvintage.com/rolex-ice-blue-daytona-reference-126576tbr-in-platinum-with-diamond-bezel-full-set-stickered-new,https://images.squarespace-cdn.com/content/v1/5b213f95506fbec9b54e014c/1778009387013-247DJVOM40H3ZBVXLP6X/Image+41.jpeg,"This is an incredibly beautiful Rolex Daytona reference 126576TBR. The watch is made of platinum and features the “Ice Blue” dial that collectors love. It is an off-catalog Daytona with brilliant diamond setting. These are among the most important offerings from the manufacturer and made in very limited production due to the extreme intricacy of gem setting. No other company creates gem set watches like Rolex. This is an internal artisanal department within Rolex which utilizes the highest-quality flawless diamonds which are hand-set by master jewelers. These watches are incredibly special from the manufacturer in that they require the most hand intervention with a zero-tolerance for error. The dial features the factory baguette-cut and diamond hour markers. It features an immaculate diamond-set bezel. It is powered by the fantastic calibre 4131 which is on display with the exhibition caseback. The case measures 40mm in diameter. It is stickered and in new condition. For those looking for a luxurious sports Rolex watch, it is hard to beat the Daytona Reference 126576TBR! The watch dates to late 2024. The watch is running well. It comes with a box or papers from the original owner.",Wind Vintage,2026-04-19,False,False
